Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0001	0.5677309290427086	0.4805531639910985	0.2794860968199995	0.11751399802095985	0.4922861914380124	1.0	1.0	+	318	1673	1356			chromosome replication initiator DnaA				GTG	 
lmo0002	-0.17233205281169006	0.8301516458573799	-0.49753893127000004	0.0012132736502432876	2.8870945546831535	0.5127909065379668	1.0	+	1867	3012	1146			DNA polymerase III subunit beta				ATG	 
lmo0003	-0.24753367361549028	0.7857094916961176	-1.1227782325699995	3.9603321652759257E-16	4.535860580787412	0.5000000000000286	0.5000000000005678	+	3121	4464	1344			hypothetical protein				ATG	 
lmo0004	0.6126162412903788	0.44630878945541275	0.038811618054999775	0.9474087405469404	0.06335388362092599	1.0	1.0	+	4644	4865	222			hypothetical protein				TTG	 
lmo0005	0.32184911749859957	0.6947298643450202	0.43716306396999993	0.009485172428564309	1.3582857314247634	0.5799564297299773	1.0	+	4869	5981	1113			recombination protein F				ATG	 
lmo0006	-0.17326566155619005	0.8291339439935844	-0.5898518123900005	1.0145680319277315E-5	3.4043203199770287	0.5001703446213682	0.514543832737684	+	6030	7970	1941			DNA gyrase subunit B				ATG	 
lmo0007	-0.09510072454765961	0.9061659254834576	-0.49904549992500025	2.985984232665507E-9	5.247546770002832	0.5000000889243026	0.5000042804083975	+	8065	10593	2529			DNA gyrase subunit A				ATG	 
lmo0008	0.11599068189259043	0.8872160393364983	-0.5309261815100004	6.979479624694714E-6	-4.577317529710258	0.5001196463933228	0.5100050840419998	+	10728	12242	1515			cardiolipin synthase				ATG	 
lmo0009	0.2282517081839206	0.781620990836541	-0.3755978768600001	0.01606745349950061	-1.645542457703541	0.6263898617052238	1.0	+	12258	12776	519			spermidine acetyltransferase				ATG	 
lmo0010	0.6614900577555787	0.425502605939839	0.7118858693299996	1.1603670386389949E-6	1.07618528953468	0.500022944548405	0.501663386149889	+	12918	13886	969			mevalonate kinase				TTG	 
lmo0011	0.11565154873341044	0.8840790638195519	-0.35095627064	0.006149663070487537	-3.0346006991137915	0.5542687277990999	1.0	+	13843	14814	972			mevalonate diphosphate decarboxylase				ATG	 
lmo0012	0.026188559286589808	0.9739218291940996	-0.35128497049000007	0.0338684762658149	-13.413680632285875	0.7454374263607009	1.0	+	14795	15874	1080			mevalonate kinase				TTG	 
lmo0013	0.4092181572608702	0.6089595778701435	-0.7019754436600001	4.323050957213767E-7	-1.7154063943758528	0.5000092292366627	0.5006197093547166	+	16219	17325	1107			AA3-600 quinol oxidase subunit II				GTG	 
lmo0014	0.2885248541660097	0.717704359542553	-1.1572597881100006	8.417733073524372E-25	-4.010953550102632	0.5	0.5	+	17344	19323	1980			AA3-600 quinol oxidase subunit I				ATG	 
lmo0015	0.2817711969683092	0.7240410790424625	-1.2687335054600002	0.00953583621242948	-4.50270829350487	0.5802500970857069	1.0	+	19311	19922	612			AA3-600 quinol oxidase subunit III				ATG	 
lmo0016	0.24027627721532951	0.763363536141898	-1.2357124067599998	5.517620429386532E-6	-5.142881440819835	0.5000963404304959	0.5079095088855256	+	19924	20256	333			quinol oxidase aa3-600 subunit IV				ATG	 
lmo0017	0.4382775686023397	0.6232155133066668	-0.5026490726310007	0.1125414051183109	-1.1468738275470969	1.0	1.0	-	20308	21426	1119			capsule biosynthesis protein CapA				ATG	 
lmo0018	-0.6186563433544308	0.47693937471928194	-1.2448661275600001	1.922228049032769E-10	2.0122094292449715	0.5000000067414647	0.5000002755513908	+	21652	23085	1434			beta-glucosidase				ATG	 
