BioCondName	Technology	FileName	Date	ArrayExpressId	Reference	arrayExpressTechnoID	NoDataAvailable	TimePoint	Mutant	Temperature	Growth	Media	MediaGrowthProperties	Strain used	Strain array	Comment	ExpID	StudyName	Localization
Extracellular_UGiessen_2010	ExpressionMatrix		11/03/2010	E-TABM-663	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	A-MEXP-752								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			Transcription profiling of Listeria monocytogenes intracellularly replicating in mouse macrophages activated by IFN-gamma	
IFN_Intracellular_UGiessen_2010	ExpressionMatrix		11/03/2010	E-TABM-663	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	A-MEXP-752		45min				Mouse macrophages cells;IFN gamma	Mouse macrophages cells P388D1;Interferon gamma 100 U/ml	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			Transcription profiling of Listeria monocytogenes intracellularly replicating in mouse macrophages activated by IFN-gamma	
Intracellular_UGiessen_2010	ExpressionMatrix		11/03/2010	E-TABM-663	Mhraeil et al., N.A.R. 2011 (Pubmed:21278422)	A-MEXP-752		45min				Mouse macrophages cells	Mouse macrophages cells P388D1	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			Transcription profiling of Listeria monocytogenes intracellularly replicating in mouse macrophages activated by IFN-gamma	
EGD_WT	GeneExpr	EGD_WT_1.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	GeneExpr	EGD_WT_2.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	GeneExpr	EGD_WT_3.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	GeneExpr	EGDe_WT_1.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	GeneExpr	EGDe_WT_2.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	GeneExpr	EGDe_WT_3.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	GeneExpr	EGDe_prfA_1.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
