#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000008285.1	PRJNA224116	SAMN02603980		na	265669	1639	Listeria monocytogenes serotype 4b str. F2365	strain=4b F2365		latest	Complete Genome	Major	Full	2005/12/07	ASM828v1	TIGR	GCA_000008285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/285/GCF_000008285.1_ASM828v1		
GCF_000021185.1	PRJNA224116	SAMN02603154		na	552536	1639	Listeria monocytogenes HCC23	strain=HCC23		latest	Complete Genome	Major	Full	2008/12/12	ASM2118v1	College of Veterinary Medicine, Mississippi State University	GCA_000021185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/185/GCF_000021185.1_ASM2118v1		
GCF_000022925.1	PRJNA224116	SAMN02603721		na	637381	1639	Listeria monocytogenes 08-5923	strain=08-5923		latest	Complete Genome	Major	Full	2010/01/20	ASM2292v1	Public Health Agency of Canada	GCA_000022925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/925/GCF_000022925.1_ASM2292v1		
GCF_000026705.1	PRJNA224116	SAMEA2272134		na	568819	1639	Listeria monocytogenes serotype 4b str. CLIP 80459	strain=Clip80459		latest	Complete Genome	Major	Full	2009/03/30	ASM2670v1	Institut Pasteur - Unite de Biologie des Bacteries Intracellulaires	GCA_000026705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/705/GCF_000026705.1_ASM2670v1		
GCF_000093125.2	PRJNA224116	SAMN02603776		na	653938	1639	Listeria monocytogenes 08-5578	strain=08-5578		latest	Complete Genome	Major	Full	2014/06/12	ASM9312v2	Public Health Agency of Canada	GCA_000093125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/125/GCF_000093125.2_ASM9312v2		
GCF_000167135.1	PRJNA224116	SAMN02415268	AADQ00000000.1	na	267409	1639	Listeria monocytogenes serotype 1/2a str. F6854	strain=1/2a F6854		latest	Contig	Major	Full	2004/05/04	ASM16713v1	TIGR	GCA_000167135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/135/GCF_000167135.1_ASM16713v1		
GCF_000167155.1	PRJNA224116	SAMN02415269	AADR00000000.1	na	267410	1639	Listeria monocytogenes serotype 4b str. H7858	strain=4b H7858		latest	Scaffold	Major	Full	2004/05/04	ASM16715v1	TIGR	GCA_000167155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/155/GCF_000167155.1_ASM16715v1		
GCF_000168395.1	PRJNA224116	SAMN02415199	AARJ00000000.2	na	393117	1639	Listeria monocytogenes FSL J1-194	strain=FSL J1-194		latest	Contig	Major	Full	2008/08/28	ASM16839v1	Broad Institute	GCA_000168395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/395/GCF_000168395.1_ASM16839v1		
GCF_000168415.1	PRJNA224116	SAMN02415200	AARK00000000.2	na	393118	1639	Listeria monocytogenes FSL J1-175	strain=FSL J1-175		latest	Contig	Major	Full	2008/09/03	ASM16841v1	Broad Institute	GCA_000168415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/415/GCF_000168415.1_ASM16841v1		
GCF_000168515.1	PRJNA224116	SAMN02415204	AARP00000000.4	na	393123	1639	Listeria monocytogenes FSL N1-017	strain=FSL N1-017		latest	Contig	Major	Full	2010/07/14	ASM16851v1	Broad Institute	GCA_000168515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/515/GCF_000168515.1_ASM16851v1		
GCF_000168535.1	PRJNA224116	SAMN02415205	AARQ00000000.2	na	393124	1639	Listeria monocytogenes FSL N3-165	strain=FSL N3-165		latest	Contig	Major	Full	2008/09/03	ASM16853v1	Broad Institute	GCA_000168535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/535/GCF_000168535.1_ASM16853v1		
GCF_000168555.1	PRJNA224116	SAMN00761062	AARR00000000.2	na	393125	1639	Listeria monocytogenes FSL R2-503	strain=FSL R2-503		latest	Contig	Major	Full	2008/08/28	ASM16855v1	Broad Institute	GCA_000168555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/555/GCF_000168555.1_ASM16855v1		
GCF_000168575.2	PRJNA224116	SAMN00013319		na	393126	1639	Listeria monocytogenes FSL R2-561	strain=FSL R2-561		latest	Complete Genome	Major	Full	2011/09/13	ASM16857v2	Broad Institute	GCA_000168575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/575/GCF_000168575.2_ASM16857v2		
GCF_000168595.2	PRJNA224116	SAMN00012880		na	393127	1639	Listeria monocytogenes Finland 1998	strain=Finland 1988		latest	Complete Genome	Major	Full	2011/09/14	ASM16859v2	Broad Institute	GCA_000168595.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/595/GCF_000168595.2_ASM16859v2		
GCF_000168615.1	PRJNA224116	SAMN00771317	AARU00000000.2	na	393128	1639	Listeria monocytogenes F6900	strain=F6900		latest	Contig	Major	Full	2008/09/03	ASM16861v1	Broad Institute	GCA_000168615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/615/GCF_000168615.1_ASM16861v1		
GCF_000168635.2	PRJNA224116	SAMN00769971		na	393130	1639	Listeria monocytogenes J0161	strain=J0161		latest	Complete Genome	Major	Full	2011/09/07	ASM16863v2	Broad Institute	GCA_000168635.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/635/GCF_000168635.2_ASM16863v2		
GCF_000168655.1	PRJNA224116	SAMN00769972	AARX00000000.2	na	393131	1639	Listeria monocytogenes J2818	strain=J2818		latest	Contig	Major	Full	2008/09/03	ASM16865v1	Broad Institute	GCA_000168655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/655/GCF_000168655.1_ASM16865v1		
GCF_000168695.2	PRJNA224116	SAMN02641382		na	393133	1639	Listeria monocytogenes 10403S	strain=10403S		latest	Complete Genome	Major	Full	2011/09/07	ASM16869v2	Broad Institute	GCA_000168695.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/695/GCF_000168695.2_ASM16869v2		
GCF_000168815.1	PRJNA224116	SAMN02415241	AATL00000000.2	na	401650	1639	Listeria monocytogenes HPB2262	strain=HPB2262		latest	Contig	Major	Full	2008/09/03	ASM16881v1	Broad Institute	GCA_000168815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/815/GCF_000168815.1_ASM16881v1		
