GenomeElements	RAWVALUE	VALUE
lmo0001	0.0	0.0
lmo0002	2.0	1.0
lmo0003	0.0	0.0
lmo0004	0.0	0.0
lmo0005	0.0	0.0
lmo0006	10.0	3.321928095
lmo0007	7.0	2.807354922
lmo0008	0.0	0.0
lmo0009	0.0	0.0
lmo0010	0.0	0.0
lmo0011	0.0	0.0
lmo0012	0.0	0.0
lmo0013	1.0	1.0
lmo0014	1.0	1.0
lmo0015	0.0	0.0
lmo0016	0.0	0.0
lmo0017	3.0	1.584962501
lmo0018	1.0	1.0
lmo0019	0.0	0.0
lmo0020	0.0	0.0
lmo0021	0.0	0.0
lmo0022	0.0	0.0
lmo0023	0.0	0.0
lmo0024	0.0	0.0
lmo0025	2.0	1.0
lmo0026	2.0	1.0
lmo0027	0.0	0.0
lmo0028	7.0	2.807354922
lmo0029	0.0	0.0
lmo0030	0.0	0.0
lmo0031	0.0	0.0
lmo0032	0.0	0.0
lmo0033	0.0	0.0
lmo0034	0.0	0.0
lmo0035	0.0	0.0
lmo0036	0.0	0.0
lmo0037	0.0	0.0
lmo0038	3.0	1.584962501
lmo0039	1.0	1.0
lmo0040	0.0	0.0
lmo0041	1.0	1.0
lmo0042	0.0	0.0
lmo0043	0.0	0.0
lmo0044	86.0	6.426264755
lmo0045	0.0	0.0
lmo0046	0.0	0.0
lmo0047	0.0	0.0
lmo0048	0.0	0.0
lmo0049	0.0	0.0
lmo0050	0.0	0.0
lmo0051	4.0	2.0
lmo0052	0.0	0.0
lmo0053	16.0	4.0
lmo0054	2.0	1.0
lmo0055	3.0	1.584962501
lmo0056	0.0	0.0
lmo0057	0.0	0.0
lmo0058	0.0	0.0
lmo0059	0.0	0.0
lmo0060	0.0	0.0
lmo0061	0.0	0.0
lmo0062	0.0	0.0
lmo0063	0.0	0.0
lmo0064	3.0	1.584962501
lmo0065	0.0	0.0
lmo0066	0.0	0.0
lmo0067	1.0	1.0
lmo0068	0.0	0.0
lmo0069	0.0	0.0
lmo0070	1.0	1.0
lmo0071	0.0	0.0
lmo0072	0.0	0.0
lmo0073	0.0	0.0
lmo0074	0.0	0.0
lmo0075	1.0	1.0
lmo0076	0.0	0.0
lmo0077	0.0	0.0
lmo0078	4.0	2.0
lmo0079	0.0	0.0
lmo0080	0.0	0.0
lmo0081	1.0	1.0
lmo0082	0.0	0.0
lmo0083	0.0	0.0
lmo0084	0.0	0.0
lmo0085	0.0	0.0
lmo0086	0.0	0.0
lmo0087	0.0	0.0
lmo0088	0.0	0.0
lmo0089	0.0	0.0
lmo0090	0.0	0.0
lmo0091	0.0	0.0
lmo0092	0.0	0.0
lmo0093	0.0	0.0
lmo0094	1.0	1.0
lmo0095	0.0	0.0
lmo0096	0.0	0.0
lmo0097	0.0	0.0
lmo0098	2.0	1.0
lmo0099	0.0	0.0
lmo0100	2.0	1.0
lmo0101	0.0	0.0
lmo0102	0.0	0.0
lmo0103	0.0	0.0
lmo0104	0.0	0.0
lmo0105	0.0	0.0
lmo0106	0.0	0.0
lmo0107	3.0	1.584962501
lmo0108	0.0	0.0
lmo0109	1.0	1.0
lmo0110	0.0	0.0
lmo0111	0.0	0.0
lmo0112	0.0	0.0
lmo0113	0.0	0.0
lmo0114	0.0	0.0
lmo0115	2.0	1.0
lmo0116	1.0	1.0
lmo0117	4.0	2.0
lmo0118	0.0	0.0
lmo0119	0.0	0.0
lmo0120	1.0	1.0
lmo0121	0.0	0.0
lmo0122	0.0	0.0
lmo0123	0.0	0.0
lmo0124	1.0	1.0
lmo0125	0.0	0.0
lmo0126	0.0	0.0
lmo0127	1.0	1.0
lmo0128	0.0	0.0
lmo0129	2.0	1.0
lmo0130	0.0	0.0
lmo0131	3.0	1.584962501
lmo0132	0.0	0.0
lmo0133	2.0	1.0
lmo0134	0.0	0.0
lmo0135	0.0	0.0
lmo0136	0.0	0.0
lmo0137	0.0	0.0
lmo0138	0.0	0.0
lmo0139	1.0	1.0
lmo0140	0.0	0.0
lmo0141	0.0	0.0
lmo0142	0.0	0.0
lmo0142a	0.0	0.0
lmo0143	1.0	1.0
lmo0144	0.0	0.0
lmo0145	0.0	0.0
lmo0146	0.0	0.0
lmo0147	0.0	0.0
lmo0148	2.0	1.0
lmo0149	0.0	0.0
lmo0150	0.0	0.0
lmo0151	1.0	1.0
lmo0152	0.0	0.0
lmo0153	6.0	2.584962501
lmo0154	0.0	0.0
lmo0155	0.0	0.0
lmo0156	2.0	1.0
lmo0157	0.0	0.0
lmo0158	2.0	1.0
lmo0159	2.0	1.0
lmo0160	0.0	0.0
lmo0161	2.0	1.0
lmo0162	0.0	0.0
lmo0163	0.0	0.0
lmo0164	0.0	0.0
lmo0165	0.0	0.0
lmo0166	0.0	0.0
lmo0167	0.0	0.0
lmo0168	1.0	1.0
lmo0169	1.0	1.0
lmo0170	0.0	0.0
lmo0171	0.0	0.0
lmo0172	0.0	0.0
lmo0173	0.0	0.0
lmo0174	0.0	0.0
lmo0175	0.0	0.0
lmo0176	0.0	0.0
lmo0177	4.0	2.0
lmo0178	1.0	1.0
lmo0179	1.0	1.0
lmo0180	1.0	1.0
lmo0181	0.0	0.0
lmo0182	0.0	0.0
lmo0183	3.0	1.584962501
lmo0184	0.0	0.0
lmo0185	0.0	0.0
lmo0186	0.0	0.0
lmo0187	0.0	0.0
lmo01876	0.0	0.0
lmo0188	1.0	1.0
lmo0189	0.0	0.0
lmo0190	0.0	0.0
lmo0191	0.0	0.0
lmo0192	0.0	0.0
lmo0193	0.0	0.0
lmo0194	0.0	0.0
lmo0195	0.0	0.0
lmo0196	0.0	0.0
lmo0197	0.0	0.0
lmo0198	4.0	2.0
lmo0199	0.0	0.0
lmo0200	3.0	1.584962501
lmo0201	0.0	0.0
lmo0202	2.0	1.0
lmo0203	15.0	3.906890596
lmo0204	2.0	1.0
lmo0205	2.0	1.0
lmo0206	5.0	2.321928095
lmo0207	0.0	0.0
lmo0208	0.0	0.0
lmo0209	1.0	1.0
lmo0210	1.0	1.0
lmo0211	0.0	0.0
lmo0212	0.0	0.0
lmo0213	2.0	1.0
lmo0214	15.0	3.906890596
lmo0215	0.0	0.0
lmo0216	0.0	0.0
lmo0217	0.0	0.0
lmo0218	0.0	0.0
lmo0219	0.0	0.0
lmo0220	8.0	3.0
lmo0221	0.0	0.0
lmo0222	5.0	2.321928095
lmo0223	108.0	6.754887502
lmo0224	0.0	0.0
lmo0225	0.0	0.0
lmo0226	1.0	1.0
lmo0227	0.0	0.0
lmo0228	4.0	2.0
lmo0229	0.0	0.0
lmo0230	0.0	0.0
lmo0231	0.0	0.0
lmo0232	0.0	0.0
lmo0233	0.0	0.0
lmo02333	0.0	0.0
lmo0234	3.0	1.584962501
lmo0235	16.0	4.0
lmo0236	0.0	0.0
lmo0237	1.0	1.0
lmo0238	2.0	1.0
lmo0239	2.0	1.0
lmo0240	1.0	1.0
lmo0241	0.0	0.0
lmo0242	0.0	0.0
lmo0243	1.0	1.0
lmo0244	0.0	0.0
lmo0245	0.0	0.0
lmo0246	18.0	4.169925001
lmo0247	0.0	0.0
lmo0248	45.0	5.491853096
lmo0249	1.0	1.0
lmo0250	7.0	2.807354922
lmo0251	26.0	4.700439718
lmo0252	0.0	0.0
lmo0253	3.0	1.584962501
lmo0254	0.0	0.0
lmo0255	2.0	1.0
lmo0256	0.0	0.0
lmo0257	0.0	0.0
lmo0258	4.0	2.0
lmo0259	9.0	3.169925001
lmo0260	0.0	0.0
lmo0261	1.0	1.0
lmo0262	0.0	0.0
lmo0263	1.0	1.0
