Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0001	-1.4521194394640355	-1.329021338122831	-0.9360377945341538	-1.2456717077862596	0.22008318435407184
lmo0002	-0.3529549676589552	-0.8594050456877129	-0.5102958758389287	-0.42694624550235716	0.2116404328611098
lmo0003	0.5543646654534209	-1.3081478863723683	-1.5114297487778003	-1.2247982560357968	0.9296225687617378
lmo0004	2.5125553311411464	0.12287942937197371	0.9079298942104508	0.9912795245470223	0.9945226627597362
lmo0005	-0.16504575163332635	-0.4156120893630524	0.004171546000894644	-0.08169612129675485	0.172445251840592
lmo0006	0.2563177195258275	0.09407631267525662	0.1823383780073362	0.2656880083439077	0.06632027446418735
lmo0007	-0.3713462344737062	-0.8121864790934437	-0.26989812123190315	-0.2879966041371347	0.23539765505036078
lmo0008	-0.06869497848193529	0.1961542619359422	0.1917790928290115	0.275128723165583	0.1238327743728709
lmo0009	0.1135980144054356	0.3066395103016921	0.11691337084267861	0.2002630011792501	0.09022934895783415
lmo0010	0.7160958501555408	0.6694133121348385	0.4169084310088911	0.75276294247141	0.13142428581765067
lmo0011	-0.005660249720805588	0.29179372402811143	-0.31915639604417034	0.07768938061576591	0.2494480015899456
lmo0012	0.058695242918264334	0.29712835940675486	-0.24207805404696625	0.14204487325483584	0.2206199556591415
lmo0013	-0.27555774407536493	-0.6740998387610526	0.013912749012688685	-0.19220811373879343	0.28205403117925565
lmo0014	-0.6957438826374274	-1.3066881692402221	-0.6819991903139924	-0.6123942523008559	0.2912956036384038
lmo0015	-0.2256622882566992	-1.3410009728837045	-0.8226484249474852	-0.7392987946109137	0.45571216461203257
lmo0016	-0.6266674169197453	-1.4354158416717668	-0.8590086571892632	-0.7756590268526917	0.3399839389657337
lmo0017	-2.8609000311661665	-1.6642007511422081	2.4014996344607793	-1.5808511208056366	2.2522793154464837
lmo0018	-3.126389888339591	-1.6349381814149009	-1.1490336288546592	-1.5515885510783294	0.8413262813499742
lmo0019	6.006680648288013	3.5452386940928404	4.970033678328915	5.053383308665486	1.0090355230671098
lmo0020	1.8802328476574042	0.5677321425221367	1.2912404285899601	1.3745900589265316	0.5367633878378291
lmo0021	3.984846688522034	1.472665437987147	2.551712340614139	2.6350619709507104	1.028983906188868
lmo0022	5.224972953200098	2.25001772083435	4.610815383389636	4.694165013726208	1.2823985235427826
lmo0023	3.2428305310026104	1.8277144990392484	4.207257353247982	3.326180161339182	0.9772351402697244
lmo0024	2.057674739671371	-0.14453951191696124	3.0451032233931845	2.1410243700079423	1.3332743069968227
lmo0025	4.395783699530666	1.541754126447894	4.221034256195541	4.304383886532112	1.306163346328882
lmo0026	0.2796389830736681	2.149731644898355	-1.4947517548828237	0.3629886134102396	1.488025100820133
lmo0027	0.15209148963351637	-2.0119655194672736	1.0125321678222532	0.23544111997008788	1.2724031139601704
lmo0028	1.4015831868742303	0.024877807644814176	-2.0850776877055317	0.10822743798138568	1.4338771816257738
lmo0029	-1.4958323427656728	-0.9793707432175056	-1.3794113247261661	-1.2960616943895946	0.22118843251424886
lmo0030	-3.9657000508930276	-1.9365129393082725	-2.733812094748412	-2.6504624644118406	0.8347211253254598
lmo0031	-4.047717046916731	-7.3615601536476465	-2.3478247392031673	-3.96436741658016	2.0818990476087103
lmo0032	2.1321295714896906	1.3315790233075662	2.2281595801069676	2.215479201826262	0.401934162322978
lmo0033	1.351172159385868	0.7147853943738394	0.3399229049103125	0.7981350247104109	0.4174173311855542
lmo0034	1.9163831284222574	1.1754644818300068	-0.4693402019499544	1.2588141121665783	0.9969965283420482
lmo0035	1.2753566922541424	0.887324172487375	1.140806655840982	1.2241562861775535	0.16087480227474418
lmo0036	1.7935170596651488	-0.7087896218271643	3.313375177906237	1.8768666900017204	1.6582895171443925
lmo0037	2.0172404205573553	0.9165383887122651	2.1338888422186972	2.100590050893927	0.5484416249536611
lmo0038	2.1144623377192344	1.258305190165749	0.06409374501722453	1.3416548205023204	0.8408433202558191
lmo0039	2.2452286790127642	1.2199793283478018	2.3223231050570536	2.3285783093493357	0.5024652098090021
lmo0040	-0.9097504510633811	-4.52047890216919	-1.7218340371169303	-1.6384844067803588	1.5466541945993513
lmo0041	0.21415192594225108	-0.8161584310927523	-1.4031242740461014	-0.7328088007561808	0.6684684518157322
lmo0042	-2.0280252314470673	-0.8770630924371794	-1.1825069633574055	-1.099157333020834	0.48681629496491363
lmo0043	4.142313877106976	1.8048005337433226	4.243538873701963	4.225663507443548	1.1265315412619887
lmo0044	-0.09615876583899041	-0.7116233085882682	-0.41202113394277706	-0.32867150360620556	0.25129157522642825
lmo0045	0.33764777232840704	-0.3429036439117068	-0.10159310165209146	-0.018243471315519955	0.2817235747890329
lmo0046	0.49423431207451873	-0.18627650949509178	0.08771976256957448	0.17106939290614598	0.2795677247183764
lmo0047	4.3092163426434515	1.8007056587476518	2.541115025177196	2.6244646555137674	1.0523526104211482
lmo0048	-3.3467852623865193	-2.87832390510395	-3.052596909615361	-2.9692472792787896	0.19332583614046045
lmo0049	-3.2684586499285286	-3.025720236358194	-3.139448931940003	-3.0560993016034317	0.09916297525727068
lmo0050	-3.8596730885549375	-3.971355385877528	-2.961389059053807	-3.776323458218366	0.4520839541636117
lmo0051	-4.314396553032624	-3.270690368672833	-4.501526010822065	-4.231046922696052	0.5415303840073505
lmo0052	0.2883278436626151	-0.19943362390234487	-0.25156195451111696	-0.11608399356577337	0.24315281118059945
lmo0053	0.46069967287252656	-0.43078157547592344	-0.3371831481480809	-0.2538335178115094	0.4000161771499524
lmo0054	-0.13888439148580023	-0.3469011339534971	-0.5443514897208432	-0.2635515036169256	0.1655499843587595
lmo0055	-1.0758153221586744	-1.5355570506350267	-0.9932934867591525	-0.9924656918221029	0.23856564037958583
lmo0056	-3.2846399426601556	-0.6029826077623177	0.22748145821863464	-0.5196329774257462	1.4987384829029373
