Gene	LogFc_0	LogFc_1	LogFc_2	LOGFC	STDEV
lmo0001	-1.283863709757716	-1.2729602408847063	-0.8131106684140459	-1.1736383943189708	0.21939030183904085
lmo0002	-0.5913488086771999	-0.7452861954418948	-0.3442522989638608	-0.49202696211146435	0.16518729783047692
lmo0003	-4.089087752856019	-3.265831345940226	0.607345896716966	-3.1665094993744907	2.047647487278102
lmo0004	0.453162112621289	0.015154803305869713	-0.4151182666416311	0.11447664987160522	0.3544786680227647
lmo0005	0.013072569239955811	-0.3162572039663063	0.1847237259414971	0.11239441580569132	0.20787392312765834
lmo0006	0.19807127028120242	-0.11773353189857882	0.3688966299507399	0.2973931168469379	0.20158342386866696
lmo0007	-0.31200614352182576	-0.6751363750134898	-0.10667996187686768	-0.21268429695609026	0.23503311812221078
lmo0008	-0.06488277495263262	0.08481066389874048	0.11205870189070488	0.18413251046447598	0.07778807923316232
lmo0009	-0.07543431437611225	0.12885731509239928	0.16425928236011167	0.2281791616581348	0.10564163187855194
lmo0010	0.6129492243152779	0.60840141382642	0.48744508665415154	0.7077232603921555	0.058120950739060574
lmo0011	-0.39145191763322096	0.019401861555647493	-0.23501369100591063	-0.13569184444017512	0.16931266934589
lmo0012	-0.21504955299787198	0.026422975688068284	-0.18249728801898968	-0.08317544145325417	0.10698717921771139
lmo0013	-0.4997982054358836	-0.7040417638667398	0.3081274994091281	-0.4004763588701481	0.43702860232232205
lmo0014	-0.8950834563683845	-1.2142892869422086	-0.4427911919007901	-0.795761609802649	0.3165210130679561
lmo0015	-0.6744814746189025	-1.310705792839559	-0.5958960623795928	-0.575159628053167	0.3200538150708078
lmo0016	-0.766416871949609	-1.332115754650185	-0.7515665610076478	-0.6670950253838734	0.2702412757072125
lmo0017	-1.2150633391810688	0.27605687099897125	-4.490778706854097	-1.1157414926153333	1.9909928309905642
lmo0018	-1.7933721174331767	-2.5240550055020776	-1.0796387776536713	-1.6940502708674412	0.5896939886737242
lmo0019	4.617884150687179	3.1124078925838354	4.617370425716662	4.716692272282398	0.709567258871346
lmo0020	1.7065283884183078	1.2915610400429332	1.8854119465529404	1.8058502349840433	0.24874264405680852
lmo0021	3.5038522787661286	1.759774955459429	2.988932374111166	3.0882542206769017	0.7316477733102883
lmo0022	4.655580555591897	3.0486369310281374	6.434298398766955	4.754902402157633	1.382783366671358
lmo0023	3.357419497636089	3.199518381601897	6.265471045254147	3.4567413442018244	1.409561094092172
lmo0024	2.355246644626055	1.73725140456086	4.350711714279106	2.4545684911917904	1.1152465473019992
lmo0025	3.772916527421277	2.0854088559868247	6.071638328016276	3.8722383739870123	1.6337356464168256
lmo0026	5.105328986365707	-1.1628410912169018	3.3041139065713017	3.403435753137037	2.634978786282849
lmo0027	-3.362015251859998	-5.411508477928597	-1.2493726717823872	-3.2626934052942627	1.6992500183467354
lmo0028	-3.946477869691109	-0.5365141563555769	-0.17231581363287862	-0.43719230978984136	1.6998298014310045
lmo0029	-1.5496718693188853	-1.1326837167859418	-1.1286202957584592	-1.0333618702202063	0.19753482346749185
lmo0030	-2.775623367382841	-1.6316994341539521	-3.7800817493748484	-2.6763015208171055	0.8776892121754055
lmo0031	-2.237881875948605	-1.2830803884727562	-1.131456331733764	-1.1837585419070207	0.4897633464756438
lmo0032	0.09468698140193244	-2.058560138623239	0.9907268606749935	0.19400882796766794	1.2796489027695401
lmo0033	0.33074537667693615	0.46985916007334705	1.0897488071160502	0.5691810066390826	0.32993299431853207
lmo0034	0.8175699645334422	0.386925753112763	0.39425845623867195	0.49358030280440746	0.20130155334722885
lmo0035	-0.418990488764047	-0.8446132304979521	0.5035486608004831	-0.3196686421983115	0.5627090906113337
lmo0036	-0.7570999611592883	-0.716910477899142	1.6233173244024126	-0.6175886313334065	1.112787681387545
lmo0037	2.504991412357085	0.39273015280020473	0.7560381125604065	0.855359959126142	0.922103750918375
lmo0038	2.1031339830132323	0.8826099550438178	3.0942027597862527	2.202455829578968	0.9044973408924467
lmo0039	1.3556721094327342	1.892610134727052	1.8996409625809108	1.9919319812927876	0.2547883628823932
lmo0040	-1.4705013925718244	-1.5452256181020942	-1.6567732081558848	-1.4459037715363587	0.07653885288523603
lmo0041	-3.615037695276702	-2.788490566198722	-2.2723517152838237	-2.6891687196329865	0.5530104591014368
lmo0042	-0.8901431893894944	-2.4376394228119214	-1.1331695074445607	-1.0338476608788252	0.6794972114915002
lmo0043	4.733739497406534	2.0587542471587463	3.3966361253528694	3.495957971918605	1.0920581708458545
lmo0044	-0.45975421005035955	-0.7551233443805971	-0.2920065085865673	-0.36043236348462404	0.1914446309444919
lmo0045	-0.0677894117405593	-0.49330394566221525	-0.07948172141040821	0.019840125155327293	0.19789114908305094
lmo0046	0.40460538890917164	-0.25869458128887235	0.147607043528323	0.2469288900940585	0.27306816615846286
lmo0047	3.52430912009011	1.6626815542376834	2.649443797719737	2.7487656442854727	0.7604637657661858
lmo0048	-3.330522323022741	-2.7985588045570067	-2.800524187107859	-2.7012023405421237	0.25030804838578014
lmo0049	-3.063572568676042	-2.5848522823735456	-2.8092164938525386	-2.709894647286803	0.19556454595457093
lmo0050	-3.7475111880345864	-3.597519173295489	-3.5830120139558908	-3.4981973267297537	0.07436250580785983
lmo0051	-2.822255294040815	-3.135922215413201	-3.6865489817538553	-3.0366003688474654	0.3572394702584118
lmo0052	-0.041667495211768824	-0.3503855487089309	-0.13473346808762976	-0.035411621521894254	0.12930323177997066
lmo0053	0.13139118399007899	-0.2736955859239947	-0.42112937405222794	-0.17437373935825917	0.2335977026382087
lmo0054	-0.37847279115358035	-0.5136135580298253	-0.41825413111491017	-0.31893228454917466	0.05670489120835249
lmo0055	-1.6366394930636172	-0.7996677374499637	-0.8845784786299253	-0.7852566320641898	0.3761393540658633
lmo0056	-1.4408283270966358	-1.5841479427793788	0.6896943072135668	-1.3415064805309003	1.0397663084345505
lmo0057	0.1356782452541605	0.7008765739886509	1.5205793293484953	0.8001984205543864	0.5685569228488763
lmo0058	0.6476857275738119	1.153960817319171	3.006423143553506	1.2532826638849066	1.0138799695644867
lmo0059	-1.1684470271134497	2.2985209002719333	-2.4216346071417725	-1.0691251805477142	1.99639157076584
lmo0060	1.0251167411637798	0.4196952820352715	0.903154007924702	1.0024758544904375	0.26143671235673216
lmo0061	0.34298833506225535	0.1255403822957346	0.3901185957222495	0.44231018162799085	0.11523237616620907
lmo0062	2.7212904471879273	1.610545122720863	0.9106507353137694	1.7098669692865984	0.7455067996981154
lmo0063	-0.13319950534230918	2.0386470249723807	0.028459811609943042	0.12778165817567855	0.9879217084793751
lmo0064	-0.16100495807873472	-0.04514633275032276	0.47033663112707735	0.054175513815412746	0.2744161700312823
lmo0065	1.6122862175834012	2.3983234410823604	1.5082970297960934	1.7116080641491367	0.39732652129084084
lmo0066	-0.9184687741051025	-0.05027670211832369	0.8816673764525307	0.049045144447411815	0.7350561127475936
lmo0067	-0.6634580547975748	-1.6651739494542674	-1.135277723406234	-1.0359558768404984	0.4091778401290128
lmo0068	0.5028250458938466	0.26745951460521766	0.3158960686279979	0.4152179151937334	0.10148096462229107
lmo0069	-0.0484603774504313	-2.412805763820531	0.8439694054984823	0.0508614691153042	1.3740913978592346
lmo0070	-0.19131510724948342	1.1552220808436493	1.7465405872844593	1.2545439274093848	0.810905164191691
lmo0071	0.9720753197528138	-1.899997135116986	2.0123385356671086	1.0713971663185493	1.6545331045106828
lmo0072	-1.357589944099903	0.3719477239864766	0.6449495887707681	0.4712695705522121	0.8866914247304889
lmo0073	0.2861618848489993	-0.1983711364380909	0.32664534805916645	0.3854837314147348	0.23852637135940047
lmo0074	0.03145209049763942	-0.9106615898620447	2.5476357003418313	0.13077393706337492	1.4597784570346013
lmo0075	-1.0863321555989947	-0.9800935619758517	-1.6776217932038167	-0.9870103090332591	0.3068578584574576
lmo0076	-2.3182111333501494	-1.479447805307296	-1.361721396496793	-1.3801259587415604	0.4258659210631572
lmo0077	-7.171001086756893	-2.2246427457335933	-2.005303241093526	-2.125320899167858	2.385115997384094
lmo0078	-0.9358496728845829	-0.5559074153348176	-0.7337451399170458	-0.6344232933513103	0.15521619961367975
lmo0079	0.23768456196231025	-0.17358811128498441	0.5602089614174082	0.33700640852804575	0.30030083877310026
lmo0080	0.4124353152243341	-0.11509214312031713	-3.8284358394886233	-0.01577029655458162	1.8871552599832555
lmo0081	2.38385659340683	1.041368905394612	1.7141372108377704	1.8134590574035059	0.5480687747457668
