Gene	RAWVALUE	VALUE
LMOf2365_0001	1.0	1.0
LMOf2365_0002	3.0	1.584962501
LMOf2365_0003	1.0	1.0
LMOf2365_0004	0.0	0.0
LMOf2365_0005	0.0	0.0
LMOf2365_0006	6.0	2.584962501
LMOf2365_0007	2.0	1.0
LMOf2365_0008	2.0	1.0
LMOf2365_0009	1.0	1.0
LMOf2365_0010	0.0	0.0
LMOf2365_0011	3.0	1.584962501
LMOf2365_0012	21.0	4.392317423
LMOf2365_0013	1.0	1.0
LMOf2365_0014	0.0	0.0
LMOf2365_0015	0.0	0.0
LMOf2365_0016	1.0	1.0
LMOf2365_0017	0.0	0.0
LMOf2365_0018	0.0	0.0
LMOf2365_0019	0.0	0.0
LMOf2365_0020	0.0	0.0
LMOf2365_0021	0.0	0.0
LMOf2365_0022	3.0	1.584962501
LMOf2365_0023	4.0	2.0
LMOf2365_0024	0.0	0.0
LMOf2365_0025	2.0	1.0
LMOf2365_0026	2.0	1.0
LMOf2365_0027	2.0	1.0
LMOf2365_0028	0.0	0.0
LMOf2365_0029	0.0	0.0
LMOf2365_0030	2.0	1.0
LMOf2365_0031	0.0	0.0
LMOf2365_0032	1.0	1.0
LMOf2365_0033	0.0	0.0
LMOf2365_0034	0.0	0.0
LMOf2365_0035	1.0	1.0
LMOf2365_0036	0.0	0.0
LMOf2365_0037	3.0	1.584962501
LMOf2365_0038	0.0	0.0
LMOf2365_0039	1.0	1.0
LMOf2365_0040	1.0	1.0
LMOf2365_0041	0.0	0.0
LMOf2365_0042	1.0	1.0
LMOf2365_0043	0.0	0.0
LMOf2365_0044	1.0	1.0
LMOf2365_0045	3.0	1.584962501
LMOf2365_0046	3.0	1.584962501
LMOf2365_0047	0.0	0.0
LMOf2365_0048	0.0	0.0
LMOf2365_0049	1.0	1.0
LMOf2365_0050	0.0	0.0
LMOf2365_0051	0.0	0.0
LMOf2365_0052	6.0	2.584962501
LMOf2365_0053	68.0	6.087462841
LMOf2365_0054	1.0	1.0
LMOf2365_0055	1.0	1.0
LMOf2365_0056	2.0	1.0
LMOf2365_0057	0.0	0.0
LMOf2365_0058	1.0	1.0
LMOf2365_0059	4.0	2.0
LMOf2365_0060	0.0	0.0
LMOf2365_0061	6.0	2.584962501
LMOf2365_0062	17.0	4.087462841
LMOf2365_0063	0.0	0.0
LMOf2365_0064	0.0	0.0
LMOf2365_0065	4.0	2.0
LMOf2365_0066	0.0	0.0
LMOf2365_0067	0.0	0.0
LMOf2365_0068	5.0	2.321928095
LMOf2365_0069	1.0	1.0
LMOf2365_0070	0.0	0.0
LMOf2365_0071	6.0	2.584962501
