z-2	start	end	strand	bits score	Rfam ID
Bacteria_large_SRP	2784262	2784528	-	205.46	RF01854
Bacteria_small_SRP	2784313	2784412	-	72.96	RF00169
LhrA	2346166	2346434	-	322.91	RF00615
LhrC-1	231884	231994	+	131.15	RF00616
LhrC-2	232086	232197	+	135.72	RF00616
LhrC-3	232289	232400	+	131.79	RF00616
LhrC-4	232492	232605	+	123.56	RF00616
LhrC-5	981621	981731	+	119.48	RF00616
RatA-1	507057	507150	+	38.55	RF01776
RatA-2	2039298	2039385	-	47.33	RF01776
RatA-3	2154755	2154842	+	53.68	RF01776
rli22	31997	32107	+	139.03	RF01457
rli23-1	172171	172268	+	105.29	RF01458
rli23-2	357509	357606	-	105.29	RF01458
rli23-3	855385	855482	-	105.29	RF01458
rli24	271029	271186	+	192.29	RF01461
rli26	388520	388707	-	206.73	RF01462
rli27	434831	434929	+	109.47	RF01463
rli28-1	507206	507394	-	167.43	RF01492
rli28-2	2039064	2039248	+	100.35	RF01492
rli28-3	2154893	2155080	-	71.23	RF01492
rli28-4	2783098	2783286	-	166.81	RF01492
rli31	597812	597926	+	121.16	RF01465
rli32	600604	600750	-	169.55	RF01468
rli33	708326	708860	+	590.58	RF01469
rli34-1	678220	678303	-	31.05	RF01466
rli34-2	802948	803031	-	92	RF01466
rli36	859444	859527	-	100.31	RF01467
rli37	907576	907832	+	221.17	RF01493
rli38	1152768	1152917	+	154.48	RF01470
rli40	1275547	1275810	-	274.05	RF01472
rli41	1276713	1277207	-	545.58	RF01473
rli42	1399447	1399617	-	185.68	RF01474
rli43	1861377	1861630	-	282.58	RF01477
rli45	2153775	2153852	+	95.4	RF01475
rli47	2226024	2226532	+	612.2	RF01478
rli48	2361274	2361423	-	164.27	RF01479
rli49	2660202	2660364	+	194.04	RF01488
rli59	1702373	1702553	-	215.26	RF01484
rliA	513584	513807	+	243.89	RF01464
rliB	544357	544716	+	372.54	RF01471
rliD	1359202	1359529	-	396.62	RF01494
rliE	1584586	1584808	+	233.92	RF01459
rliF	2106073	2106292	-	213.26	RF01476
rliH	1180826	1181254	+	507.39	RF01460
rliI	2841962	2842200	-	276.09	RF01487
RNaseP_bact_b	1961807	1962188	-	313.74	RF00011
sbrA	1399363	1399433	+	89.83	RF01489
tmRNA	2509851	2510220	-	199.97	RF00023
