Position	Strand	Type	Locus	Product	EGDe_37C_TSS	sigB	prfA	EGDe_30C	EGDe_minusO2	EGDe_Stat	EGDe_Complete_TSS
156	+	Upstream	lmo0001	chromosomal replication initiation protein	146	144	32	817	478	166	1783
1844	+	Upstream	lmo0002	DNA polymerase III subunit beta	2	0	0	4	3	0	9
4611	+	Upstream	lmo0004	YaaA protein	11	15	5	28	86	29	174
4617	+	Upstream	lmo0004	YaaA protein	2	0	0	2	4	0	8
10697	+	Upstream	lmo0008	cardiolipin synthase	5	2	0	8	8	5	28
12875	+	Upstream	lmo0010	mevalonate kinase	5	15	3	17	24	6	70
16024	+	Upstream	lmo0013	AA3-600 quinol oxidase subunit II	0	0	0	7	3	0	10
21619	+	Upstream	lmo0018	beta-glucosidase	6	12	3	2	7	0	30
23976	-	Upstream	lmo0019	hypothetical protein	51	0	10	8	23	45	137
24147	+	Upstream	lmo0020	transcriptional regulator GntR family	8	12	0	0	5	0	25
24167	+	Upstream	lmo0020	transcriptional regulator GntR family	3	2	0	0	0	0	5
27497	+	Middle	lmo0025	phosphoheptose isomerase	28	0	16	11	6	18	79
28964	+	Upstream	lmo0027	PTS system- beta-glucosides specific enzyme IIABC	55	14	9	7	5	0	90
31064	+	Upstream	lmo0028	similar microcin C7 self-immunity protein MccF	0	2	0	0	4	0	6
32161	+	Upstream	lmo0029	hypothetical protein	179	148	63	34	169	224	817
32167	+	Upstream	lmo0029	hypothetical protein	8	3	0	0	6	0	17
34484	-	Upstream	lmo0031	LacI family transcription regulator	0	2	0	2	0	0	4
34595	+	Upstream	lmo0032	xylose repressor	2	0	0	2	0	0	4
40639	+	Upstream	lmo0036	putrescine carbamoyltransferase	8	17	17	13	15	10	80
45300	+	Upstream	lmo0040	agmatine deiminase	24	37	15	12	30	13	131
46126	+	Middle	lmo0040	agmatine deiminase	3	6	0	0	2	0	11
47300	+	Upstream	lmo0042	similar DedA protein	3	0	0	5	8	0	16
48066	+	Upstream	lmo0043	arginine deiminase	7	0	3	0	0	2	12
49453	+	Upstream	lmo0044	30S ribosomal protein S6	58	33	21	29	16	2	159
49882	+	Upstream	lmo0045	highly single-strand binding protein SSB	5	5	2	7	18	9	46
49914	+	Upstream	lmo0045	highly single-strand binding protein SSB	6	11	12	114	64	9	216
50474	+	Upstream	lmo0046	30S ribosomal protein S18	2	2	2	10	11	3	30
50483	+	Upstream	lmo0046	30S ribosomal protein S18	0	3	0	6	93	3	105
50491	+	Upstream	lmo0046	30S ribosomal protein S18	6	15	5	27	10	7	70
50876	+	Upstream	lmo0047	hypothetical protein	3	24	9	8	22	50	116
51762	+	Upstream	lmo0048	putative accessory gene regulator protein	2004	2197	879	2666	5119	480	13345
51775	+	Upstream	lmo0048	putative accessory gene regulator protein	0	2	2	0	6	2	12
52577	+	Upstream	lmo0050	sensor histidine kinase AgrC from Staphylococcus	0	5	0	3	3	3	14
52607	+	Upstream	lmo0050	sensor histidine kinase AgrC from Staphylococcus	13	7	0	0	2	0	22
54791	+	Upstream	lmo0052	YybT protein	9	20	9	0	3	0	41
55725	+	Middle	lmo0052	YybT protein	3	0	0	4	2	4	13
58835	+	Upstream	lmo0055	adenylosuccinate synthetase	63	45	30	265	216	54	673
60463	+	Upstream	lmo0056	a small heat shock protein of Clostridium acetobutylicum	2	3	0	11	10	11	37
73659	+	Middle	lmo0066	toxin components	8	7	3	0	0	0	18
74087	+	Middle	lmo0066	toxin components	28	40	10	2	0	2	82
77597	+	Intergenic	NA	NA	2	0	0	0	0	0	2
77830	+	Upstream	lmo0072	hypothetical protein	8	15	11	2	4	7	47
81548	-	Upstream	lmo0077	hypothetical protein	0	5	0	17	11	4	37
81629	+	Upstream	lmo0078	phosphoglycerate dehydrogenase	98	89	33	43	62	4	329
81638	+	Upstream	lmo0078	phosphoglycerate dehydrogenase	4	0	0	0	2	0	6
82705	+	Upstream	lmot01	tRNA-Lys	262	815	366	285	208	150	2086
83662	+	Middle	lmo0079	hypothetical protein	6	8	2	3	7	2	28
85920	+	Middle	lmo0082	hypothetical protein	31	64	39	34	28	56	252
87782	-	Upstream	lmo0084	oxidoreductases	0	0	2	2	0	0	4
103156	+	Upstream	lmo0095	hypothetical protein	0	2	0	0	4	0	6
104111	+	Upstream	lmo0096	PTS system mannose-specific- factor IIAB	28	10	9	5	2	3	57
104131	+	Upstream	lmo0096	PTS system mannose-specific- factor IIAB	4	2	0	2	2	0	10
106929	+	Upstream	lmo0099	hypothetical protein	2	0	0	2	0	2	6
106955	+	Upstream	lmo0099	hypothetical protein	11	20	4	6	2	0	43
107478	+	Upstream	lmo0100	hypothetical protein	6	16	12	0	0	2	36
108208	-	Upstream	lmo0101	transcription regulator	3	0	0	0	0	0	3
109321	+	Upstream	lmo0104	hypothetical protein	288	336	87	11	11	8	741
109866	+	Upstream	lmo0105	highly chitinase B	29	32	6	99	337	11	514
110133	+	Middle	lmo0105	highly chitinase B	5	6	0	0	0	0	11
112359	+	Upstream	lmo0106	transcription regulator	14	15	2	0	4	2	37
116938	+	Upstream	lmo0109	transcriptional regulatory proteins- AraC family	6	7	5	2	6	3	29
119045	+	Upstream	lmo0111	hypothetical protein	7	8	0	2	14	0	31
121152	-	Middle	lmo0114	putative repressor C1 from lactococcal bacteriophage Tuc2009	4	0	3	0	0	0	7
121471	-	Upstream	lmo0114	putative repressor C1 from lactococcal bacteriophage Tuc2009	48	38	17	32	23	17	175
121570	+	Upstream	lmo0115	Antigen D	2	0	2	0	2	2	8
122577	+	Upstream	lmo0117	antigen B	10	16	2	107	14	0	149
123196	+	Upstream	lmo0118	antigen A	24	10	0	12	0	0	46
133827	-	Upstream	lmo0130	5-nucleotidase- putative peptidoglycan bound protein LPXTG motif	55	40	24	15	6	6	146
133908	+	Upstream	lmo0131	hypothetical protein	33	16	5	5	17	8	84
133945	+	Upstream	lmo0131	hypothetical protein	18	14	9	4	13	28	86
136332	-	Upstream	lmo0132	inosine 5-monophosphate dehydrogenase	9	5	3	0	9	0	26
136438	+	Upstream	lmo0133	E. coli YjdI protein	90	0	33	3	7	51	184
136710	+	Upstream	lmo0134	E. coli YjdJ protein	5	0	0	0	0	2	7
137100	+	Upstream	NA	NA	169	235	62	113	54	12	645
137130	+	Upstream	NA	NA	8	15	3	16	6	10	58
141013	+	Upstream	lmo0138	hypothetical protein	4	0	0	0	0	0	4
142430	+	Middle	lmo0140	hypothetical protein	13	21	5	0	2	6	47
143795	+	Intergenic	NA	NA	0	0	0	2	0	0	2
146799	+	Middle	lmo0149	hypothetical protein	11	16	9	10	9	13	68
150037	-	Upstream	lmo0152	oligopeptide ABC transporter-binding protein	6	3	0	7	0	0	16
152041	+	Middle	lmo0155	high-affinity zinc ABC transporter membrane protein	0	0	2	0	0	0	2
153586	+	Upstream	lmo0157	ATP dependent helicase	3	10	4	26	36	18	97
155968	+	Upstream	lmo0158	hypothetical protein	8	13	5	16	8	3	53
162292	-	Upstream	lmo0161	hypothetical protein	3	8	0	3	16	0	30
162441	+	Upstream	lmo0162	DNA polymerase III subunit delta	48	36	27	13	36	0	160
163664	+	Middle	lmo0163	hypothetical protein	4	5	3	0	0	0	12
166995	-	Upstream	lmo0168	AbrB transcription regulatory protein	9	8	4	0	3	0	24
167060	+	Upstream	lmo0169	glucose uptake protein	131	0	37	51	19	79	317
169473	+	Upstream	lmo0171	internalin proteins- putative peptidoglycan bound protein LPXTG motif	12	3	3	0	2	0	20
174793	+	Upstream	lmo0176	glucose uptake protein	9	8	9	10	68	15	119
175736	+	Upstream	lmo0177	methionyl-tRNA synthetase	19	9	4	16	59	6	113
177865	+	Upstream	lmo0178	xylose repressor	0	4	0	0	0	0	4
189598	+	Upstream	lmo0185	hypothetical protein	11	8	3	0	0	0	22
190668	+	Upstream	lmo0186	YabE protein	3	3	0	21	199	7	233
191988	+	Upstream	lmo0187	YabF protein	3	11	3	4	8	0	29
193576	+	Upstream	lmo0189	Veg protein	35	48	13	71	77	45	289
193960	+	Upstream	lmo0190	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	13	12	2	6	12	4	49
195727	+	Upstream	lmo0192	pur operon repressor	3	4	2	0	0	0	9
196729	+	Upstream	lmo0193	hypothetical protein	2	0	0	0	0	0	2
199775	+	Intergenic	NA	NA	2	0	0	0	0	0	2
199884	+	Upstream	lmo0196	SpoV	7	4	0	0	0	0	11
199957	+	Upstream	lmo0196	SpoV	3141	2514	769	1876	3355	947	12602
199972	+	Upstream	lmo0196	SpoV	10	14	3	3	5	8	43
199996	+	Upstream	lmo0196	SpoV	4	6	2	3	10	3	28
200025	+	Upstream	lmo0196	SpoV	12	19	8	4	6	2	51
200052	+	Upstream	lmo0196	SpoV	4	6	2	2	2	2	18
200076	+	Upstream	lmo0196	SpoV	10	9	0	3	3	4	29
200082	+	Upstream	lmo0196	SpoV	9	12	6	3	13	4	47
200407	+	Upstream	lmo0197	SpoG	172	321	129	164	227	241	1254
200410	+	Upstream	lmo0197	SpoG	635	1796	1512	1197	1203	3645	9988
200418	+	Upstream	lmo0197	SpoG	9	20	14	18	14	103	178
200437	+	Upstream	lmo0197	SpoG	3	2	2	2	2	0	11
200450	+	Upstream	lmo0197	SpoG	2	4	0	0	3	0	9
200460	+	Upstream	lmo0197	SpoG	12	6	4	0	5	0	27
200467	+	Upstream	lmo0197	SpoG	10	2	3	0	0	0	15
200480	+	Upstream	lmo0197	SpoG	0	0	0	2	3	0	5
200521	+	Upstream	lmo0197	SpoG	15	23	19	0	2	0	59
200942	+	Intergenic	NA	NA	0	0	2	5	43	2	52
201185	+	Upstream	lmo0198	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase-glucosamine-1-phosphate acetyltransferase	3	4	2	30	26	2	67
204467	-	Middle	NA	NA	13	4	21	2	2	3	45
205604	-	Upstream	lmo0201	phosphatidylinositol-specific phospholipase c	6	0	0	0	0	0	6
205686	+	Upstream	lmo0202	listeriolysin O precursor	231	232	0	0	2	0	465
206018	+	Middle	lmo0202	listeriolysin O precursor	0	2	0	0	0	0	2
207589	+	Upstream	lmo0203	Zinc metalloproteinase precursor	6	2	0	0	0	0	8
209321	+	Upstream	lmo0204	actin-assembly inducing protein precursor	12	12	0	0	0	0	24
213694	-	Upstream	lmo0208	hypothetical P	16	9	0	4	4	0	33
214429	-	Upstream	lmo0209	hypothetical P	39	57	26	33	209	51	415
215448	-	Upstream	lmo0210	L-lactate dehydrogenase	4	2	0	2	0	2	10
215458	-	Upstream	lmo0210	L-lactate dehydrogenase	885	743	158	493	1323	234	3836
215587	-	Intergenic	NA	NA	7	0	0	0	0	0	7
215689	+	Upstream	lmo0211	50S ribosomal protein L25-general stress protein Ctc	192	137	45	49	220	125	768
215803	+	Middle	lmo0211	50S ribosomal protein L25-general stress protein Ctc	7	4	0	0	0	0	11
216417	+	Upstream	lmo0212	hypothetical protein	82	83	23	4	30	6	228
217060	+	Upstream	lmo0213	peptidyl-tRNA hydrolase	7	2	3	2	7	0	21
217779	+	Upstream	lmo0214	transcription-repair coupling factor	9	22	7	14	9	6	67
222584	+	Middle	lmo0215	conserved membrane-spanning protein	4	6	2	0	3	4	19
223422	+	Upstream	lmo0217	DivIC protein	129	135	40	8	34	5	351
223450	+	Upstream	lmo0217	DivIC protein	4	5	0	0	0	0	9
223995	+	Upstream	lmo0218	hypothetical protein	10	4	0	5	10	0	29
224473	+	Upstream	lmo0219	hypothetical protein	18	11	0	3	44	0	76
226546	+	Intergenic	NA	NA	2	0	0	0	0	0	2
226640	+	Upstream	lmo0220	highly cell division protein ftsH	13	7	0	2	6	0	28
226692	+	Upstream	lmo0220	highly cell division protein ftsH	2	7	0	0	0	2	11
226739	+	Upstream	lmo0220	highly cell division protein ftsH	3	2	0	0	2	0	7
229013	+	Upstream	lmo0221	pantothenate kinase	0	0	0	5	5	2	12
230808	+	Upstream	lmo0223	highly cysteine synthase	186	162	43	32	56	25	504
230814	+	Upstream	lmo0223	highly cysteine synthase	3	6	2	0	0	0	11
232492	+	Intergenic	NA	NA	49	15	49	102	142	60	417
232644	+	Upstream	lmo0224	dihydropteroate synthases	11	9	12	73	222	61	388
235447	+	Upstream	lmo0228	lysyl-tRNA synthetase	4	2	2	0	0	0	8
235453	+	Upstream	lmo0228	lysyl-tRNA synthetase	3	4	0	0	0	0	7
235489	+	Upstream	lmo0228	lysyl-tRNA synthetase	321	551	248	119	218	203	1660
235499	+	Upstream	lmo0228	lysyl-tRNA synthetase	6	14	3	2	0	2	27
235519	+	Upstream	lmo0228	lysyl-tRNA synthetase	2	6	2	0	2	0	12
237153	+	Intergenic	NA	NA	2110	1740	511	296	200	23	4880
237216	+	Upstream	lmor01	16S rRNA	3	6	2	0	0	0	11
237236	+	Upstream	lmor01	16S rRNA	8	7	5	2	0	0	22
237242	+	Upstream	lmor01	16S rRNA	2	0	0	4	2	0	8
243218	+	Intergenic	NA	NA	15	16	8	8	6	0	53
243249	+	Intergenic	NA	NA	6	14	10	8	3	0	41
243263	+	Intergenic	NA	NA	5	7	3	10	8	0	33
243287	+	Intergenic	NA	NA	0	7	5	3	2	2	19
248502	+	Upstream	lmo0229	CtsR  repressor  of transcription class III stress genes	2	9	2	0	2	3	18
250133	+	Middle	lmo0231	ATP:guanido phosphotransferase	35	0	9	0	2	6	52
250591	+	Upstream	lmo0232	endopeptidase Clp ATP-binding chain C	2	0	2	0	0	2	6
252952	+	Middle	lmo0232	endopeptidase Clp ATP-binding chain C	0	0	0	0	7	4	11
253178	+	Upstream	lmo0233	DNA repair protein RadA	20	28	6	10	13	30	107
254641	+	Upstream	lmo0234	YacL protein	85	56	22	7	14	2	186
254679	+	Upstream	lmo0234	YacL protein	4	0	0	0	0	0	4
255978	+	Middle	lmo0235	ispD 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2	7	2	0	0	0	11
258644	+	Upstream	lmo0238	serine O-acetyltransferase	0	0	0	0	3	0	3
258656	+	Upstream	lmo0238	serine O-acetyltransferase	0	0	0	0	6	0	6
258676	+	Upstream	lmo0238	serine O-acetyltransferase	7	5	3	0	9	4	28
258683	+	Upstream	lmo0238	serine O-acetyltransferase	0	4	0	3	9	6	22
261817	+	Middle	lmo0241	YacO protein	3	3	2	4	13	0	25
262064	+	Upstream	lmo0242	Yacp protein	10	9	0	0	5	4	28
263306	+	Upstream	lmo0244	50S ribosomal protein L33	34	39	13	78	77	3	244
263754	+	Upstream	lmo0246	transcription antitermination protein NusG	7	4	2	9	24	0	46
264945	+	Upstream	lmo0248	50S ribosomal protein L11	36	24	40	25	181	16	322
264964	+	Upstream	lmo0248	50S ribosomal protein L11	4	0	0	4	0	5	13
266237	+	Middle	NA	NA	100	104	46	130	87	25	492
266406	+	Upstream	lmo0250	50S ribosomal protein L10	3	5	3	0	2	2	15
267503	+	Upstream	lmo0252	repressor penicilinase repressor	11	19	4	8	15	6	63
270348	+	Upstream	lmo0256	hypothetical protein	3	3	0	29	96	6	137
271014	+	Intergenic	NA	NA	49	53	19	45	79	3	248
272765	+	Upstream	lmo0258	DNA-directed RNA polymerase subunit beta	74	111	42	87	119	87	520
272827	+	Upstream	lmo0258	DNA-directed RNA polymerase subunit beta	3	0	0	4	12	0	19
272908	+	Upstream	lmo0258	DNA-directed RNA polymerase subunit beta	0	0	0	2	7	0	9
272952	+	Upstream	lmo0258	DNA-directed RNA polymerase subunit beta	0	0	0	0	5	0	5
280386	+	Upstream	lmo0260	hypothetical protein	2	5	0	0	2	0	9
280392	+	Upstream	lmo0260	hypothetical protein	5	2	2	0	5	0	14
280989	+	Upstream	lmo0261	phospho-beta-glucosidase	11	9	8	9	20	3	60
284308	+	Upstream	lmo0263	internalin H	73	0	28	37	45	36	219
287826	+	Upstream	lmo0265	succinyl-diaminopimelate desuccinylase	406	2	395	484	437	882	2606
287832	+	Upstream	lmo0265	succinyl-diaminopimelate desuccinylase	5	0	0	0	0	0	5
288225	+	Middle	lmo0265	succinyl-diaminopimelate desuccinylase	10	0	3	0	0	3	16
289119	+	Upstream	lmo0266	transcriptional regulators	36	53	39	47	60	58	293
290567	+	Upstream	lmo0268	phosphoglycerate mutase	35	39	14	30	54	2	174
295324	-	Upstream	lmo0271	highly phospho-beta-glucosidase	6	8	3	5	7	0	29
296241	-	Upstream	lmo0272	YxeH protein	8	7	0	23	16	3	57
296320	+	Upstream	lmo0273	hypothetical protein	11	16	0	27	42	13	109
297658	-	Upstream	lmo0274	hypothetical protein	4	0	2	0	0	0	6
298784	-	Middle	lmo0276	hypothetical protein	17	14	6	0	5	0	42
299514	-	Upstream	lmo0276	hypothetical protein	2	0	0	0	3	0	5
299570	+	Upstream	lmo0277	oxidoreductase	28	9	5	13	29	0	84
300052	+	Middle	lmo0277	oxidoreductase	0	2	4	5	7	0	18
301747	-	Upstream	lmo0278	sugar ABC transporter- ATP-binding protein	3	5	28	4	10	209	259
301975	+	Upstream	lmo0279	anaerobic ribonucleoside triphosphate reductase	77	69	75	10	48	36	315
306578	-	Upstream	lmo0282	hypothetical protein	34	53	19	12	7	4	129
309385	-	Upstream	NA	NA	34	86	20	83	64	67	354
309408	-	Upstream	NA	NA	17	31	4	15	74	10	151
309510	+	Upstream	lmo0286	transaminase	4	7	0	4	12	0	27
310794	+	Upstream	lmo0287	two-component response regulator	44	39	7	32	79	41	242
311796	+	Upstream	lmo0288	two-component sensor histidine kinase	0	2	0	0	0	0	2
315916	+	Upstream	lmo0291	YycJ protein	6	10	5	4	4	0	29
316838	+	Upstream	lmo0292	heat-shock protein htrA serine protease	35	31	30	41	11	63	211
316845	+	Upstream	lmo0292	heat-shock protein htrA serine protease	5	0	0	0	2	7	14
316852	+	Upstream	lmo0292	heat-shock protein htrA serine protease	7	0	3	0	0	7	17
318784	+	Intergenic	NA	NA	8	7	4	4	2	0	25
318889	+	Upstream	lmo0293	rRNA large subunit methyltransferase	5	3	4	3	0	0	15
319024	+	Upstream	lmo0293	rRNA large subunit methyltransferase	51	57	17	29	25	5	184
324033	-	Upstream	lmo0297	transcriptional antiterminator BglG family	5	0	0	0	2	0	7
327476	-	Upstream	lmo0301	PTS beta-glucoside-specific enzyme IIA component	8	17	0	2	9	0	36
327586	+	Upstream	lmo0302	hypothetical protein	5	4	0	0	0	2	11
327598	+	Upstream	lmo0302	hypothetical protein	3	2	0	0	0	0	5
327615	+	Upstream	lmo0302	hypothetical protein	4	0	0	0	0	0	4
327889	+	Middle	lmo0302	hypothetical protein	45	59	15	33	60	62	274
328662	+	Upstream	lmo0304	hypothetical protein	13	16	7	6	10	2	54
333492	+	Upstream	lmo0309	hypothetical protein	0	5	0	2	4	2	13
340078	+	Upstream	NA	NA	25	20	15	10	8	3	81
340093	+	Middle	NA	NA	47	32	44	427	78	25	653
344771	-	Intergenic	NA	NA	6	9	7	5	14	10	51
346317	+	Upstream	lmo0321	hypothetical protein	0	0	0	3	4	6	13
348463	-	Upstream	lmo0323	hypothetical protein	6	0	2	0	0	0	8
348568	+	Upstream	lmo0324	hypothetical protein	0	2	0	0	5	0	7
349202	+	Upstream	lmo0325	transcriptional regulators	4	0	2	2	0	0	8
349222	+	Upstream	lmo0325	transcriptional regulators	18	0	4	3	5	2	32
351361	+	Upstream	lmo0327	cell surface proteins LPXTG motif	37	63	4	3	10	11	128
360971	+	Middle	lmo0333	internalin proteins- putative peptidoglycan bound protein LPXTG motif	11	8	4	0	2	0	25
366465	+	Upstream	lmo0334	hypothetical protein	3	14	9	14	43	14	97
367218	+	Upstream	lmo0335	hypothetical P	0	2	0	0	3	2	7
368630	+	Middle	lmo0337	hypothetical protein	2	10	0	0	22	4	38
369106	+	Middle	lmo0337	hypothetical protein	0	3	0	0	15	3	21
371093	-	Upstream	lmo0341	hypothetical P	12	7	3	10	109	5	146
378820	-	Upstream	lmo0351	phosphotransferase (mannnose) - specific family component IIA	5	5	3	3	0	0	16
378924	+	Upstream	lmo0352	regulatory protein DeoR family	55	51	19	7	11	0	143
381805	-	Upstream	lmo0354	fatty-acid--CoA ligase	71	56	21	9	71	4	232
381961	+	Upstream	lmo0355	fumarate reductase flavoprotein subunit	863	945	268	100	808	170	3154
381972	+	Upstream	lmo0355	fumarate reductase flavoprotein subunit	16	18	6	2	40	4	86
381989	+	Upstream	lmo0355	fumarate reductase flavoprotein subunit	12	19	0	0	4	0	35
382002	+	Upstream	lmo0355	fumarate reductase flavoprotein subunit	82	89	21	0	0	0	192
382016	+	Upstream	lmo0355	fumarate reductase flavoprotein subunit	12	21	14	4	4	4	59
383659	+	Upstream	lmo0356	oxidoreductase	17	11	3	4	24	0	59
384883	+	Upstream	lmo0357	PTS system- enzyme IIA component	0	2	2	0	3	0	7
386789	+	Middle	lmo0359	D-fructose-1-6-biphosphate aldolase	14	13	4	0	2	0	33
389759	-	Upstream	lmo0362	hypothetical	0	0	0	27	2	0	29
395573	+	Upstream	lmo0368	hypothetical protein	18	17	6	5	31	8	85
396154	+	Upstream	lmo0369	YeeI protein	2	9	2	0	0	0	13
396169	+	Upstream	lmo0369	YeeI protein	26	34	23	13	21	5	122
396183	+	Upstream	lmo0369	YeeI protein	2	4	2	6	0	0	14
396198	+	Upstream	lmo0369	YeeI protein	2	4	2	0	0	0	8
396928	+	Upstream	lmo0370	hypothetical P	6	7	2	0	0	0	15
396936	+	Upstream	lmo0370	hypothetical P	23	16	7	5	2	0	53
396942	+	Upstream	lmo0370	hypothetical P	3	0	2	0	3	0	8
398079	-	Upstream	lmo0371	GntR transcription reg ulator	7	8	7	5	6	0	33
401367	+	Upstream	lmo0375	hypothetical protein	25	30	18	17	28	0	118
402595	-	Upstream	lmo0376	putative transcription regulator	0	4	2	0	4	0	10
402605	+	Upstream	lmo0377	hypothetical protein	15	20	2	5	11	4	57
406585	+	Upstream	lmo0383	IolA methylmalonate-semialdehyde dehydrogenase IolA	8	7	0	0	0	0	15
411958	+	Upstream	lmo0387	YhdG protein	32	23	5	5	69	14	148
412423	+	Upstream	lmo0388	hypothetical protein	4	3	0	0	5	0	12
413992	-	Upstream	lmo0389	low temperature requirement protein A	0	0	0	0	0	4	4
414058	+	Upstream	lmo0390	uracil-DNA glycosylase	21	18	5	0	3	0	47
414897	+	Upstream	lmo0391	hypothetical protein	8	0	0	0	0	0	8
416774	+	Upstream	lmo0394	L. monocytogenes extracellular P60 protein	22	103	14	8	41	16	204
418795	-	Upstream	lmo0396	pyrroline-5-carboxylate reductase	6	10	2	4	10	0	32
418869	+	Upstream	lmo0397	hypothetical protein	6	8	5	7	25	2	53
419509	+	Upstream	lmo0398	phosphotransferase system enzyme IIA	285	976	455	201	252	107	2276
426163	+	Upstream	lmo0403	hypothetical protein	2	10	3	10	19	0	44
427071	+	Upstream	lmo0405	phosphate transport protein	0	0	0	0	4	0	4
428551	+	Upstream	lmo0407	hypothetical protein	9	4	0	0	0	0	13
435846	-	Upstream	lmo0412	hypothetical protein	64	82	36	7	46	4	239
436132	+	Upstream	lmo0413	hypothetical protein	26	35	7	14	36	3	121
437438	+	Upstream	lmo0415	endo-1-4-beta-xylanase	283	412	135	330	4053	437	5650
438981	+	Upstream	lmo0416	putative transcription regulator	2	0	0	0	5	0	7
439999	-	Upstream	lmo0418	hypothetical protein	11	17	13	0	2	0	43
440653	-	Upstream	lmo0419	hypothetical protein	0	6	0	2	0	0	8
440729	+	Upstream	lmo0420	hypothetical protein	3	4	0	0	0	0	7
443870	-	Upstream	lmo0423	RNA polymerase factor sigma C	2	3	0	0	12	6	23
444918	-	Upstream	lmo0424	Staphylococcus xylosus glucose uptake protein	3	3	0	0	0	0	6
445030	+	Upstream	lmo0425	transcription antiterminator BglG family	2	0	2	16	13	5	38
447478	+	Middle	lmo0427	PTS fructose-specific enzyme IIB component	4	4	2	0	0	0	10
452461	-	Upstream	lmo0430	transcriptional regulator LysR family	4	0	0	0	0	0	4
452497	+	Upstream	lmo0431	acetyltransferase	27	20	27	7	12	4	97
454095	+	Intergenic	NA	NA	424	0	72	59	100	45	700
454124	+	Intergenic	NA	NA	4	0	4	0	0	7	15
454138	+	Intergenic	NA	NA	20	30	5	12	52	56	175
454144	+	Intergenic	NA	NA	14	0	9	0	17	70	110
454324	+	Upstream	lmo0433	internalin A	8	0	0	0	0	2	10
456999	+	Upstream	lmo0434	internalin B	3	2	0	0	0	4	9
457012	+	Upstream	lmo0434	internalin B	2	2	0	5	19	35	63
469543	+	Upstream	lmo0440	hypothetical protein	5	3	3	2	5	0	18
472178	-	Upstream	lmo0441	penicillin-binding protein D-alanyl-D-alanine carboxypeptidase	3	0	2	0	0	0	5
472187	-	Upstream	lmo0441	penicillin-binding protein D-alanyl-D-alanine carboxypeptidase	14	12	6	9	13	5	59
472311	+	Upstream	lmo0442	hypothetical protein	0	0	0	0	3	0	3
