Srna	EGD-e begin	EGD-e end	Strand curated by hand for new Srna	10403S Average GEI	Delta_sigB Average GEI	FC range (10403S/Delta_sigB)
sbrA	1399363	1399432	+	2.09	0.51	02-janv
sbrD	2613033	2613100	+	2.28	2.04	0.33-2
rli57	1216481	1216681	+	2.96	3.97	0.67-0.86
rliB	544440	544663	+	3.06	2.24	0.36-3
rli39	1179809	1179999	+	3.94	1.99	1.75-2
sbrB	1275554	1275719	+	6.26	14.33	0.29-0.71
rli59	1702373	1702553	+	6.91	4.14	0.25-3.29
rli31	597791	597953	+	7.46	5.46	0.36-3
rli51	207589	207709	+	8.68	16.94	0.09-1.1
rliH	1180826	1181254	+	8.79	11.08	0.48-1.16
rliD	1359202	1359529	+	10.4	6.85	0.81-2.47
rli66	1057315	1057642	-	14.47	29.94	0.44-0.53
rli53	955825	956026	+	15.52	11.34	0.78-1.96
rli42	1399456	1399633	+	20.56	23.43	0.24-2.07
rli69	2468115	2468289	+	20.62	49.18	0.33-0.53
rli44	2039093	2039372	+	25.2	45.98	0.34-0.89
rliI	2841973	2842198	+	29.23	38.99	0.53-1.18
rli24	271027	271193	+	32.7	34.1	0.82-1.11
rli65	531124	531268	+	43.8	82.82	0.4-0.7
rli70	2533504	2533732	+	45.73	17.84	0.8-6.31
rli67	1535169	1535409	-	52.11	65.68	0.51-1.49
rli32	600606	600759	+	56.02	67.52	0.19-1.6
rli68	2174995	2175265	+	189.49	224.23	0.52-1.18
rli30	540650	540770	+	269.2	306.99	0.3-1.46
rnpB	1961670	1962219	+	1243.83	1422.3	0.65-1.12
SRP	2784211	2784544	+	1462.2	1295.75	0.62-2.71
rli47	2226033	2226547	+	2359.89	20.95	30.82-470.9
LhrA	2346171	2346387	+	4532.33	4914.67	0.58-1.4
ssrS-6S	1546334	1546544	+	7921.44	6428.62	0.41-2.12
ssrA	2509801	2510230	+	8566.23	7110.59	0.65-1.87
