Description	from	to	 10403S Average GEI	Delta_sigB Average GEI	FC range (10403S/Delta_sigB)	ID
rliI	2681235	2681460	29.23	38.99	0.53-1.18	rliI
6S-ssrS	1404418	1404628	7921.44	6428.62	0.41-2.12	ssrS-6S
lhrA	2193210	2193426	4532.33	4914.67	0.58-1.4	LhrA
rnpB	1806961	1807510	1243.83	1422.3	0.65-1.12	rnpB
SRP	2623466	2623799	1462.2	1295.75	0.62-2.71	SRP
rli24 	161945	162111	32.7	34.1	0.82-1.11	rli24 
rli30	419482	419602	269.2	306.99	0.3-1.46	rli30
rli31 	477023	477185	7.46	5.46	0.36-3	rli31 
rli32 	479838	479991	56.02	67.52	0.19-1.6	rli32 
rli39	1037938	1038128	3.94	1.99	1.75-2	rli39
rli42	1257547	1257724	20.56	23.43	0.24-2.07	rli42
rli44	1884385	1884664	25.2	45.98	0.34-0.89	rli44
rli47-(sbrE)	2072821	2073334	2359.89	20.95	30.82-470.9	rli47
rli51	107606	107726	8.68	16.94	0.09-1.1	rli51
rli53	836741	836942	15.52	11.34	0.78-1.96	rli53
rli57	1074606	1074806	2.96	3.97	0.67-0.86	rli57
rli59	1559972	1560152	6.91	4.14	0.25-3.29	rli59
rli64	222952	223741	1.99	2.17	0.67-1.38	rli64
rli65	409956	410100	43.8	82.82	0.4-0.7	rli65
rli66	938236	938563	14.47	29.94	0.44-0.53	rli66
rli67	1393256	1393496	52.11	65.68	0.51-1.49	rli67
rli68	2020305	2020575	189.49	224.23	0.52-1.18	rli68
rli69	2305436	2305610	20.62	49.18	0.33-0.53	rli69
rli70	2370319	2370547	45.73	17.84	0.8-6.31	rli70
rliB	423176	423572	3.06	2.24	0.36-3	rliB
rliD	1217293	1217620	10.4	6.85	0.81-2.47	rliD
rliH	1038953	1039381	8.79	11.08	0.48-1.16	rliH
sbrA	1257454	1257523	2.09	0.51	2-Jan	sbrA
sbrB	1133688	1133853	6.26	14.33	0.29-0.71	sbrB
sbrD	2449849	2449916	2.28	2.04	0.33-2	sbrD
tmRNA-ssrA	2346617	2347046	8566.23	7110.59	0.65-1.87	ssrA
