NCBI id	RAST id	begin RAST	end RAST	length RAST	diffcenter NCBI-RAST	description RAST
EGD0001	fig|6666666.16889.peg.1	318	1673	1356	0	Chromosomal replication initiator protein DnaA
EGD0099	fig|6666666.16889.peg.100	105018	104725	294	0	"transcriptional regulator, ArsR family"
EGD0980	fig|6666666.16889.peg.1000	1003473	1004240	768	0	TerC-like integral membrane protein
EGD0981	fig|6666666.16889.peg.1001	1004343	1005110	768	0	membrane protein
EGD0982	fig|6666666.16889.peg.1002	1005073	1006488	1416	0	"Potassium uptake protein, integral membrane component, KtrD"
EGD0983	fig|6666666.16889.peg.1003	1006937	1006569	369	0	FIG00774070: hypothetical protein
EGD0984	fig|6666666.16889.peg.1004	1007998	1006967	1032	0	membrane protein
EGD0985	fig|6666666.16889.peg.1005	1008185	1008664	480	0	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
EGD0986	fig|6666666.16889.peg.1006	1010854	1008680	2175	0	ATP-dependent Clp protease ATP-binding subunit ClpA
EGD0988	fig|6666666.16889.peg.1008	1011774	1012565	792	0	FIG00774331: hypothetical protein
EGD0989	fig|6666666.16889.peg.1009	1014032	1012566	1467	16	Phytoene dehydrogenase and related proteins
EGD0100	fig|6666666.16889.peg.101	105130	105420	291	0	FIG00774166: hypothetical protein
EGD0990	fig|6666666.16889.peg.1010	1014366	1014142	225	30	FIG00774146: hypothetical protein
EGD0991	fig|6666666.16889.peg.1011	1014733	1014999	267	0	"Phosphotransferase system, phosphocarrier protein HPr"
EGD0992	fig|6666666.16889.peg.1012	1014999	1016717	1719	0	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
EGD0993	fig|6666666.16889.peg.1013	1016926	1017864	939	48	FIG00774338: hypothetical protein
EGD0994	fig|6666666.16889.peg.1014	1017877	1018737	861	0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
EGD0995	fig|6666666.16889.peg.1015	1019925	1018780	1146	0	"N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)"
EGD0996	fig|6666666.16889.peg.1016	1020145	1020366	222	0	FIG00775035: hypothetical protein
EGD0997	fig|6666666.16889.peg.1017	1020672	1020905	234	0	FIG00775017: hypothetical protein
EGD0998	fig|6666666.16889.peg.1018	1021106	1021558	453	0	FIG042801: CBS domain containing protein
EGD0999	fig|6666666.16889.peg.1019	1021555	1022433	879	0	Cys regulon transcriptional activator CysB
EGD0101	fig|6666666.16889.peg.102	105434	106066	633	0	NADH dehydrogenase (EC 1.6.99.3)
EGD1000	fig|6666666.16889.peg.1020	1022481	1023191	711	0	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)"
EGD1001	fig|6666666.16889.peg.1021	1023255	1024370	1116	0	"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)"
EGD1002	fig|6666666.16889.peg.1022	1025295	1024414	882	0	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
EGD1003	fig|6666666.16889.peg.1024	1025631	1026824	1194	0	"Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)"
EGD1004	fig|6666666.16889.peg.1025	1026817	1027665	849	0	"Glycine betaine ABC transport system, permease protein OpuAB"
EGD1005	fig|6666666.16889.peg.1026	1027679	1028581	903	0	"Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC"
EGD1006	fig|6666666.16889.peg.1027	1028696	1029187	492	0	"PTS system, glucose-specific IIA component (EC 2.7.1.69)"
EGD1007	fig|6666666.16889.peg.1028	1029300	1029995	696	0	Cytoplasmic copper homeostasis protein cutC
EGD1008	fig|6666666.16889.peg.1029	1030076	1030948	873	0	S1 RNA binding domain
EGD0102	fig|6666666.16889.peg.103	106159	106530	372	0	FIG00774471: hypothetical protein
EGD1009	fig|6666666.16889.peg.1030	1031083	1031796	714	0	hypothetical protein
EGD1010	fig|6666666.16889.peg.1031	1031793	1032851	1059	0	"histidine kinase, putative"
EGD1011	fig|6666666.16889.peg.1032	1032848	1033486	639	0	DNA-binding response regulator
EGD1012	fig|6666666.16889.peg.1033	1033505	1034164	660	0	Trk system potassium uptake protein TrkA
EGD1013	fig|6666666.16889.peg.1034	1034319	1035239	921	0	FIG00774894: hypothetical protein
EGD1014	fig|6666666.16889.peg.1035	1035236	1036087	852	0	FIG00774689: hypothetical protein
EGD1015	fig|6666666.16889.peg.1036	1037094	1036129	966	0	"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)"
