NP_463534.1	lmo0001
NP_463535.1	lmo0002
NP_463536.1	lmo0003
NP_463537.1	lmo0004
NP_463538.1	lmo0005
NP_463539.1	lmo0006
NP_463540.1	lmo0007
NP_463541.1	lmo0008
NP_463542.1	lmo0009
NP_463543.1	lmo0010
NP_463544.1	lmo0011
NP_463545.1	lmo0012
NP_463546.1	lmo0013
NP_463547.1	lmo0014
NP_463548.1	lmo0015
NP_463549.1	lmo0016
NP_463550.1	lmo0017
NP_463551.1	lmo0018
NP_463552.1	lmo0019
NP_463553.1	lmo0020
NP_463554.1	lmo0021
NP_463555.1	lmo0022
NP_463556.1	lmo0023
NP_463557.1	lmo0024
NP_463558.1	lmo0025
NP_463559.1	lmo0026
NP_463560.1	lmo0027
NP_463561.1	lmo0028
NP_463562.1	lmo0029
NP_463563.1	lmo0030
NP_463564.1	lmo0031
NP_463565.1	lmo0032
NP_463566.1	lmo0033
NP_463567.1	lmo0034
NP_463568.1	lmo0035
NP_463569.1	lmo0036
NP_463570.1	lmo0037
NP_463571.1	lmo0038
NP_463572.1	lmo0039
NP_463573.1	lmo0040
NP_463574.1	lmo0041
NP_463575.1	lmo0042
NP_463576.1	lmo0043
NP_463577.1	lmo0044
NP_463578.1	lmo0045
NP_463579.1	lmo0046
NP_463580.1	lmo0047
NP_463581.1	lmo0048
NP_463582.1	lmo0049
NP_463583.1	lmo0050
NP_463584.1	lmo0051
NP_463585.1	lmo0052
NP_463586.1	lmo0053
NP_463587.1	lmo0054
NP_463588.1	lmo0055
NP_463589.1	lmo0056
NP_463590.1	lmo0057
NP_463591.1	lmo0058
NP_463592.1	lmo0059
NP_463593.1	lmo0060
NP_463594.1	lmo0061
NP_463595.1	lmo0062
NP_463596.1	lmo0063
NP_463597.1	lmo0064
NP_463598.1	lmo0065
NP_463599.1	lmo0066
NP_463600.1	lmo0067
NP_463601.1	lmo0068
NP_463602.1	lmo0069
NP_463603.1	lmo0070
NP_463604.1	lmo0071
NP_463605.1	lmo0072
NP_463606.1	lmo0073
NP_463607.1	lmo0074
NP_463608.1	lmo0075
NP_463609.1	lmo0076
NP_463610.1	lmo0077
NP_463611.1	lmo0078
NP_463612.1	lmo0079
NP_463613.1	lmo0080
NP_463614.1	lmo0081
NP_463615.1	lmo0082
NP_463616.1	lmo0083
NP_463617.1	lmo0084
NP_463618.1	lmo0085
NP_463619.1	lmo0086
NP_463620.1	lmo0087
NP_463621.1	lmo0088
NP_463622.1	lmo0089
NP_463623.1	lmo0090
NP_463624.1	lmo0091
NP_463625.1	lmo0092
NP_463626.1	lmo0093
NP_463627.1	lmo0094
NP_463628.1	lmo0095
NP_463629.1	lmo0096
NP_463630.1	lmo0097
NP_463631.1	lmo0098
NP_463632.1	lmo0099
NP_463633.1	lmo0100
NP_463634.1	lmo0101
NP_463635.1	lmo0102
NP_463636.1	lmo0103
NP_463637.1	lmo0104
NP_463638.1	lmo0105
NP_463639.1	lmo0106
NP_463640.1	lmo0107
NP_463641.1	lmo0108
NP_463642.1	lmo0109
NP_463643.1	lmo0110
NP_463644.1	lmo0111
NP_463645.1	lmo0112
NP_463646.1	lmo0113
NP_463647.1	lmo0114
NP_463648.1	lmo0115
NP_463649.1	lmo0116
NP_463650.1	lmo0117
NP_463651.1	lmo0118
NP_463652.1	lmo0119
NP_463653.1	lmo0120
NP_463654.1	lmo0121
NP_463655.1	lmo0122
NP_463656.1	lmo0123
NP_463657.1	lmo0124
NP_463658.1	lmo0125
NP_463659.1	lmo0126
NP_463660.1	lmo0127
NP_463661.1	lmo0128
NP_463662.1	lmo0129
NP_463663.1	lmo0130
NP_463664.1	lmo0131
NP_463665.1	lmo0132
NP_463666.1	lmo0133
NP_463667.1	lmo0134
NP_463668.1	lmo0135
NP_463669.1	lmo0136
NP_463670.1	lmo0137
NP_463671.1	lmo0138
NP_463672.1	lmo0139
NP_463673.1	lmo0140
NP_463674.1	lmo0141
NP_463675.1	lmo0142
YP_008475626.1	lmo0142a
NP_463676.1	lmo0143
NP_463677.1	lmo0144
NP_463679.1	lmo0146
NP_463680.1	lmo0147
NP_463681.1	lmo0148
NP_463682.1	lmo0149
NP_463683.1	lmo0150
NP_463684.1	lmo0151
NP_463685.1	lmo0152
NP_463686.1	lmo0153
NP_463687.1	lmo0154
NP_463688.1	lmo0155
NP_463689.1	lmo0156
NP_463690.1	lmo0157
NP_463691.1	lmo0158
NP_463692.1	lmo0159
NP_463693.1	lmo0160
NP_463694.1	lmo0161
NP_463695.1	lmo0162
NP_463696.1	lmo0163
NP_463697.1	lmo0164
NP_463698.1	lmo0165
NP_463699.1	lmo0166
NP_463700.1	lmo0167
NP_463701.1	lmo0168
NP_463702.1	lmo0169
NP_463703.1	lmo0170
NP_463704.1	lmo0171
NP_463705.1	lmo0174
NP_463706.1	lmo0175
NP_463707.1	lmo0176
NP_463708.1	lmo0177
NP_463709.1	lmo0178
NP_463710.1	lmo0179
NP_463711.1	lmo0180
NP_463712.1	lmo0181
NP_463713.1	lmo0182
NP_463714.1	lmo0183
NP_463715.1	lmo0184
NP_463716.1	lmo0185
NP_463717.1	lmo0186
NP_463718.1	lmo0187
NP_463719.1	lmo0188
NP_463720.1	lmo0189
NP_463721.1	lmo0190
NP_463722.1	lmo0191
NP_463723.1	lmo0192
NP_463724.1	lmo0193
NP_463725.1	lmo0194
NP_463726.1	lmo0195
NP_463727.1	lmo0196
NP_463728.1	lmo0197
NP_463729.1	lmo0198
NP_463730.1	lmo0199
NP_463731.1	lmo0200
NP_463732.1	lmo0201
NP_463733.1	lmo0202
NP_463734.1	lmo0203
NP_463735.1	lmo0204
NP_463736.1	lmo0205
NP_463737.1	lmo0206
NP_463738.1	lmo0207
NP_463739.1	lmo0208
NP_463740.1	lmo0209
NP_463741.1	lmo0210
NP_463742.1	lmo0211
NP_463743.1	lmo0212
NP_463744.1	lmo0213
NP_463745.1	lmo0214
NP_463746.1	lmo0215
NP_463747.1	lmo0216
NP_463748.1	lmo0217
NP_463749.1	lmo0218
NP_463750.1	lmo0219
NP_463751.1	lmo0220
