Srna	EGD-e identites	EGD-e begin	EGD-e end	10403S identities	10403S begin	10403S end	10403S Average GEI	Delta_sigB Average GEI	FC range (10403S/Delta_sigB)	
rliI	98.67256637168141	2841973	2842198	100.0	2804388	2804613	29.23	38.99	0.53-1.18	
ssrS-6S	99.5260663507109	1546334	1546544	100.0	1505249	1505459	7921.44	6428.62	0.41-2.12	
LhrA	100.0	2346171	2346387	100.0	2305395	2305611	4532.33	4914.67	0.58-1.4	
rnpB	100.0	1961670	1962219	100.0	1918181	1918730	1243.83	1422.3	0.65-1.12	
SRP	100.0	2784211	2784544	100.0	2746619	2746952	1462.2	1295.75	0.62-2.71	
rli24	97.0059880239521	271027	271193	100.0	262938	263104	32.7	34.1	0.82-1.11	
rli30	97.52066115702479	540650	540770	100.0	520425	520545	269.2	306.99	0.3-1.46	
rli31	100.0	597791	597953	100.0	577966	578128	7.46	5.46	0.36-3	
rli32	99.35064935064935	600606	600759	100.0	580781	580934	56.02	67.52	0.19-1.6	
rli39	100.0	1179809	1179999	100.0	1138769	1138959	3.94	1.99	1.75-2	
rli42	100.0	1399456	1399633	100.0	1358378	1358555	20.56	23.43	0.24-2.07	
rli44	100.0	2039093	2039372	100.0	1995605	1995884	25.2	45.98	0.34-0.89	
rli47	99.80544747081711	2226033	2226547	100.0	2183993	2184506	2359.89	20.95	30.82-470.9	
rli51	100.0	207589	207709	100.0	202048	202168	8.68	16.94	0.09-1.1	
rli53	100.0	955825	956026	100.0	937620	937821	15.52	11.34	0.78-1.96	
rli57	100.0	1216481	1216681	100.0	1175437	1175637	2.96	3.97	0.67-0.86	
rli59	100.0	1702373	1702553	100.0	1660754	1660934	6.91	4.14	0.25-3.29	
rli64	0	0	0	100.0	323945	324734	1.99	2.17	0.67-1.38	
rli65	100.0	531124	531268	100.0	510899	511043	43.8	82.82	0.4-0.7	
rli66	100.0	1057315	1057642	100.0	1039117	1039444	14.47	29.94	0.44-0.53	
rli67	100.0	1535169	1535409	100.0	1494087	1494327	52.11	65.68	0.51-1.49	
rli68	100.0	2174995	2175265	100.0	2131477	2131747	189.49	224.23	0.52-1.18	
rli69	100.0	2468115	2468289	100.0	2423105	2423279	20.62	49.18	0.33-0.53	
rli70	100.0	2533504	2533732	100.0	2487988	2488216	45.73	17.84	0.8-6.31	
rliB	56.1712846347607	544440	544663	100.0	524119	524515	3.06	2.24	0.36-3	
rliD	99.6951219512195	1359202	1359529	100.0	1318124	1318451	10.4	6.85	0.81-2.47	
rliH	100.0	1180826	1181254	100.0	1139784	1140212	8.79	11.08	0.48-1.16	
sbrA	100.0	1399363	1399432	100.0	1358285	1358354	2.09	0.51	2-Jan	
sbrB	98.79518072289157	1275554	1275719	100.0	1234519	1234684	6.26	14.33	0.29-0.71	
sbrD	100.0	2613033	2613100	100.0	2567518	2567585	2.28	2.04	0.33-2	
ssrA	99.76744186046511	2509801	2510230	100.0	2464286	2464715	8566.23	7110.59	0.65-1.87	
rli22	99.09909909909909	31997	32107	100.0	31999	32109				
rli23	100.0	172231	172268	100.0	166685	166722				
rli26	100.0	388520	388707	100.0	387870	388057				
rli27	98.98989898989899	434831	434929	100.0	434155	434253				
rli33	99.25373134328358	708326	708860	100.0	690661	691196				
rli34	100.0	802948	803031	100.0	785317	785400				
rli36	100.0	859444	859527	100.0	840502	840585				
rli37	99.61089494163424	907576	907832	100.0	888603	888859				
rli40	99.24242424242425	1275547	1275810	100.0	1234512	1234775				
rli41	100.0	1276715	1277207	100.0	1235681	1236173				
rli43	83.55263157894737	1861377	1861630	83.55263157894737	1818005	1818258				
rli45	100.0	2154775	2154852	100.0	2111285	2111362				
rli46	100.0	2154765	2155058	100.0	2111275	2111568				
rli49	98.38709677419355	2660179	2660364	100.0	2614665	2614850				
rli52	100.0	552327	552421	100.0	532508	532602				
rli54	99.62121212121212	1078584	1079111	100.0	1060386	1060913				
rli55	100.0	1198107	1198386	100.0	1157065	1157344				
rli56	100.0	1199859	1199958	100.0	1158816	1158915				
rli58	100.0	1639953	1640126	100.0	1598869	1599042				
rli60	100.0	2054124	2054308	100.0	2010635	2010818				
rli61	100.0	2275258	2275363	100.0	2234483	2234588				
rliA	99.55357142857143	513584	513807	100.0	493378	493601				
sbrC	98.63013698630137	1548463	1548535	100.0	1507378	1507450				
rliE	100.0	1584586	1584808	100.0	1543501	1543723				
rliF	100.0	2106073	2106292	100.0	2062583	2062802				
rliG	98.92086330935251	2386715	2386992	100.0	2344728	2345005				
