WP_003727573.1	LMON_RS00005
WP_003725616.1	LMON_RS00010
WP_003723766.1	LMON_RS00015
WP_010958651.1	LMON_RS00020
WP_003728715.1	LMON_RS00025
WP_003723769.1	LMON_RS00030
WP_003723770.1	LMON_RS00035
WP_014600341.1	LMON_RS00040
WP_003723772.1	LMON_RS00045
WP_003723774.1	LMON_RS00050
WP_003723775.1	LMON_RS00055
WP_022741803.1	LMON_RS00060
WP_003724123.1	LMON_RS00065
WP_003725631.1	LMON_RS00070
WP_003721631.1	LMON_RS00075
WP_003721632.1	LMON_RS00080
WP_014600343.1	LMON_RS00085
WP_014930782.1	LMON_RS00090
WP_009925167.1	LMON_RS00095
WP_003721636.1	LMON_RS00100
WP_014600344.1	LMON_RS00105
WP_003721638.1	LMON_RS00110
WP_003721639.1	LMON_RS00115
WP_003728733.1	LMON_RS00120
WP_003732177.1	LMON_RS00125
WP_014600346.1	LMON_RS00130
WP_003721643.1	LMON_RS00135
WP_009931862.1	LMON_RS00140
WP_003721652.1	LMON_RS00145
WP_003721653.1	LMON_RS00150
WP_003721654.1	LMON_RS00155
WP_014600347.1	LMON_RS00160
WP_014600348.1	LMON_RS00165
WP_003721657.1	LMON_RS00170
WP_003721658.1	LMON_RS00175
WP_003721659.1	LMON_RS00180
WP_003732183.1	LMON_RS00185
WP_014600349.1	LMON_RS00190
WP_003721662.1	LMON_RS00195
WP_009911777.1	LMON_RS00200
WP_003721664.1	LMON_RS00205
WP_003721665.1	LMON_RS00210
WP_014600350.1	LMON_RS00215
WP_003721667.1	LMON_RS00220
WP_003721668.1	LMON_RS00225
WP_003721669.1	LMON_RS00230
WP_003721670.1	LMON_RS00235
WP_003727551.1	LMON_RS00240
WP_003721672.1	LMON_RS00245
WP_003721673.1	LMON_RS00250
WP_003721674.1	LMON_RS00255
WP_003721675.1	LMON_RS00260
WP_003724881.1	LMON_RS00265
WP_014600351.1	LMON_RS00270
WP_014600352.1	LMON_RS00275
WP_003721680.1	LMON_RS00285
WP_014600353.1	LMON_RS00290
WP_014600354.1	LMON_RS00295
WP_003721683.1	LMON_RS00300
WP_014930786.1	LMON_RS00305
WP_014600356.1	LMON_RS00310
WP_003724890.1	LMON_RS00315
WP_014930787.1	LMON_RS00320
WP_009924116.1	LMON_RS00325
WP_014600358.1	LMON_RS00330
WP_003734176.1	LMON_RS00335
WP_014601569.1	LMON_RS00340
WP_003724896.1	LMON_RS00345
WP_003724897.1	LMON_RS00350
WP_014600359.1	LMON_RS00355
WP_077316656.1	LMON_RS14600
WP_014600361.1	LMON_RS00365
WP_003721701.1	LMON_RS00370
WP_014930790.1	LMON_RS00375
WP_003732204.1	LMON_RS00380
WP_014600363.1	LMON_RS00390
WP_014600364.1	LMON_RS00395
WP_014600365.1	LMON_RS00400
WP_014600366.1	LMON_RS00405
WP_014600367.1	LMON_RS00410
WP_003721711.1	LMON_RS00415
WP_014600368.1	LMON_RS00420
WP_014600369.1	LMON_RS00425
WP_003721714.1	LMON_RS00430
WP_014600370.1	LMON_RS00435
WP_014600371.1	LMON_RS00440
WP_003721717.1	LMON_RS00445
WP_009930830.1	LMON_RS00450
WP_003721719.1	LMON_RS00455
WP_003721720.1	LMON_RS00460
WP_014930792.1	LMON_RS00465
WP_003721722.1	LMON_RS00470
WP_003724931.1	LMON_RS00475
WP_003721724.1	LMON_RS00480
WP_003728363.1	LMON_RS00485
WP_003721726.1	LMON_RS00490
WP_003721727.1	LMON_RS00495
WP_003732214.1	LMON_RS00500
WP_003721729.1	LMON_RS00505
WP_003721730.1	LMON_RS00510
WP_077346005.1	LMON_RS00515
WP_003721732.1	LMON_RS00520
WP_003732216.1	LMON_RS00525
WP_014600373.1	LMON_RS00530
WP_010989345.1	LMON_RS00535
WP_014600374.1	LMON_RS00540
WP_003724943.1	LMON_RS00545
WP_014930793.1	LMON_RS00550
WP_003721739.1	LMON_RS00555
WP_003721740.1	LMON_RS00560
WP_003732219.1	LMON_RS00565
WP_003732220.1	LMON_RS00570
WP_014600375.1	LMON_RS00575
WP_003721744.1	LMON_RS00580
WP_003721745.1	LMON_RS00585
WP_009911444.1	LMON_RS00590
WP_014600377.1	LMON_RS00595
WP_003721748.1	LMON_RS00600
WP_014600378.1	LMON_RS00605
WP_003721751.1	LMON_RS00610
WP_009931689.1	LMON_RS00615
WP_009931691.1	LMON_RS00620
WP_003732226.1	LMON_RS00625
WP_003721755.1	LMON_RS00630
WP_010989349.1	LMON_RS00635
WP_014930794.1	LMON_RS00640
WP_014600380.1	LMON_RS00645
WP_003721759.1	LMON_RS00650
WP_008946537.1	LMON_RS00655
WP_014600381.1	LMON_RS00660
WP_003732232.1	LMON_RS00665
WP_014600382.1	LMON_RS00670
WP_003724035.1	LMON_RS00675
WP_014600383.1	LMON_RS00680
WP_014600384.1	LMON_RS00685
WP_014600385.1	LMON_RS00690
WP_014600386.1	LMON_RS00695
WP_003723993.1	LMON_RS00705
WP_003723994.1	LMON_RS00710
WP_014600387.1	LMON_RS00715
WP_003733905.1	LMON_RS00720
WP_014600388.1	LMON_RS00725
WP_014600389.1	LMON_RS00730
WP_014600390.1	LMON_RS00735
WP_003723481.1	LMON_RS00740
WP_014600391.1	LMON_RS00745
WP_003723483.1	LMON_RS00750
WP_014600392.1	LMON_RS00755
WP_014600393.1	LMON_RS00760
WP_014600394.1	LMON_RS00765
WP_003723487.1	LMON_RS00770
WP_014600395.1	LMON_RS00775
WP_009930814.1	LMON_RS00780
WP_003723490.1	LMON_RS00785
WP_003723491.1	LMON_RS00790
WP_010989364.1	LMON_RS00795
WP_003723493.1	LMON_RS00800
WP_014600397.1	LMON_RS00805
WP_003723495.1	LMON_RS00810
WP_014600398.1	LMON_RS00815
WP_014600399.1	LMON_RS00820
