Name	5' end	Strand asRNA	From	To	Strand	Locus	Product	Expressed?	L. innocua locus	Known?	comment
anti0387	412094	-	411992	412363	+	lmo0387	amino acid transporter	present	lin0405	No	
anti0421	441667	+	441622	442872	-	lmo0421	hypothetical protein	present	lin0441	No	
anti0424	444354	+	444031	444888	-	lmo0424	Xylosus glucose uptake protein	present	lin0444	No	
anti0441	471939	+	470122	472158	-	lmo0441	hypothetical protein	absent	lin0461	No	
anti0470	506968	-	506368	506997	+	lmo0470	hypothetical protein	absent	No homolog	No	
anti0570	607849	-	607372	608199	+	lmo0570	histidinol-phosphatase	absent	lin0579	No	
anti0571	608233	+	608184	608480	-	lmo0571	hypothetical protein	absent	lin0580	No	
anti0605	643800	+	643891	645231	-	lmo0605	Na+-driven multidrug efflux pump	present	lin0614	No	SigB dependent
anti0667	705124	-	704452	705387	+	lmo0667	hypothetical protein	absent	lin0762	No	
anti0671	707869	-	707612	708220	+	lmo0671	hypothetical protein	absent	lin0676	No	SigB dependent
anti0799	827498	+	826752	827513	-	lmo0799	hypothetical protein	absent	lin0792	No	
anti0811	838843	-	838751	839452	+	lmo0811	Carbonic anhydrase	present	lin0807	No	
anti0887	926280	-	926229	926507	+	lmo0887	hypothetical protein	present	lin0886	No	
anti0968	1000409	-	999722	1000516	+	lmo0968	inorganic polyphosphate/ATP-NAD kinase	absent	lin0967	No	
anti1023	1051778	-	1051695	1052354	+	lmo1023	hypothetical protein,  CheY-like receiver domain	absent	lin1022	No	
anti1079	1112017	-	1110769	1113627	+	lmo1079	hypothetical protein, 6-pyruvoyl-tetrahydropterin synthase	absent	No homolog	No	
anti1096	1130253	-	1129945	1131501	+	lmo1096	GMP synthase	absent	lin1081	No	
anti1188	1213983	-	1213636	1215087	+	lmo1188	hypothetical protein	absent	No homolog	No	
anti1236	1263477	+	1263187	1263681	-	lmo1236	glycine/serine hydroxymethyltransferase	absent	lin1199	No	
anti1255	1279827	+	1279721	1281205	-	lmo1255	phosphotransferase system (PTS) component	present	lin1223	No	SigB dependent
