Elements	begin	end	length	strand	type	details	synonim
LMON_RS00005	318.0	1673.0	1356.0	+	Gene		
LMON_RS00010	1867.0	3012.0	1146.0	+	Gene		
LMON_RS00015	3122.0	4465.0	1344.0	+	Gene		
LMON_RS00020	4645.0	4866.0	222.0	+	Gene		
LMON_RS00025	4870.0	5982.0	1113.0	+	Gene		
LMON_RS00030	6031.0	7971.0	1941.0	+	Gene		
LMON_RS00035	8066.0	10594.0	2529.0	+	Gene		
LMON_RS00040	10729.0	12243.0	1515.0	+	Gene		
LMON_RS00045	12259.0	12777.0	519.0	+	Gene		
LMON_RS00050	12919.0	13887.0	969.0	+	Gene		
LMON_RS00055	13844.0	14815.0	972.0	+	Gene		
LMON_RS00060	14796.0	15875.0	1080.0	+	Gene		
LMON_RS00065	16220.0	17326.0	1107.0	+	Gene		
LMON_RS00070	17345.0	19324.0	1980.0	+	Gene		
LMON_RS00075	19312.0	19923.0	612.0	+	Gene		
LMON_RS00080	19925.0	20257.0	333.0	+	Gene		
LMON_RS00085	20309.0	21427.0	1119.0	-	Gene		
LMON_RS00090	21653.0	23086.0	1434.0	+	Gene		
LMON_RS00095	23133.0	23954.0	822.0	-	Gene		
LMON_RS00100	24195.0	24935.0	741.0	+	Gene		
LMON_RS00105	24951.0	25352.0	402.0	+	Gene		
LMON_RS00110	25352.0	25840.0	489.0	+	Gene		
LMON_RS00115	25863.0	26666.0	804.0	+	Gene		
LMON_RS00120	26641.0	27468.0	828.0	+	Gene		
LMON_RS00125	27496.0	28200.0	705.0	+	Gene		
LMON_RS00130	28255.0	28896.0	642.0	+	Gene		
LMON_RS00135	29101.0	31005.0	1905.0	+	Gene		
LMON_RS00140	31090.0	31965.0	876.0	+	Gene		
LMON_RS00145	32199.0	32537.0	339.0	+	Gene		
LMON_RS00150	32573.0	33382.0	810.0	-	Gene		
LMON_RS00155	33399.0	34454.0	1056.0	-	Gene		
LMON_RS00160	34656.0	35621.0	966.0	+	Gene		
LMON_RS00165	35618.0	38020.0	2403.0	+	Gene		
LMON_RS00170	38033.0	39385.0	1353.0	+	Gene		
LMON_RS00175	39387.0	40472.0	1086.0	+	Gene		
LMON_RS00180	40707.0	41732.0	1026.0	+	Gene		
LMON_RS00185	41805.0	43190.0	1386.0	+	Gene		
LMON_RS00190	43177.0	44271.0	1095.0	+	Gene		
LMON_RS00195	44284.0	45225.0	942.0	+	Gene		
LMON_RS00200	45327.0	46436.0	1110.0	+	Gene		
LMON_RS00205	46453.0	47232.0	780.0	+	Gene		
LMON_RS00210	47337.0	47996.0	660.0	+	Gene		
LMON_RS00215	48076.0	49308.0	1233.0	+	Gene		
LMON_RS00220	49587.0	49880.0	294.0	+	Gene		
LMON_RS00225	49936.0	50472.0	537.0	+	Gene		
LMON_RS00230	50516.0	50755.0	240.0	+	Gene		
LMON_RS00235	50909.0	51520.0	612.0	+	Gene		
LMON_RS00240	51776.0	52390.0	615.0	+	Gene		
LMON_RS00245	52374.0	52535.0	162.0	+	Gene		
LMON_RS00250	52631.0	53926.0	1296.0	+	Gene		
LMON_RS00255	53945.0	54673.0	729.0	+	Gene		
LMON_RS00260	54840.0	56813.0	1974.0	+	Gene		
LMON_RS00265	56816.0	57262.0	447.0	+	Gene		
LMON_RS00270	57287.0	58639.0	1353.0	+	Gene		
LMON_RS00275	58898.0	60190.0	1293.0	+	Gene		
LMON_RS00285	60507.0	60800.0	294.0	+	Gene		
LMON_RS00290	60949.0	64155.0	3207.0	+	Gene		
LMON_RS00295	64145.0	64660.0	516.0	+	Gene		
LMON_RS00300	64678.0	64929.0	252.0	+	Gene		
LMON_RS00305	64951.0	66147.0	1197.0	+	Gene		
LMON_RS00310	66161.0	70657.0	4497.0	+	Gene		
LMON_RS00315	70663.0	70980.0	318.0	+	Gene		
LMON_RS00320	70970.0	71404.0	435.0	+	Gene		
LMON_RS00325	71416.0	71724.0	309.0	+	Gene		
LMON_RS00330	71743.0	72381.0	639.0	+	Gene		
LMON_RS00335	72393.0	72707.0	315.0	+	Gene		
LMON_RS00340	72704.0	73666.0	963.0	+	Gene		
LMON_RS00345	73770.0	74105.0	336.0	+	Gene		
LMON_RS00350	74139.0	74579.0	441.0	+	Gene		
LMON_RS00355	75143.0	75739.0	597.0	+	Gene		
LMON_RS14595	75807.0	76098.0	292.0	+	Gene		
LMON_RS14600	76077.0	76529.0	453.0	+	Gene		
LMON_RS00365	76767.0	77540.0	774.0	+	Gene		
LMON_RS00370	77537.0	78589.0	1053.0	+	Gene		
LMON_RS00375	78612.0	79250.0	639.0	-	Gene		
LMON_RS00380	79382.0	80338.0	957.0	+	Gene		
LMON_RS00385	80426.0	80498.0	73.0	+	NcRNA	tRNA	
LMON_RS14605	80680.0	80848.0	169.0	+	Gene		
