Position	Strand	EGDe_37C_TermSeq
204	-	0
225	-	0
226	-	0
227	-	0
229	-	0
230	-	0
232	-	0
233	-	0
234	-	0
239	-	0
242	-	0
245	-	0
254	-	0
256	-	0
257	-	0
261	-	0
278	-	0
283	-	0
284	-	0
289	-	0
290	-	0
304	-	0
318	-	0
319	-	0
321	-	0
322	-	0
326	-	0
332	-	0
333	-	0
335	-	0
345	-	0
347	-	0
352	-	0
357	-	0
361	-	0
366	-	0
367	-	0
369	-	0
397	-	0
406	-	0
439	-	0
444	-	0
445	-	0
453	-	0
464	-	0
506	-	0
508	-	0
515	-	0
517	-	0
520	-	0
523	-	0
531	-	0
532	-	0
536	-	0
541	-	0
542	-	4
543	-	3
544	-	4
548	-	0
557	-	0
562	-	0
566	-	0
569	-	0
570	-	0
572	-	0
573	-	0
575	-	0
576	-	0
578	-	0
589	-	0
622	-	0
630	-	0
633	-	0
634	-	0
643	-	0
645	-	0
654	-	0
662	-	0
668	-	0
676	-	0
682	-	0
694	-	0
696	-	0
707	-	0
710	-	0
714	-	0
737	-	0
738	-	0
739	-	0
741	-	0
742	-	0
744	-	0
747	-	0
749	-	0
753	-	0
758	-	0
759	-	0
760	-	0
762	-	0
778	-	0
790	-	0
791	-	0
800	-	0
802	-	0
803	-	0
806	-	0
807	-	0
825	-	0
847	-	0
849	-	1
855	-	0
857	-	0
861	-	0
865	-	0
873	-	0
875	-	0
878	-	0
879	-	0
880	-	0
881	-	0
883	-	0
885	-	2
895	-	0
896	-	0
902	-	0
906	-	0
909	-	0
922	-	0
946	-	0
950	-	0
951	-	0
953	-	0
962	-	0
963	-	0
966	-	0
972	-	0
983	-	0
985	-	1
988	-	0
999	-	0
1005	-	0
1007	-	0
1010	-	0
1012	-	0
1016	-	0
1022	-	0
1023	-	0
1025	-	0
1029	-	0
1033	-	0
1034	-	0
1038	-	0
1039	-	0
1041	-	0
1042	-	0
1043	-	0
1048	-	0
1054	-	0
1056	-	0
1059	-	0
1060	-	0
1061	-	0
1066	-	0
1067	-	0
1068	-	0
1069	-	0
1073	-	0
1074	-	0
1075	-	0
1081	-	0
1095	-	0
1105	-	0
1106	-	0
1107	-	0
1109	-	0
1113	-	0
1114	-	0
1118	-	0
1123	-	0
1126	-	0
1128	-	0
1132	-	0
1145	-	0
1147	-	1
1149	-	0
1160	-	0
1163	-	0
1165	-	0
1166	-	0
1171	-	0
1174	-	0
1175	-	0
1177	-	1
1180	-	0
1181	-	0
1189	-	0
1193	-	0
1197	-	0
1198	-	0
1208	-	0
1212	-	0
1223	-	0
1226	-	0
1229	-	0
1231	-	0
1232	-	0
1236	-	0
1244	-	0
1246	-	0
1247	-	0
1260	-	0
1272	-	0
1290	-	0
1293	-	0
1295	-	0
1296	-	0
1298	-	0
1309	-	0
1310	-	0
1313	-	0
1314	-	0
1319	-	0
1334	-	0
1342	-	0
1345	-	0
1347	-	0
1350	-	0
1351	-	0
1354	-	0
1358	-	0
1365	-	0
1368	-	0
1369	-	0
1371	-	0
1374	-	0
1378	-	0
1381	-	0
1382	-	0
1385	-	0
1396	-	1
1398	-	0
1401	-	0
1406	-	0
1412	-	0
1416	-	0
1418	-	0
1419	-	0
1430	-	0
1431	-	0
1432	-	0
1433	-	0
1436	-	0
1440	-	0
1444	-	0
1449	-	0
1455	-	0
1461	-	0
1462	-	0
1464	-	0
1471	-	0
1473	-	0
1493	-	0
1494	-	0
1495	-	0
1499	-	0
1507	-	0
1528	-	0
1543	-	0
1546	-	0
1555	-	0
1557	-	1
1558	-	0
1559	-	0
1563	-	0
1566	-	0
1573	-	0
1574	-	0
1579	-	0
1582	-	0
1584	-	0
1585	-	0
1586	-	0
1593	-	0
1595	-	0
1607	-	0
1610	-	0
1614	-	0
1617	-	0
1622	-	0
1635	-	0
1636	-	0
1637	-	0
1639	-	0
1643	-	0
1644	-	0
1645	-	0
1646	-	1
1652	-	0
1656	-	0
1662	-	0
1664	-	0
1665	-	0
1666	-	0
1667	+	0
1669	-	0
1674	-	0
1676	-	0
1680	-	0
1682	-	0
1687	-	0
1696	-	0
1700	-	0
1701	-	0
1704	-	0
1706	-	0
1712	-	0
1724	-	0
1725	-	0
1727	-	0
1729	-	0
1732	-	0
1733	-	0
1738	-	0
1741	-	0
1742	-	0
1755	-	0
1757	-	0
1759	-	0
1760	-	0
1766	-	0
1775	-	0
1781	-	0
1785	-	0
1786	-	0
1790	-	0
1793	-	0
1797	-	0
1799	-	0
1801	-	0
1804	-	0
1805	-	0
1810	-	1
1813	-	0
1815	-	0
1821	-	0
1827	-	0
1828	-	0
1832	-	0
1839	-	0
1840	-	0
1842	-	0
1844	-	0
1850	-	0
1852	-	0
1854	-	0
1861	-	0
1865	-	1
1869	-	0
1873	-	0
1875	-	0
1883	-	0
1888	-	0
1889	-	0
1893	-	0
1901	-	0
1902	-	0
1907	-	0
1928	-	0
1930	-	0
1932	-	0
1935	-	0
1936	-	0
1946	-	0
1949	-	0
1952	-	0
1956	-	0
1966	-	0
1967	-	0
1969	-	0
1971	-	0
1987	-	0
1989	-	0
1992	-	0
1995	-	0
2011	-	0
2013	-	0
2017	-	0
2026	-	0
2034	-	0
2039	-	0
2042	-	0
2044	-	0
2059	-	0
2063	-	0
2065	-	0
2072	-	0
2081	-	0
2091	-	0
2093	-	0
2095	-	0
2103	-	0
2104	-	0
2110	-	0
2116	-	0
2119	-	0
2129	-	0
2143	-	0
2146	-	0
2152	-	0
2153	-	0
2160	-	0
2162	-	0
2171	-	0
2176	-	0
2178	-	0
2180	-	0
2190	-	0
2192	-	0
2193	-	0
2196	-	0
2201	-	0
2205	-	0
2207	-	0
2215	-	0
2221	-	0
2226	-	0
2233	-	0
2237	-	0
2250	-	0
2251	-	0
2252	-	0
2253	-	0
2255	-	0
2257	-	0
2258	-	0
2269	-	0
2271	-	0
2285	-	0
2288	-	1
2296	-	0
2310	-	0
2315	-	0
2324	-	0
2326	-	0
2328	-	0
2330	-	0
2332	-	0
2333	-	0
2337	-	0
2345	-	0
2349	-	0
2354	-	0
2355	-	0
2360	-	0
2363	-	0
2373	-	0
2374	-	0
2376	-	0
2381	-	0
2385	-	0
2386	-	0
2387	-	0
2399	-	0
2400	-	0
2401	-	0
2411	-	0
2414	-	0
2417	-	0
2424	-	0
2427	-	0
2429	-	0
2436	-	0
2446	-	0
2447	-	0
2465	-	0
2471	-	0
2487	-	0
2489	-	1
2495	-	0
2502	-	0
2507	-	0
2510	-	0
2526	-	0
2527	-	0
2536	-	0
2537	-	0
2544	-	0
2546	-	0
2547	-	0
2549	-	0
2556	-	0
2558	-	0
2561	-	0
2565	-	1
2568	-	0
2570	-	0
2572	-	0
2575	-	0
2576	-	0
2577	-	0
2579	-	0
2581	-	0
2582	-	0
2583	-	0
2584	-	0
2588	-	0
2597	-	1
2600	-	0
2602	-	0
2605	-	0
2606	-	0
2626	-	0
2654	-	0
2657	-	0
2661	-	0
2664	-	0
2682	-	0
2693	-	0
2694	-	0
2701	-	0
2706	-	0
2719	-	0
2724	-	0
2730	-	0
2732	-	0
2735	-	0
2736	-	0
2738	-	0
2747	-	0
2758	-	0
2761	-	0
2768	-	0
2774	-	0
2780	-	0
2784	-	0
2793	-	0
2795	-	0
2810	-	0
2811	-	0
2817	-	0
2826	-	0
2847	-	0
2859	-	0
2872	-	0
2882	-	0
2884	-	0
2885	-	0
2893	-	0
2896	-	0
2897	-	0
2904	-	0
2905	-	0
2912	-	0
2915	-	0
2935	-	0
2936	-	0
2942	-	1
2945	-	0
2958	-	0
2959	-	0
2960	-	0
2969	-	0
2972	-	0
2973	-	1
2974	-	1
2976	-	1
2977	-	0
2978	-	1
2985	-	0
2986	-	0
2993	-	0
2994	-	0
2997	-	0
2998	-	0
2999	-	0
3005	-	0
3007	-	0
3008	-	0
3022	-	0
3026	-	0
3032	-	0
3038	-	0
3039	-	1
3040	-	0
3041	-	0
3052	-	0
3053	-	1
3056	-	1
3057	-	2
3058	-	14
3059	-	55
3060	-	35
3061	-	6
3062	-	1
3063	-	1
3066	-	1
3067	-	1
3072	-	0
3076	-	0
3077	-	0
3078	-	0
3087	-	0
3101	-	0
3102	-	0
3111	-	0
3244	-	0
3264	-	0
3323	-	0
3339	-	1
3362	-	0
3428	-	0
3429	-	0
3470	-	0
3612	-	0
3614	-	0
3620	-	0
3718	-	0
3722	-	0
3753	-	0
3850	-	0
3970	-	0
3978	-	0
4197	-	0
4205	-	0
4226	-	0
4299	-	0
4373	-	0
4405	-	0
4462	-	0
4669	-	0
4713	-	0
4720	-	0
4724	-	0
4783	-	0
4789	-	0
4797	-	0
4806	-	0
4816	-	0
4818	-	0
4828	-	0
4832	-	0
4844	-	0
4845	-	0
4847	-	0
4860	-	0
4864	-	0
4866	-	0
4873	-	0
4904	-	0
4906	-	0
4931	-	0
4946	-	0
4949	-	0
5017	-	0
5036	-	0
5043	-	0
5045	-	0
5046	-	0
5064	-	0
5085	-	0
5087	-	0
5091	-	0
5104	-	0
5145	-	0
5150	+	0
5151	-	0
5153	-	0
5165	-	0
5168	-	0
5173	-	0
5177	-	0
5178	-	0
5186	-	0
5187	-	0
5192	-	0
5238	-	0
5244	-	0
5245	-	0
5246	-	0
5247	-	0
5248	-	0
5251	-	0
5252	-	0
5254	-	0
5256	-	0
5275	-	0
5285	-	0
5289	-	0
5302	-	0
5304	-	0
5330	-	0
5338	-	0
5356	-	0
5364	-	0
5367	-	0
5386	-	0
5394	-	0
5411	-	0
5432	-	0
5435	-	0
