Gene_Id	Homologs
LMON_RS04355	Listeria monocytogenes EGD-e;lmo0870;NP_464396.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04355;WP_003721436.1;1.0;;
LMON_RS03055	Listeria monocytogenes EGD-e;lmo0610;NP_464137.1;0.99151105;;Listeria monocytogenes 10403S;LMRG_RS03055;WP_014600587.1;1.0;;
LMON_RS05395	Listeria monocytogenes EGD-e;lmo1071;NP_464596.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05395;WP_003732700.1;1.0;;
LMON_RS03665	Listeria monocytogenes EGD-e;lmo0730;NP_464257.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03665;WP_003721850.1;1.0;;
LMON_RS03215	Listeria monocytogenes EGD-e;lmo0640;NP_464167.1;0.9967213;;Listeria monocytogenes 10403S;LMRG_RS03215;WP_003722839.1;1.0;;
LMON_RS04570	Listeria monocytogenes EGD-e;lmo0907;NP_464433.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04570;WP_003732396.1;1.0;;
LMON_RS00325	Listeria monocytogenes 10403S;LMRG_RS00325;WP_009924116.1;1.0;;
LMON_RS01350	Listeria monocytogenes EGD-e;lmo0264;NP_463795.1;0.993988;;Listeria monocytogenes 10403S;LMRG_RS01350;WP_014600432.1;1.0;;
LMON_RS02720	Listeria monocytogenes EGD-e;lmo0544;NP_464072.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02720;WP_003721338.1;1.0;;
LMON_RS09820	Listeria monocytogenes EGD-e;lmo1884;NP_465408.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09520;WP_003724078.1;1.0;;
LMON_RS09665	Listeria monocytogenes EGD-e;lmo1852;NP_465377.1;0.9852941;;Listeria monocytogenes 10403S;LMRG_RS09365;WP_014600948.1;1.0;;
LMON_RS11110	Listeria monocytogenes EGD-e;lmo2132;NP_465656.1;0.9915254;;Listeria monocytogenes 10403S;LMRG_RS10810;WP_014601025.1;1.0;;
LMON_RS07755	Listeria monocytogenes EGD-e;lmo1497;NP_465022.1;0.98564595;;Listeria monocytogenes 10403S;LMRG_RS07450;WP_003732602.1;1.0;;
LMON_RS02000	Listeria monocytogenes EGD-e;lmo0387;NP_463917.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02000;WP_010989448.1;1.0;;
LMON_RS04680	Listeria monocytogenes EGD-e;lmo0930;NP_464455.1;0.962963;;Listeria monocytogenes 10403S;LMRG_RS04680;WP_014600685.1;1.0;;
LMON_RS08015	Listeria monocytogenes EGD-e;lmo1549;NP_465074.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07710;WP_003723232.1;1.0;;
LMON_RS04895	Listeria monocytogenes EGD-e;lmo0972;NP_464497.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04895;WP_003722794.1;1.0;;
LMON_RS09485	Listeria monocytogenes EGD-e;lmo1816;NP_465341.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09185;WP_003720131.1;1.0;;
LMON_RS14545	Listeria monocytogenes EGD-e;lmo2850;NP_466372.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS14500;WP_003725797.1;1.0;;
LMON_RS00155	Listeria monocytogenes EGD-e;lmo0031;NP_463564.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00155;WP_003721654.1;1.0;;
LMON_RS09075	Listeria monocytogenes EGD-e;lmo1737;NP_465262.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS08775;WP_010989799.1;1.0;;
LMON_RS14835	Listeria monocytogenes 10403S;LMRG_RS14790;WP_003733283.1;1.0;;
LMON_RS03885	Listeria monocytogenes EGD-e;lmo0774;NP_464301.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03885;WP_010989568.1;1.0;;
LMON_RS13510	Listeria monocytogenes EGD-e;lmo2641;NP_466164.1;0.9969325;;Listeria monocytogenes 10403S;LMRG_RS13460;WP_003723628.1;1.0;;
LMON_RS08365	Listeria monocytogenes EGD-e;lmo1618;NP_465143.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS08060;WP_003723583.1;1.0;;
LMON_RS12485	Listeria monocytogenes EGD-e;lmo2450;NP_465973.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12435;WP_003723352.1;1.0;;
LMON_RS02355	Listeria monocytogenes 10403S;LMRG_RS02355;WP_014600530.1;1.0;;
LMON_RS07025	Listeria monocytogenes EGD-e;lmo1351;NP_464876.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06720;WP_003722478.1;1.0;;
LMON_RS09790	Listeria monocytogenes EGD-e;lmo1878;NP_465402.1;0.9929578;;Listeria monocytogenes 10403S;LMRG_RS09490;WP_003725831.1;0.9929578;;
LMON_RS12305	Listeria monocytogenes EGD-e;lmo2414;NP_465937.1;0.9930716;;Listeria monocytogenes 10403S;LMRG_RS12255;WP_014601123.1;1.0;;
LMON_RS13605	Listeria monocytogenes EGD-e;lmo2660;NP_466182.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13555;WP_003733052.1;1.0;;
LMON_RS05650	Listeria monocytogenes EGD-e;lmo1140;NP_464665.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05650;WP_009912224.1;1.0;;
LMON_RS01855	Listeria monocytogenes EGD-e;lmo0359;NP_463889.1;0.9965035;;Listeria monocytogenes 10403S;LMRG_RS01855;WP_014600489.1;1.0;;
LMON_RS02535	Listeria monocytogenes EGD-e;lmo0507;NP_464035.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02535;WP_003721293.1;1.0;;
LMON_RS06895	Listeria monocytogenes EGD-e;lmo1325;NP_464850.1;0.99231756;;Listeria monocytogenes 10403S;LMRG_RS06590;WP_003732820.1;1.0;;
LMON_RS04335	Listeria monocytogenes EGD-e;lmo0866;NP_464392.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04335;WP_003732374.1;1.0;;
LMON_RS10850	Listeria monocytogenes EGD-e;lmo2088;NP_465612.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10550;WP_003722345.1;1.0;;
LMON_RS00845	Listeria monocytogenes EGD-e;lmo0176;NP_463707.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00845;WP_003722706.1;1.0;;
LMON_RS11830	Listeria monocytogenes EGD-e;lmo2337;NP_465860.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11780;WP_003722576.1;1.0;;
LMON_RS06955	Listeria monocytogenes EGD-e;lmo1337;NP_464862.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06650;WP_010990098.1;1.0;;
LMON_RS06840	Listeria monocytogenes EGD-e;lmo1314;NP_464839.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06535;WP_003723450.1;1.0;;
LMON_RS06190	Listeria monocytogenes 10403S;LMRG_RS11670;WP_014601092.1;0.47252747;;
LMON_RS13380	Listeria monocytogenes EGD-e;lmo2615;NP_466138.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13330;WP_003723681.1;1.0;;
LMON_RS14185	Listeria monocytogenes EGD-e;lmo2777;NP_466299.1;0.97979796;;Listeria monocytogenes 10403S;LMRG_RS14140;WP_014601221.1;1.0;;
LMON_RS00310	Listeria monocytogenes EGD-e;lmo0061;NP_463594.1;0.78170896;;Listeria monocytogenes 10403S;LMRG_RS00310;WP_014600356.1;1.0;;
LMON_RS11630	Listeria monocytogenes EGD-e;lmo2234;NP_465758.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11330;WP_003723365.1;1.0;;
LMON_RS08655	Listeria monocytogenes EGD-e;lmo1676;NP_465201.1;0.9978355;;Listeria monocytogenes 10403S;LMRG_RS08355;WP_003723267.1;1.0;;
LMON_RS09055	Listeria monocytogenes EGD-e;lmo1733;NP_465258.1;0.99591005;;Listeria monocytogenes 10403S;LMRG_RS08755;WP_003722210.1;0.997955;;
LMON_RS11945	Listeria monocytogenes EGD-e;lmo2360;NP_465883.1;0.995685;;Listeria monocytogenes 10403S;LMRG_RS11895;WP_014601110.1;1.0;;
LMON_RS01585	Listeria monocytogenes EGD-e;lmo0300;NP_463831.1;0.99784017;;Listeria monocytogenes 10403S;LMRG_RS01585;WP_014600454.1;1.0;;
LMON_RS02610	Listeria monocytogenes EGD-e;lmo0522;NP_464050.1;0.996;;Listeria monocytogenes 10403S;LMRG_RS02610;WP_003721316.1;1.0;;
LMON_RS08925	Listeria monocytogenes EGD-e;lmo1706;NP_465231.1;0.9965398;;Listeria monocytogenes 10403S;LMRG_RS08625;WP_003724056.1;1.0;;
LMON_RS03505	Listeria monocytogenes EGD-e;lmo0698;NP_464225.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03505;WP_003721819.1;1.0;;
LMON_RS05140	Listeria monocytogenes EGD-e;lmo1020;NP_464545.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05140;WP_003734006.1;1.0;;
LMON_RS07590	Listeria monocytogenes EGD-e;lmo1464;NP_464989.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07285;WP_003721970.1;1.0;;
LMON_RS08445	Listeria monocytogenes EGD-e;lmo1634;NP_465159.1;0.9988453;;Listeria monocytogenes 10403S;LMRG_RS08145;WP_003733217.1;1.0;;
LMON_RS09210	Listeria monocytogenes EGD-e;lmo1764;NP_465289.1;0.95714283;;Listeria monocytogenes 10403S;LMRG_RS08910;WP_014600926.1;1.0;;
LMON_RS12890	Listeria monocytogenes EGD-e;lmo2530;NP_466053.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12840;WP_003723463.1;1.0;;
LMON_RS01295	Listeria monocytogenes EGD-e;lmo0250;NP_463781.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS01295;WP_003732833.1;1.0;;
LMON_RS00915	Listeria monocytogenes EGD-e;lmo0190;NP_463721.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00915;WP_003722719.1;1.0;;
LMON_RS04790	Listeria monocytogenes EGD-e;lmo0951;NP_464476.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04790;WP_003722772.1;1.0;;
LMON_RS09880	Listeria monocytogenes EGD-e;lmo1895;NP_465419.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09580;WP_003732058.1;1.0;;
LMON_RS06570	Listeria monocytogenes EGD-e;lmo1260;NP_464785.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06265;WP_003723561.1;1.0;;
LMON_RS11535	Listeria monocytogenes EGD-e;lmo2215;NP_465739.1;0.988;;Listeria monocytogenes 10403S;LMRG_RS11235;WP_003723833.1;1.0;;
LMON_RS12375	Listeria monocytogenes EGD-e;lmo2428;NP_465951.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12325;WP_003723330.1;1.0;;
LMON_RS06465	Listeria monocytogenes EGD-e;lmo1241;NP_464766.1;0.99285716;;Listeria monocytogenes 10403S;LMRG_RS06160;WP_014600783.1;1.0;;
LMON_RS11185	Listeria monocytogenes EGD-e;lmo2145;NP_465669.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10885;WP_003722269.1;1.0;;
LMON_RS02585	Listeria monocytogenes EGD-e;lmo0517;NP_464045.1;0.98892987;;Listeria monocytogenes 10403S;LMRG_RS02585;WP_014600552.1;1.0;;
LMON_RS09860	Listeria monocytogenes EGD-e;lmo1891;NP_465415.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09560;WP_003723001.1;1.0;;
LMON_RS07455	Listeria monocytogenes EGD-e;lmo1437;NP_464962.1;0.9942363;;Listeria monocytogenes 10403S;LMRG_RS07150;WP_014600828.1;1.0;;
LMON_RS09650	Listeria monocytogenes EGD-e;lmo1849;NP_465374.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09350;WP_003733074.1;1.0;;
LMON_RS12800	Listeria monocytogenes EGD-e;lmo2512;NP_466035.1;0.9954128;;Listeria monocytogenes 10403S;LMRG_RS12750;WP_014601145.1;1.0;;
LMON_RS13010	Listeria monocytogenes EGD-e;lmo2554;NP_466077.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12960;WP_009924347.1;1.0;;
LMON_RS13490	Listeria monocytogenes EGD-e;lmo2637;NP_466160.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13440;WP_003727691.1;1.0;;
LMON_RS02420	Listeria monocytogenes EGD-e;lmo0484;NP_464012.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02420;WP_003721271.1;1.0;;
LMON_RS05210	Listeria monocytogenes EGD-e;lmo1034;NP_464559.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05210;WP_010989644.1;1.0;;
LMON_RS13005	Listeria monocytogenes EGD-e;lmo2553;NP_466076.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12955;WP_003724021.1;1.0;;
LMON_RS05845	Listeria monocytogenes EGD-e;lmo1179;NP_464704.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05845;WP_003721578.1;1.0;;
LMON_RS04150	Listeria monocytogenes EGD-e;lmo0829;NP_464356.1;0.99506176;;Listeria monocytogenes 10403S;LMRG_RS04150;WP_014600650.1;1.0;;
LMON_RS10855	Listeria monocytogenes EGD-e;lmo2089;NP_465613.1;0.9971182;;Listeria monocytogenes 10403S;LMRG_RS10555;WP_014601012.1;1.0;;
LMON_RS03300	Listeria monocytogenes EGD-e;lmo0657;NP_464184.1;0.9927536;;Listeria monocytogenes 10403S;LMRG_RS03300;WP_003721774.1;1.0;;
LMON_RS10960	Listeria monocytogenes EGD-e;lmo2107;NP_465631.1;0.99604744;;Listeria monocytogenes 10403S;LMRG_RS10660;WP_003722367.1;1.0;;
