Gene_Id	Homologs
lmo0269	Listeria monocytogenes EGD;LMON_RS01375;WP_014600434.1;0.9808917;;Listeria monocytogenes 10403S;LMRG_RS01375;WP_014600434.1;0.9808917;;
lmo0660	Listeria monocytogenes EGD;LMON_RS03315;WP_009931745.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03315;WP_009931745.1;1.0;;
lmo1121	Listeria monocytogenes EGD;LMON_RS05555;WP_014600732.1;0.97540987;;Listeria monocytogenes 10403S;LMRG_RS05555;WP_014600732.1;0.97540987;;
lmo2227	Listeria monocytogenes EGD;LMON_RS11595;WP_003731881.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11295;WP_003731881.1;1.0;;
lmo1374	Listeria monocytogenes EGD;LMON_RS07140;WP_014600812.1;0.99278843;;Listeria monocytogenes 10403S;LMRG_RS06835;WP_014600812.1;0.99278843;;
lmo0106	Listeria monocytogenes EGD;LMON_RS00520;WP_003721732.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00520;WP_003721732.1;1.0;;
lmo1812	Listeria monocytogenes EGD;LMON_RS09465;WP_003739226.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09165;WP_003739226.1;1.0;;
lmo1472	Listeria monocytogenes EGD;LMON_RS07630;WP_010990134.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07325;WP_010990134.1;1.0;;
lmo1669	Listeria monocytogenes EGD;LMON_RS08620;WP_003723260.1;0.9872612;;Listeria monocytogenes 10403S;LMRG_RS08320;WP_003723260.1;0.9872612;;
lmo0206	Listeria monocytogenes EGD;LMON_RS00995;WP_003722735.1;0.9813084;;Listeria monocytogenes 10403S;LMRG_RS00995;WP_003722735.1;0.9813084;;
lmo0561	Listeria monocytogenes EGD;LMON_RS02805;WP_003721355.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02805;WP_003721355.1;1.0;;
lmo0723	Listeria monocytogenes EGD;LMON_RS03630;WP_003733177.1;0.9983361;;Listeria monocytogenes 10403S;LMRG_RS03630;WP_003733177.1;0.9983361;;
lmo2505	Listeria monocytogenes EGD;LMON_RS12765;WP_003722638.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12715;WP_003722638.1;1.0;;
lmo1219	Listeria monocytogenes EGD;LMON_RS06045;WP_014600774.1;0.9747899;;Listeria monocytogenes 10403S;LMRG_RS06045;WP_014600774.1;0.9747899;;
lmo1911	Listeria monocytogenes EGD;LMON_RS09960;WP_003723021.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09660;WP_003723021.1;1.0;;
lmo1317	Listeria monocytogenes EGD;LMON_RS06855;WP_014600801.1;0.9868421;;Listeria monocytogenes 10403S;LMRG_RS06550;WP_014600801.1;0.9868421;;
lmo2164	Listeria monocytogenes EGD;LMON_RS11280;WP_009924049.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10980;WP_009924049.1;1.0;;
lmo1571	Listeria monocytogenes EGD;LMON_RS08125;WP_003723299.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07820;WP_003723299.1;1.0;;
lmo0259	Listeria monocytogenes EGD;LMON_RS01320;WP_003723046.1;0.9991674;;Listeria monocytogenes 10403S;LMRG_RS01320;WP_003723046.1;0.9991674;;
lmo0327	Listeria monocytogenes EGD;LMON_RS01700;WP_077346014.1;0.9599407;;Listeria monocytogenes 10403S;LMRG_RS01700;WP_077346014.1;0.9599407;;
lmo2857	Listeria monocytogenes EGD;LMON_RS14580;WP_003723728.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS14535;WP_003723728.1;1.0;;
lmo2262	Listeria monocytogenes EGD;LMON_RS11770;WP_003729958.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11470;WP_003729958.1;1.0;;
lmo2625	Listeria monocytogenes EGD;LMON_RS13430;WP_003720943.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13380;WP_003720943.1;1.0;;
lmo0857	Listeria monocytogenes EGD;LMON_RS04290;WP_003721422.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04290;WP_003721422.1;1.0;;
lmo0625	Listeria monocytogenes EGD;LMON_RS03130;WP_003722821.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03130;WP_003722821.1;1.0;;
lmo2031	Listeria monocytogenes EGD;LMON_RS10560;WP_014600993.1;0.99126637;;Listeria monocytogenes 10403S;LMRG_RS10260;WP_014600993.1;0.99126637;;
lmo2558	Listeria monocytogenes EGD;LMON_RS13030;WP_014601151.1;0.99563795;;Listeria monocytogenes 10403S;LMRG_RS12980;WP_014601151.1;0.99563795;;
lmo1437	Listeria monocytogenes EGD;LMON_RS07455;WP_014600828.1;0.9942363;;Listeria monocytogenes 10403S;LMRG_RS07150;WP_014600828.1;0.9942363;;
lmo2689	Listeria monocytogenes EGD;LMON_RS13755;WP_014931033.1;0.9918224;;Listeria monocytogenes 10403S;LMRG_RS13705;WP_014601193.1;0.9929907;;
lmo0526	Listeria monocytogenes EGD;LMON_RS02630;WP_003721320.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02630;WP_003721320.1;1.0;;
