Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	LOGFC_EGD_WT vs EGDe_280212.gr	STAT_EGD_WT vs EGDe_280212_TSTUDENTTILING.gr	CORR_EGD_WT vs EGDe_280212_ARRAYSCORR.gr	STAT_EGD_WT vs EGDe_280212_FDRBY.gr	STAT_EGD_WT vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0001	0.5248935627335083	0.5235745642712137	0.027175161160000183	0.6088263685905139	0.05177270801051371	1.0	1.0	+	318	1673	1356	dnaA		chromosome replication initiator DnaA				GTG	 
lmo0002	-0.15900084173899032	0.8431349841883908	-0.2389607137199996	0.031048424024103672	1.5028896143346735	0.7051981108430625	1.0	+	1867	3012	1146	dnaN		DNA polymerase III subunit beta				ATG	 
lmo0003	-0.13262499130991046	0.8952417605425007	-0.7198546399799994	4.158807027208376E-7	5.427745049180697	0.5000063788245553	0.5005961649873503	+	3121	4464	1344			hypothetical protein				ATG	 
lmo0004	0.1691653097385899	0.8470598526973125	-0.2931551419049998	0.16135285031763658	-1.7329506998687298	1.0	1.0	+	4644	4865	222			hypothetical protein				TTG	 
lmo0005	-0.0434423744246093	0.9620691177886275	-0.10166397090999935	0.18313032000265328	2.340202906874459	1.0	1.0	+	4869	5981	1113	recF		recombination protein F				ATG	 
lmo0006	-0.23350222020778943	0.7711666687192544	-0.5442406643899997	2.5813195237372803E-5	2.3307729746881622	0.5002955553605032	0.537003215372774	+	6030	7970	1941	gyrB		DNA gyrase subunit B				ATG	 
lmo0007	-0.2996375277224601	0.7088253799337938	-0.5720117766499995	5.816246747614878E-10	1.9090124691584913	0.5000000141249548	0.5000008337589713	+	8065	10593	2529	gyrA		DNA gyrase subunit A				ATG	 
lmo0008	-0.6937701251496886	0.4685184393362769	-0.9619571038700001	1.099775564636847E-11	1.3865646112427328	0.5000000003315529	0.5000000157652827	+	10728	12242	1515			cardiolipin synthase				ATG	 
lmo0009	-0.2448947976570679	0.7932926431827824	-0.8545424438799998	4.593337077388074E-5	3.48942669283092	0.5005078734098558	0.565845487004358	+	12258	12776	519			spermidine acetyltransferase				ATG	 
lmo0010	0.4818439346522183	0.596905010056936	0.07712394754000051	0.4915081835255758	0.16006001527375552	1.0	1.0	+	12918	13886	969			mevalonate kinase				TTG	 
lmo0011	-0.18504529216899002	0.8229805970991768	-0.38151669535499955	0.007446556239980624	2.0617476450391656	0.5559168436928694	1.0	+	13843	14814	972			mevalonate diphosphate decarboxylase				ATG	 
lmo0012	0.024435362259941584	0.9770917443130003	-0.35640548816999984	0.013589739003328582	-14.585643723165816	0.5966507047819436	1.0	+	14795	15874	1080			mevalonate kinase				TTG	 
lmo0013	0.08872759335331004	0.9157468590550557	-0.6072766304999997	2.4288847653141288E-6	-6.84428155378729	0.5000331428039168	0.5034818063110778	+	16219	17325	1107	qoxA		AA3-600 quinol oxidase subunit II				GTG	 
lmo0014	0.34362312766910996	0.6770463829577373	-0.6724978260699999	4.191837247657966E-10	-1.95707963731003	0.5000000104283138	0.5000006008998694	+	17344	19323	1980	qoxB		AA3-600 quinol oxidase subunit I				ATG	 
lmo0015	0.4635395950867096	0.5696733937435454	-0.5419721668199995	0.3214016110511355	-1.1692036075550747	1.0	1.0	+	19311	19922	612	qoxC		AA3-600 quinol oxidase subunit III				ATG	 
lmo0016	0.5228593367250092	0.5262605557704498	-0.5080088463799999	0.0749686228806833	-0.9715975420119165	0.9502462798642554	1.0	+	19924	20256	333	qoxD		quinol oxidase aa3-600 subunit IV				ATG	 
lmo0017	0.3392832195761999	0.6429871431102041	-0.0845112839309996	0.42938414591864416	-0.24908772098002077	1.0	1.0	-	20308	21426	1119			capsule biosynthesis protein CapA				ATG	 
lmo0018	-0.2807869369094007	0.7744097485441197	-0.7913114743699992	3.4793057802663606E-5	2.8181919112046345	0.5003921367570502	0.5498758483601183	+	21652	23085	1434			beta-glucosidase				ATG	 
lmo0019	0.37854821103391956	0.6942890038912002	-0.06915439785500022	0.8622270404080687	-0.1826831981747331	1.0	1.0	-	23132	23953	822			hypothetical protein				ATG	 
lmo0020	1.2491721523534602	0.21389065829107	0.9259934632350006	1.1094596934626874E-5	0.7412857078909534	0.500136204404031	0.5159041047057876	+	24194	24934	741			GntR family transcriptional regulator				ATG	 
lmo0021	0.4734566097917696	0.6383208359267729	0.29452090029000044	0.5805637128965352	0.622065241457994	1.0	1.0	+	24950	25351	402			PTS fructose transporter subunit IIA				TTG	 
lmo0022	1.2267893404096508	0.1886950121913058	0.44220765407999973	0.35546800142946244	0.36045932216230153	1.0	1.0	+	25351	25839	489			PTS fructose transporter subunit IIB				ATG	 
