Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	FC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	STAT_prfA_Star vs EGDe_280212_FDRBH.ge	STAT_prfA_Star vs EGDe_280212_FDRBY.ge	STAT_prfA_Star vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0201	4.3093234522511	19.82602366111579	1.3964251976972264E-10	4.962546046316518E-8	4.23305507105136E-7	3.9700368370532146E-7	-	204624	205577	954	plcA		phosphatidylinositol-specific phospholipase c				TTG	 
lmo0202	4.084428921244271	16.964287361492968	1.5793411023423687E-10	4.988963059954838E-8	4.255588801217295E-7	4.490066753959354E-7	+	205819	207408	1590	hly		listeriolysin O precursor				ATG	 
lmo0203	6.74753826054736	107.45123545970698	0.0	0.0	0.0	0.0	+	207739	209271	1533	mpl		Zinc metalloproteinase precursor				ATG	 
lmo0204	5.77791668009804	54.86889741211011	0.0	0.0	0.0	0.0	+	209470	211389	1920	actA		actin-assembly inducing protein precursor				GTG	 
lmo0205	6.21833955961467	74.45720520131884	0.0	0.0	0.0	0.0	+	211425	212294	870	plcB		phospholipase C				ATG	 
lmo0206	6.889157105011619	118.5339981651568	0.0	0.0	0.0	0.0	+	212366	212689	324			hypothetical protein				ATG	 
lmo0207	6.05961962126807	66.70022029886525	2.4424906541753444E-15	9.920001328315006E-13	8.4617677167608E-12	6.944000929820504E-12	+	212824	213285	462			hypothetical protein				ATG	 
lmo0434	3.5585098412601006	11.781977854158436	2.9628459581987343E-5	0.005264606911974376	0.04490713189929318	0.08423371059159002	+	457021	458913	1893	inlB		internalin B				GTG	 
lmo0604	3.7548250411465496	13.499415534502289	2.0612074804748914E-6	4.5077022053770124E-4	0.003845072972859127	0.005860012866990116	-	643400	643744	345			hypothetical protein				ATG	 
lmo0838	7.94541543214774	246.4951468788525	0.0	0.0	0.0	0.0	+	869095	870480	1386	uhpT		sugar:phosphate antiporter				ATG	 
lmo1591	-4.17450879546728	-18.057281340491752	9.985476186802345E-6	0.0020277649142199333	0.017296848176169523	0.028388708799079065	-	1632728	1633759	1032	argC		N-acetyl-gamma-glutamyl-phosphate reductase				ATG	 
lmo1786	6.53928908539682	93.00839820997588	0.0	0.0	0.0	0.0	-	1860200	1861090	891	inlC		internalin C				TTG	 
lmo2269	-4.00614966458304	-16.06834752904801	1.3955584754477002E-7	3.306310621414843E-5	2.8202851543996337E-4	3.9675727456978116E-4	-	2359948	2360304	357			hypothetical protein				ATG	 
