RAST id	NCBI id
RASTlmo1	lmo0001
RASTlmo100	lmo0099
RASTlmo1000	lmo0980
RASTlmo1001	lmo0981
RASTlmo1002	lmo0982
RASTlmo1003	lmo0983
RASTlmo1004	lmo0984
RASTlmo1005	lmo0985
RASTlmo1006	lmo0986
RASTlmo1007	lmo0987
RASTlmo1008	lmo0988
RASTlmo1009	lmo0989
RASTlmo101	lmo0100
RASTlmo1010	lmo0990
RASTlmo1011	lmo0991
RASTlmo1012	lmo0992
RASTlmo1014	lmo0994
RASTlmo1015	lmo0995
RASTlmo1016	lmo0996
RASTlmo1017	lmo0997
RASTlmo1019	lmo0999
RASTlmo102	lmo0101
RASTlmo1022	lmo1002
RASTlmo1023	lmo1003
RASTlmo1025	lmo1005
RASTlmo1026	lmo1006
RASTlmo1027	lmo1007
RASTlmo1028	lmo1008
RASTlmo1029	lmo1009
RASTlmo103	lmo0102
RASTlmo1030	lmo1010
RASTlmo1031	lmo1011
RASTlmo1032	lmo1012
RASTlmo1034	lmo1014
RASTlmo1035	lmo1015
RASTlmo1036	lmo1016
RASTlmo1037	lmo1017
RASTlmo1038	lmo1018
RASTlmo1039	lmo1019
RASTlmo104	lmo0103
RASTlmo1040	lmo1020
RASTlmo1041	lmo1021
RASTlmo1042	lmo1022
RASTlmo1043	lmo1023
RASTlmo1044	lmo1024
RASTlmo1045	lmo1025
RASTlmo1046	lmo1026
RASTlmo1047	lmo1027
RASTlmo1048	lmo1028
RASTlmo1049	lmo1029
RASTlmo105	lmo0104
RASTlmo1050	lmo1030
RASTlmo1051	lmo1031
RASTlmo1052	lmo1032
RASTlmo1053	lmo1033
RASTlmo1054	lmo1034
RASTlmo1055	lmo1035
RASTlmo1056	lmo1036
RASTlmo1057	lmo1037
RASTlmo1058	lmo1038
RASTlmo1059	lmo1039
RASTlmo1060	lmo1040
RASTlmo1061	lmo1041
RASTlmo1062	lmo1042
RASTlmo1063	lmo1043
RASTlmo1064	lmo1044
RASTlmo1065	lmo1045
RASTlmo1066	lmo1046
RASTlmo1068	lmo1048
RASTlmo1069	lmo1049
RASTlmo107	lmo0106
RASTlmo1070	lmo1050
RASTlmo1071	lmo1051
RASTlmo1072	lmo1052
RASTlmo1073	lmo1053
RASTlmo1074	lmo1054
RASTlmo1075	lmo1055
RASTlmo1077	lmo1057
RASTlmo1078	lmo1058
RASTlmo1079	lmo1059
RASTlmo108	lmo0107
RASTlmo1080	lmo1060
RASTlmo1082	lmo1062
RASTlmo1083	lmo1063
RASTlmo1084	lmo1064
RASTlmo1085	lmo1065
RASTlmo1086	lmo1066
RASTlmo1087	lmo1067
RASTlmo1088	lmo1068
RASTlmo1089	lmo1069
RASTlmo109	lmo0108
RASTlmo1090	lmo1070
RASTlmo1091	lmo1071
RASTlmo1092	lmo1072
RASTlmo1093	lmo1073
RASTlmo1094	lmo1074
RASTlmo1095	lmo1075
RASTlmo1096	lmo1076
RASTlmo1097	lmo1077
RASTlmo1098	lmo1078
RASTlmo1099	lmo1079
RASTlmo11	lmo0010
RASTlmo110	lmo0109
RASTlmo1100	lmo1080
RASTlmo1101	lmo1081
RASTlmo1102	lmo1082
RASTlmo1103	lmo1083
RASTlmo1104	lmo1084
RASTlmo1106	lmo1086
RASTlmo1107	lmo1087
RASTlmo1109	lmo1089
RASTlmo111	lmo0110
RASTlmo1110	lmo1090
RASTlmo1111	lmo1091
RASTlmo1112	lmo1092
RASTlmo1113	lmo1093
RASTlmo1114	lmo1094
RASTlmo1115	lmo1095
RASTlmo1117	lmo1097
RASTlmo1119	lmo1098
RASTlmo1120	lmo1099
RASTlmo1121	lmo1100
RASTlmo1123	lmo1102
RASTlmo1124	lmo1103
RASTlmo1126	lmo1105
RASTlmo1127	lmo1106
RASTlmo1128	lmo1107
RASTlmo1129	lmo1108
RASTlmo113	lmo0112
RASTlmo1130	lmo1109
RASTlmo1131	lmo1111
RASTlmo1132	lmo1112
RASTlmo1134	lmo1114
RASTlmo1136	lmo1116
RASTlmo1137	lmo1117
RASTlmo1138	lmo1118
RASTlmo1139	lmo1119
RASTlmo114	lmo0113
RASTlmo1141	lmo1121
RASTlmo1142	lmo1122
RASTlmo1143	lmo1123
RASTlmo1144	lmo1124
RASTlmo1145	lmo1125
RASTlmo1146	lmo1126
RASTlmo1147	lmo1127
RASTlmo1149	lmo1129
RASTlmo115	lmo0114
RASTlmo1150	lmo1130
RASTlmo1152	lmo1131
RASTlmo1153	lmo1132
RASTlmo1154	lmo1133
RASTlmo1155	lmo1134
RASTlmo1158	lmo1136
RASTlmo1159	lmo1137
RASTlmo116	lmo0115
RASTlmo1160	lmo1138
RASTlmo1161	lmo1139
RASTlmo1162	lmo1140
RASTlmo1163	lmo1141
RASTlmo1165	lmo1143
RASTlmo1166	lmo1144
RASTlmo1167	lmo1145
RASTlmo1168	lmo1146
RASTlmo1169	lmo1147
RASTlmo117	lmo0116
RASTlmo1170	lmo1148
RASTlmo1171	lmo1149
RASTlmo1172	lmo1150
RASTlmo1173	lmo1151
RASTlmo1175	lmo1153
RASTlmo1176	lmo1154
RASTlmo1177	lmo1155
RASTlmo1178	lmo1156
RASTlmo1179	lmo1157
RASTlmo1180	lmo1158
RASTlmo1181	lmo1159
