name	from	to	strand	bits score	id
AdoCbl_riboswitch	1198103	1198252	+	140.63	RF01482
Cobalamin 1	1179809	1179999	+	116.11	RF00174
Cobalamin 2	1216481	1216658	+	77.95	RF00174
FMN	2020487	2020609	-	111.27	RF00050
glmS	756458	756652	+	142.37	RF00234
Glycine	1372840	1372931	+	62.28	RF00504
L10_leader	266232	266375	+	77.78	RF00557
L13_leader	2685181	2685233	-	51.02	RF00555
L17DE	2691575	2691650	-	52	RF01708
L20_leader	1859870	1860008	-	58.57	RF00558
L21_leader	1577068	1577146	-	66.07	RF00559
Lysine	826486	826683	-	99.9	RF00168
pan	1977152	1977238	-	45.5	RF01749
PreQ1	907926	907973	+	37.27	RF00522
PrfA	204339	204468	-	149.92	RF00038
Purine 1	611018	611119	-	71.49	RF00167
Purine 2	1958822	1958922	-	74.51	RF00167
PyrR 1	1917471	1917573	-	58.56	RF00515
PyrR 2	1918154	1918262	-	57.97	RF00515
rli51	207589	207709	+	140.15	RF01490
rli52	552327	552421	-	113.69	RF01480
rli53	955829	956001	+	204.09	RF01481
rli54	1078584	1079111	+	579.52	RF01491
rli56	1199859	1199958	+	121.25	RF01483
rli61	2275258	2275363	-	130.71	RF01485
rli62	2364337	2364508	-	215.88	RF01486
SAM 1	137133	137235	+	67.56	RF00162
SAM 2	309266	309385	-	89.86	RF00162
SAM 3	637826	637926	-	84.65	RF00162
SAM 4	882770	882867	+	73.01	RF00162
SAM 5	1716543	1716651	-	79.46	RF00162
SAM 6	1739491	1739597	-	93.42	RF00162
SAM 7	2491058	2491176	-	85.55	RF00162
T-box 1	1240774	1241002	+	102.36	RF00230
T-box 2	1494104	1494276	-	99.87	RF00230
T-box 3	1553972	1554200	-	122.94	RF00230
T-box 4	1588901	1589127	-	131.09	RF00230
T-box 5	1597218	1597448	-	126.22	RF00230
T-box 6	1642603	1642811	-	112.98	RF00230
T-box 7	1676392	1676617	-	118.71	RF00230
T-box 8	1676666	1676907	-	131.4	RF00230
T-box 9	1711342	1711543	-	110.7	RF00230
T-box 10	1809817	1810057	-	117.29	RF00230
T-box 11	2287226	2287453	+	100.41	RF00230
T-box 12	2823255	2823477	-	129.06	RF00230
TPP 1	340086	340191	+	56.36	RF00059
TPP 2	1461163	1461273	-	54.81	RF00059
ykoK	2765940	2766104	-	149.95	RF00380
yybP-ykoY	1021463	1021588	+	81.67	RF00080
