NCBI id	RAST id	begin RAST	end RAST	length RAST	diffcenter NCBI-RAST	description RAST
lmo0001	fig|169963.18.peg.1	318	1673	1356	0	Chromosomal replication initiator protein DnaA
lmo0099	fig|169963.18.peg.100	106988	107377	390	0	Putative regulator of the mannose operon, ManO
lmo0980	fig|169963.18.peg.1000	1011074	1011826	753	0	ABC transporter, permease protein
lmo0981	fig|169963.18.peg.1001	1013335	1011860	1476	0	drug resistance transporter, EmrB/QacA family
lmo0982	fig|169963.18.peg.1002	1013475	1014527	1053	0	Deblocking aminopeptidase (EC 3.4.11.-)
lmo0983	fig|169963.18.peg.1003	1014540	1015019	480	0	Glutathione peroxidase (EC 1.11.1.9)
lmo0984	fig|169963.18.peg.1004	1015153	1015608	456	0	FIG00774165: hypothetical protein
lmo0985	fig|169963.18.peg.1005	1015605	1016033	429	0	FIG00774691: hypothetical protein
lmo0986	fig|169963.18.peg.1006	1016030	1016941	912	0	Methionine ABC transporter ATP-binding protein
lmo0987	fig|169963.18.peg.1007	1016934	1017788	855	0	ABC transporter, permease protein
lmo0988	fig|169963.18.peg.1008	1017870	1019438	1569	0	Peptide chain release factor 3
lmo0989	fig|169963.18.peg.1009	1019545	1019970	426	0	Transcriptional regulator, MarR family
lmo0100	fig|169963.18.peg.101	107499	107849	351	0	FIG00774211: hypothetical protein
lmo0990	fig|169963.18.peg.1010	1020022	1021383	1362	0	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps
lmo0991	fig|169963.18.peg.1011	1021665	1022432	768	0	TerC-like integral membrane protein
lmo0992	fig|169963.18.peg.1012	1022535	1023302	768	0	membrane protein
lmo0993	fig|169963.18.peg.1013	1023265	1024680	1416	41	Potassium uptake protein, integral membrane component, KtrD
lmo0994	fig|169963.18.peg.1014	1025129	1024761	369	0	FIG00774070: hypothetical protein
lmo0995	fig|169963.18.peg.1015	1026190	1025159	1032	0	membrane protein
lmo0996	fig|169963.18.peg.1016	1026376	1026855	480	0	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
lmo0997	fig|169963.18.peg.1017	1029045	1026871	2175	0	ATP-dependent Clp protease ATP-binding subunit ClpA
lmo0999	fig|169963.18.peg.1019	1029965	1030756	792	0	FIG00774331: hypothetical protein
lmo0101	fig|169963.18.peg.102	108208	107915	294	0	transcriptional regulator, ArsR family
lmo1000	fig|169963.18.peg.1020	1032223	1030757	1467	3	Phytoene dehydrogenase and related proteins
lmo1001	fig|169963.18.peg.1021	1032557	1032333	225	30	FIG00774146: hypothetical protein
lmo1002	fig|169963.18.peg.1022	1032924	1033190	267	0	Phosphotransferase system, phosphocarrier protein HPr
lmo1003	fig|169963.18.peg.1023	1033190	1034908	1719	0	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
lmo1004	fig|169963.18.peg.1024	1035117	1036055	939	48	FIG00774338: hypothetical protein
lmo1005	fig|169963.18.peg.1025	1036068	1036928	861	0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
lmo1006	fig|169963.18.peg.1026	1038116	1036971	1146	0	N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)
lmo1007	fig|169963.18.peg.1027	1038336	1038557	222	0	FIG00775035: hypothetical protein
lmo1008	fig|169963.18.peg.1028	1038863	1039096	234	0	FIG00775017: hypothetical protein
lmo1009	fig|169963.18.peg.1029	1039297	1039749	453	0	FIG042801: CBS domain containing protein
lmo0102	fig|169963.18.peg.103	108320	108610	291	0	FIG00774166: hypothetical protein
lmo1010	fig|169963.18.peg.1030	1039746	1040624	879	0	Cys regulon transcriptional activator CysB
lmo1011	fig|169963.18.peg.1031	1040672	1041382	711	0	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)
lmo1012	fig|169963.18.peg.1032	1041446	1042561	1116	0	N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)
lmo1013	fig|169963.18.peg.1033	1043486	1042605	882	18	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
lmo1014	fig|169963.18.peg.1034	1043821	1045014	1194	0	Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)
lmo1015	fig|169963.18.peg.1035	1045007	1045855	849	0	Glycine betaine ABC transport system, permease protein OpuAB
lmo1016	fig|169963.18.peg.1036	1045869	1046771	903	0	Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC
lmo1017	fig|169963.18.peg.1037	1046886	1047377	492	0	PTS system, glucose-specific IIA component (EC 2.7.1.69)
lmo1018	fig|169963.18.peg.1038	1047490	1048185	696	0	Cytoplasmic copper homeostasis protein cutC
lmo1019	fig|169963.18.peg.1039	1048266	1049138	873	0	S1 RNA binding domain
lmo0103	fig|169963.18.peg.104	108624	109256	633	0	NADH dehydrogenase (EC 1.6.99.3)
lmo1020	fig|169963.18.peg.1040	1049273	1049986	714	0	hypothetical protein
lmo1021	fig|169963.18.peg.1041	1049983	1051041	1059	0	histidine kinase, putative
lmo1022	fig|169963.18.peg.1042	1051038	1051676	639	0	DNA-binding response regulator
lmo1023	fig|169963.18.peg.1043	1051695	1052354	660	0	Trk system potassium uptake protein TrkA
lmo1024	fig|169963.18.peg.1044	1052509	1053429	921	0	FIG00774894: hypothetical protein
lmo1025	fig|169963.18.peg.1045	1053426	1054277	852	0	FIG00774689: hypothetical protein
lmo1026	fig|169963.18.peg.1046	1055284	1054319	966	0	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)
lmo1027	fig|169963.18.peg.1047	1057060	1055393	1668	0	Ribonuclease J1 (endonuclease and 5' exonuclease)
lmo1028	fig|169963.18.peg.1048	1057276	1057067	210	0	Protein of unknown function DUF1447
lmo1029	fig|169963.18.peg.1049	1057761	1058531	771	0	Hydrolase (HAD superfamily) in cluster with DUF1447
lmo0104	fig|169963.18.peg.105	109349	109720	372	0	FIG00774471: hypothetical protein
lmo1030	fig|169963.18.peg.1050	1059608	1058580	1029	0	Unknown pentose utilization regulator, LacI family
lmo1031	fig|169963.18.peg.1051	1059872	1061275	1404	0	Unknown pentose isomerase TM0951
lmo1032	fig|169963.18.peg.1052	1061291	1062115	825	0	Transketolase, N-terminal section (EC 2.2.1.1)
lmo1033	fig|169963.18.peg.1053	1062108	1063064	957	0	Transketolase, C-terminal section (EC 2.2.1.1)
lmo1034	fig|169963.18.peg.1054	1063061	1064524	1464	0	Unknown pentose kinase TM0952
lmo1035	fig|169963.18.peg.1055	1064521	1066377	1857	0	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)
lmo1036	fig|169963.18.peg.1056	1066397	1067662	1266	0	FIG00774052: hypothetical protein
lmo1037	fig|169963.18.peg.1057	1068526	1067723	804	0	membrane protein, putative
lmo1038	fig|169963.18.peg.1058	1069175	1068594	582	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobA
lmo1039	fig|169963.18.peg.1059	1069818	1069156	663	0	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)
lmo0105	fig|169963.18.peg.106	110001	112283	2283	6	Chitinase (EC 3.2.1.14)
lmo1040	fig|169963.18.peg.1060	1070492	1069821	672	0	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)
lmo1041	fig|169963.18.peg.1061	1070597	1071367	771	0	Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)
lmo1042	fig|169963.18.peg.1062	1071462	1072685	1224	0	Molybdopterin biosynthesis protein MoeA
lmo1043	fig|169963.18.peg.1063	1072664	1073149	486	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobB
lmo1044	fig|169963.18.peg.1064	1073146	1073568	423	0	Molybdenum cofactor biosynthesis protein MoaE
lmo1045	fig|169963.18.peg.1065	1073552	1073800	249	0	Molybdenum cofactor biosynthesis protein MoaD
lmo1046	fig|169963.18.peg.1066	1073813	1074295	483	0	Molybdenum cofactor biosynthesis protein MoaC
lmo1047	fig|169963.18.peg.1067	1074414	1075325	912	45	Molybdenum cofactor biosynthesis protein MoaA
lmo1048	fig|169963.18.peg.1068	1075848	1075360	489	0	Molybdenum cofactor biosynthesis protein MoaB
lmo1049	fig|169963.18.peg.1069	1076858	1075860	999	0	Molybdopterin biosynthesis protein MoeB
lmo0106	fig|169963.18.peg.107	112386	113288	903	0	Sugar kinase and transcription regulator (EC 2.7.1.-)
lmo1050	fig|169963.18.peg.1070	1076989	1077543	555	0	FIG00774848: hypothetical protein
lmo1051	fig|169963.18.peg.1071	1078143	1077592	552	0	Peptide deformylase (EC 3.5.1.88)
lmo1052	fig|169963.18.peg.1072	1078977	1080092	1116	0	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
lmo1053	fig|169963.18.peg.1073	1080095	1081072	978	0	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
lmo1054	fig|169963.18.peg.1074	1081183	1082817	1635	0	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
lmo1055	fig|169963.18.peg.1075	1082822	1084225	1404	0	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
lmo1057	fig|169963.18.peg.1077	1084853	1085806	954	0	lactate/malate dehydrogenase family protein
lmo1058	fig|169963.18.peg.1078	1085806	1086078	273	0	FIG006438: hypothetical protein
lmo1059	fig|169963.18.peg.1079	1086100	1086630	531	0	FIG00774782: hypothetical protein
lmo0107	fig|169963.18.peg.108	115094	113313	1782	0	Lipid A export ATP-binding/permease protein MsbA
lmo1060	fig|169963.18.peg.1080	1086772	1087434	663	0	Two-component response regulator
lmo1062	fig|169963.18.peg.1082	1088941	1090362	1422	0	ABC transporters (permease protein), putattive
lmo1063	fig|169963.18.peg.1083	1090375	1091043	669	0	ABC transporter, ATP binding protein
lmo1064	fig|169963.18.peg.1084	1092054	1091110	945	0	Magnesium and cobalt transport protein CorA
lmo1065	fig|169963.18.peg.1085	1092869	1092255	615	0	FIG00774309: hypothetical protein
lmo1066	fig|169963.18.peg.1086	1093000	1093773	774	0	Inositol-1-monophosphatase (EC 3.1.3.25)
lmo1067	fig|169963.18.peg.1087	1093965	1095803	1839	0	GTP-binding protein TypA/BipA
lmo1068	fig|169963.18.peg.1088	1095975	1096835	861	0	FIG00775152: hypothetical protein
lmo1069	fig|169963.18.peg.1089	1097116	1096874	243	0	FIG00774805: hypothetical protein
lmo0108	fig|169963.18.peg.109	116829	115087	1743	0	Lipid A export ATP-binding/permease protein MsbA
lmo1070	fig|169963.18.peg.1090	1097322	1097603	282	0	Conserved hypothetical protein YlaN
lmo1071	fig|169963.18.peg.1091	1097786	1098988	1203	0	Cell division protein FtsW
lmo1072	fig|169963.18.peg.1092	1099266	1102706	3441	0	Pyruvate carboxyl transferase (EC 6.4.1.1)
lmo1073	fig|169963.18.peg.1093	1102858	1103757	900	0	Vitamin B12 ABC transporter, B12-binding component BtuF
lmo1074	fig|169963.18.peg.1094	1104048	1104851	804	0	Teichoic acid translocation permease protein TagG
lmo1075	fig|169963.18.peg.1095	1104863	1105864	1002	0	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)
