Guide for interpreting SIPHT output
Locus Name	|	UpGENEnumber		UpGENEname		UpGENEdirection	distUpGENE	|	sRNAstart	end	dirsRNA	lensRNA	|	distDnGENE	DnGENEdir.	DnGENEnumber	DnGENEname		sRNAtype	BLASTscore	BLASTexpect	TermType	NumSearchesPredicted	BLASTpartner	QRNA?	homology to known sRNAs	Num paralogues	Weaker rev paralogue?	Paralogous candidates	Conserved synteny with knowns	Potential UTR?	Riboswitch?	Putative TFBSs
Names for loci followed by accession number of replicon.  Loci that do not correspond to known ncRNAs will include the prefix 'Candidate'.  Names for loci that do correspond to known ncRNAs will include the name of the known ncRNA.	|	NCBI assigned number for gene (from .gff annotation)		NCBI assigned name for gene (from .gff annotation).  Longer gene names are truncated		Strand orientation of Upstream gene	# of bp between 3' boundary of Upstream gene and 5' boundary of predicted locus	|	Coordinate position of the beginning of the locus.  For loci on the + strand, this  corresponds to the 3' end of the putative terminator; for those on the - strand this is an estimation based on 5' end of conservation.	Coordinate position of the end of the locus.  For loci on the + strand, this is an estimation based on 5' end of conservation; for those on the - strand this corresponds to the 3' end of the putative terminator.	Strand orientation of locus	Predicted length of sRNA based on the distance between 5' end of conservation and 3' end of puative terminator.  NOTE: this prediction is often significantly different than the observed size as conservation may continue beyond the boundary or cover only a portion of the locus.	|	# of bp between 3' boundary of predicted locus and 5' boundary of downstream gene	Strand orientation of downstream gene	NCBI assigned name for gene (from .gff annotation).  Longer gene names are truncated	NCBI assigned number for gene (from .gff annotation)		If not previously annotated=candidate.  If previously annotated=name of known	BLAST score of intergenic conservation.  If conservation was found in multiple replicons, this number corresponds to the highest score among these HSPs.	BLAST expect value of intergenic conservation.  If conservation was found in multiple replicons, this number corresponds to the lowest E among these HSPs.	Program(s) that identified associated terminator.  T=TransTerm, F=FindTerm, R=RNAMotif, B=T+R, X=F+R, Y=F+T, Z=all three programs.	The number of partner replicons in which intergenic sequence conservation was found.	The names of partner replicons in which intergenic sequence conservation was found.	QRNA designation. RNA=conserved secondary structure, COD=conserved coding sequence, -=neither.	Accession number_name of RNA_(strand orientation).  If this is followed by (hom) the known locus is in a different replicon then the ROI.  If followed by (hom|rev) the known locus is in a different replicon then the ROI and on the opposite strand.  If followed by  (tandem) it is in the same replicon and in the same IGR on the same strand but not in the same position as the candidate locus.  If followed by  (rev) the known locus is in the same replicon and in the same IGR on the opposite strand.  If not followed by any parantheses the known RNA is in the same replicon and either overlaps or is in a different IGR than the candidate locus.	# predicted loci loci in the same replicon but in different IGR that share homology with candidate	WTA loci are denoted by W.	Accession number_name of paralogous candidate.  If this is followed by (para) the paralogous locus is in a different IGR than the candidate.  If this is followed by (tandem) the paralogous locus is in the same IGR as the candidate.  If this is followed by (anti) the paralogous locus overlaps but is in the opposite orientation as the candidate.  If this is followed by (opp) the paralogous locus is in the same IGR in the opposite orientation as the candidate but does not overlap the candidate.	Name_accession number of known RNA with which candidate shares synteny.  If this is followed by 3'(0), only the genes directly 3' of the candidate and known loci share homology.  If followed by UD, both upstream and downstream genes are homologous.  UD is followed by 5'(x-y) where x is the relative position of the homologous gene upstream of the candidate and y is the relative poisiton of the homologous gene upstream of the know ncRNA.  For example, 5'(0-0) denotes the genes directly upstream of both the candidate and known are homologous, while 5'(0-1) denotes the gene directly upstream of the candidate locus is homolgous to the gene upstream of the gene directly upstream of the known RNA.  This nomenclature is also used for the downstream genes.	'5' dentoes 3' end of the predicted locus is < 30 bp upstream of annotated start of downstream gene on the same strand.  '3' dentoes 3' end of the predicted locus is < 80 bp downstream of annotated end of upstream gene on the same strand. 	Denoted by RS	Species from which consensus matrix was derived_transcription factor name_matrix number(patser score|distance between TFBS and putative terminator (in other words predicted length).  If species=Multi, the consensus matrix was derived from experimentally determined regulons in multiple species (see Materials and Methods).
~
sRNAName	|	UpGENEnumber		UpGENEname		UpGENEdir.	distUpGENE	|	sRNAstart	end	dirsRNA	lensRNA	|	distDnGENE	DnGENEdir.	DnGENEnumber	DnGENEname		sRNAtype	BLASTscore	BLASTexpect	TermType	NumSearchesPredicted	BLASTpartner	QRNA?	homology to known sRNAs	Num paralogues	Weaker rev paralogue?	Paralogous candidates	Conserved synteny with knowns	Potential UTR?	Riboswitch?	Putative TFBSs
~
Candidate_1_NC_003210	|	lmo0036		putrescine_carbamoyltransferase                 	*	>>>	1	|	41732	41813	>>>	81	|	-11	>>>	lmo0037	hypothetical_protein                           	*	candidate	288	3.1e-06	R	1	Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_2_NC_003210	|	lmo0043		arginine_deiminase                              	*	>>>	8	|	49315	49379	>>>	64	|	205	>>>	lmo0044	30S_ribosomal_protein_S6                       	*	candidate	250	4.8e-05	R	12	Staphylococcus_aureus_subsp._aureus_N315_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu50_chromosome_<>Staphylococcus_aureus_subsp._aureus_MRSA252_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH9_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH1_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu3_chromosome_<>Staphylococcus_aureus_subsp._aureus_ED98_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Staphylococcus_pseudintermedius_HKU10-03_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_3_NC_003210	|	lmo0135		hypothetical_protein                            	*	>>>	1	|	138899	138982	>>>	83	|	16	>>>	lmo0136	hypothetical_protein                           	*	candidate	418	3e-12	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_4_NC_003210	|	lmo0158		hypothetical_protein                            	*	>>>	75	|	156881	156926	>>>	45	|	162	>>>	lmo0159	peptidoglycan_binding_protein                  	*	candidate	653	3.5e-23	R	2	Listeria_innocua_Clip11262_chromosome_<>Gramella_forsetii_KT0803_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_5_NC_003210	|	lmo0197		regulatory_protein_SpoVG                        	*	>>>	266	|	201097	201141	>>>	44	|	75	>>>	lmo0198	bifunctional_N-acetylglucosamine-1-phosphate_uridy   	*	candidate	440	2.6e-13	R	11	Listeria_innocua_Clip11262_chromosome_<>Staphylococcus_epidermidis_ATCC_12228_chromosome_<>Photorhabdus_luminescens_subsp._laumondii_TTO1_chromosome_<>Anabaena_variabilis_ATCC_29413_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Staphylococcus_carnosus_subsp._carnosus_TM300_chromosome_<>Desulfotomaculum_acetoxidans_DSM_771_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Bacillus_thuringiensis_BMB171_chromosome_<>Desulfotomaculum_kuznetsovii_DSM_6115_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_6_NC_003210	|	lmor01		16S_ribosomal_RNA                               	*	>>>	28	|	239049	239103	>>>	54	|	161	>>>	lmor02	23S_ribosomal_RNA                              	*	candidate	209	0.0032	R	11	Listeria_innocua_Clip11262_chromosome_<>Enterococcus_faecalis_V583_chromosome_<>Lactobacillus_sakei_subsp._sakei_23K_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Desulfotomaculum_reducens_MI-1_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Bacillus_coagulans_2-6_chromosome_<>Weissella_koreensis_KACC_15510_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_<>Bacillus_coagulans_36D1_chromosome_<>Tetragenococcus_halophilus_NBRC_12172_chromosome_	-	-	9		Candidate_7_NC_003210(para),Candidate_63_NC_003210(para),Candidate_64_NC_003210(para),Candidate_379_NC_003210(para),Candidate_395_NC_003210(para),Candidate_92_NC_003210(para),Candidate_93_NC_003210(para),Candidate_32_NC_003210(para),Candidate_29_NC_003210(para)	-	-	-	-
