Name	begin	end	length	strand	Note
RASTlmo174	172410	172072	339	-	pseudo-gene in previous annot
RASTlmo1326	1328559	1328308	252	-	
RASTlmo1775	1816953	1817066	114	+	
RASTlmo2484	2515041	2515307	267	+	
RASTlmo1157	1169643	1169524	120	-	
RASTlmo1524	1527921	1528142	222	+	
RASTlmo176	172906	172757	150	-	pseudo-gene in previous annot
RASTlmo1906	1951329	1950883	447	-	overlap rli130
RASTlmo2335	2386370	2386828	459	+	
RASTlmo2338	2387799	2387674	126	-	
RASTlmo2509	2544313	2544122	192	-	
RASTlmo339	367286	367098	189	-	
RASTlmo386	404219	404368	150	+	
RASTlmo417	433171	432143	1029	-	Overlap pseudogene lmo0407
RASTlmo478	506258	506371	114	+	
RASTlmo653	684220	684357	138	+	
RASTlmo671	700410	700544	135	+	
RASTlmo676	702929	703099	171	+	
RASTlmo990	1003445	1003618	174	+	
RASTlmo2802	2839434	2839568	135	+	overlap rli113
RASTlmo2104	2151667	2151518	150	-	overlap rli134
RASTlmo227	232620	232453	168	-	
RASTlmo2622	2660339	2660178	162	-	
RASTlmo10	12780	12896	117	+	
RASTlmo1260	1263694	1263807	114	+	overlap anti1236
RASTlmo139	141024	140878	147	-	
RASTlmo1494	1501258	1501389	132	+	
RASTlmo1625	1640198	1639998	201	-	
RASTlmo2036	2077007	2076876	132	-	
RASTlmo2677	2706382	2706266	117	-	
RASTlmo2689	2719055	2718312	744	-	terminator in the beginning
RASTlmo2805	2842251	2842385	135	+	
RASTlmo296	318524	318637	114	+	
RASTlmo56	58694	58843	150	+	
RASTlmo58	60228	60404	177	+	
RASTlmo864	889833	889964	132	+	
RASTlmo916	936986	937147	162	+	
RASTlmo951	970664	970548	117	-	UTR
RASTlmo172	169673	169488	186	-	
RASTlmo2360	2397294	2397491	198	+	overlap anti2325
RASTlmo1151	1164127	1164252	126	+	
RASTlmo2363	2398290	2398096	195	-	
RASTlmo2433	2468857	2468693	165	-	
RASTlmo366	388678	388451	228	-	
RASTlmo2392	2424862	2424725	138	-	overlap rli100
RASTlmo467	495870	495998	129	+	rli 121 - near virR lmo0458
RASTlmo468	496060	496191	132	+	rli 121 -near virR lmo0459
RASTlmo1965	2008877	2008758	120	-	overlap rli130
RASTlmo2355	2395208	2395080	129	-	overlap rli99 - rli140
RASTlmo2578	2613057	2613173	117	+	overlap rli149-sbrC
RASTlmo882	907654	907830	177	+	Overlap rli37
RASTlmo1276	1275778	1275584	195	-	overlap rli40 - rli148 - sbrB - smallORF Toledo et al. 2009
RASTlmo1278	1277161	1277024	138	-	overlap rli41 - smallORF Toledo et al. 2009
RASTlmo486	513619	513768	150	+	overlap rli5 - rliA
RASTlmo1118	1132987	1132787	201	-	
RASTlmo1212	1215858	1215742	117	-	
RASTlmo1835	1881008	1880865	144	-	
RASTlmo2138	2186354	2186527	174	+	
RASTlmo2431	2468540	2468397	144	-	
RASTlmo2848	2888562	2888368	195	-	
RASTlmo456	482713	482868	156	+	
RASTlmo475	502204	502362	159	+	
RASTlmo608	640106	639558	549	-	
RASTlmo682	706283	706399	117	+	
RASTlmo745	761169	761300	132	+	
RASTlmo994	1006751	1006605	147	-	
RASTlmo2554	2592564	2592445	120	-	overlap comEF gene
RASTlmo175	172700	172410	291	-	Was a pseudo-gene or RefSeq provisional
RASTlmo177	173208	172903	306	-	Was a pseudo-gene or RefSeq provisional
RASTlmo1907	1952564	1951284	1281	-	Was a pseudo-gene or RefSeq provisional
