Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	FC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	STAT_EGD_WT vs EGDe_280212_FDRBH.ge	STAT_EGD_WT vs EGDe_280212_FDRBY.ge	STAT_EGD_WT vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0048	-4.33731662056072	-20.214472064771893	7.186275637338646E-6	2.6533222905134767E-4	0.0022632856747653667	0.02043058163695377	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	-4.067516805672071	-16.766583123507672	2.4834682394225815E-5	8.405357386521904E-4	0.007169775429172146	0.070605002046784	+	52373	52534	162			hypothetical protein				ATG	 
lmo0067	-2.4141843360337187	-5.330180304669322	6.10411569661462E-5	0.0018267369395237227	0.015582078217828055	0.17354000925475366	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0070	-2.051825746730419	-4.1463035701753945	1.0981836551238189E-9	8.438205760856803E-8	7.197795114280629E-7	3.122136131517017E-6	+	76262	76984	723			hypothetical protein				GTG	 
lmo0073	-3.247973490396019	-9.500302758376272	0.0	0.0	0.0	0.0	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	-2.81881619766094	-7.05583193669618	3.0375707837926313E-8	1.7991278621505105E-6	1.534657260459859E-5	8.635813738322451E-5	+	78362	78811	450			hypothetical protein				ATG	 
lmo0117	-3.630655760744089	-12.386148653051734	1.9240490300886925E-4	0.005160444709945427	0.044018627624682366	0.5470071392542153	+	122798	123187	390	lma operon - lmaB		antigen B				GTG	 
lmo0135	2.86318974968356	7.276222952755483	6.265864579146907E-5	0.0018556096873452766	0.01582836294836861	0.17813852998514657	+	137323	138897	1575			peptide ABC transporter substrate-binding protein				ATG	 
lmo0152	3.3465909396190305	10.17241936688628	2.610568496930199E-6	1.075629889387327E-4	9.175130095216104E-4	0.007421846236772556	-	148354	150009	1656			peptide ABC transporter substrate-binding protein				ATG	 
lmo0178	6.55025888386236	93.71830027644157	0.0	0.0	0.0	0.0	+	177924	179138	1215			xylose repressor				ATG	 
lmo0179	6.432257669092441	86.35798458146465	0.0	0.0	0.0	0.0	+	179174	180052	879			sugar ABC transporter permease				ATG	 
lmo0180	7.1211681419304	139.2147381586734	0.0	0.0	0.0	0.0	+	180052	180900	849			sugar ABC transporter permease				ATG	 
