Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	LOGFC_EGD_WT vs EGDe_280212.gr	STAT_EGD_WT vs EGDe_280212_TSTUDENTTILING.gr	CORR_EGD_WT vs EGDe_280212_ARRAYSCORR.gr	STAT_EGD_WT vs EGDe_280212_FDRBY.gr	STAT_EGD_WT vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0048	-4.33731662056072	7.186275637338646E-6	-4.72623588003	5.287857831038982E-30	1.0896681735489722	0.0011316428373826834	0.010215290818476885	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	-4.067516805672071	2.4834682394225815E-5	-4.391708436329999	3.514153433925935E-8	1.07970259156787	0.0035855345203090337	0.03535287641286732	+	52373	52534	162			hypothetical protein				ATG	 
lmo0067	-2.4141843360337187	6.10411569661462E-5	-2.1944791376099992	3.1139068098996564E-14	0.9089940253755955	0.007791039110275229	0.08677000467201468	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0070	-2.051825746730419	1.0981836551238189E-9	-2.321062627769999	4.0781411645585714E-6	1.1312181999220006	5.409044399117732E-5	0.005847576427460471	+	76262	76984	723			hypothetical protein				GTG	 
lmo0073	-3.247973490396019	0.0	-3.3515756559449996	9.895001454178942E-11	1.031897478798803	2.685431631209327E-9	1.4184484584565515E-7	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	-2.81881619766094	3.0375707837926313E-8	-3.634306787299999	6.06364917256835E-6	1.2893025058944088	8.482290318270499E-5	0.008735420157568341	+	78362	78811	450			hypothetical protein				ATG	 
lmo0117	-3.630655760744089	1.9240490300886925E-4	-2.5958619014299993	2.611218269108733E-8	0.7149843093078004	0.022009800278446016	0.2735410014409953	+	122798	123187	390	lma operon - lmaB		antigen B				GTG	 
lmo0135	2.86318974968356	6.265864579146907E-5	2.3775939743850003	4.860359093465828E-9	0.8304004212950862	0.007914284755236374	0.08907623231733376	+	137323	138897	1575			peptide ABC transporter substrate-binding protein				ATG	 
lmo0152	3.3465909396190305	2.610568496930199E-6	3.717519538667	3.9307750181456054E-22	1.1108377467519814	4.5875650476080525E-4	0.0037109231183862783	-	148354	150009	1656			peptide ABC transporter substrate-binding protein				ATG	 
lmo0178	6.55025888386236	0.0	6.338751341830001	4.27802255146402E-64	0.9677100484450405	1.7454065221716166E-60	6.132545327523672E-61	+	177924	179138	1215			xylose repressor				ATG	 
lmo0179	6.432257669092441	0.0	6.18400580433	1.085102689853836E-41	0.9614051741186749	5.533939131084952E-39	1.555494705905474E-38	+	179174	180052	879			sugar ABC transporter permease				ATG	 
lmo0180	7.1211681419304	0.0	6.773534344165	2.629493130794752E-57	0.9511830375527177	5.364083995915355E-54	3.769378402994277E-54	+	180052	180900	849			sugar ABC transporter permease				ATG	 
lmo0181	6.628567636423851	0.0	6.07803586422	4.426403563906993E-31	0.916945590299375	8.88169696675573E-29	6.345249508860674E-28	+	180928	182184	1257			sugar ABC transporter substrate-binding protein				ATG	 
lmo0182	3.3158216533643596	2.382575933697062E-4	2.9179777968900007	7.340694902151492E-17	0.8800165093105381	0.025121475470701007	0.3386831689751426	+	182267	185569	3303			alpha-glucosidase				ATG	 
lmo0183	5.517317043983371	1.4237500067793007E-12	5.5415948227400005	1.6457353855152627E-125	1.0044002870531257	7.847065747915118E-10	2.023860634636776E-9	+	185572	187863	2292			alpha-glucosidase				ATG	 
lmo0184	4.50185540415095	5.271494352143691E-11	4.647320344800001	6.221622835375281E-63	1.0323122196494636	2.130633366413821E-8	7.493429221572256E-8	+	187867	189528	1662			oligo-1,6-glucosidase				ATG	 
lmo0201	3.2464585058223996	1.866719616172574E-5	3.512483415719	1.0587658344567983E-7	1.0819431110607127	0.002762108183394902	0.026687193426262523	-	204624	205577	954	plcA		phosphatidylinositol-specific phospholipase c				TTG	 
