RAST id	begin RAST	end RAST	length RAST	strand	diff length (aa)	NCBI id
RASTlmo1013	1023265	1024680	1416	+	27	lmo0993
RASTlmo1020	1032223	1030757	1467	-	-2	lmo1000
RASTlmo1021	1032557	1032333	225	-	-20	lmo1001
RASTlmo1024	1035117	1036055	939	+	-32	lmo1004
RASTlmo1033	1043486	1042605	882	-	12	lmo1013
RASTlmo106	110001	112283	2283	+	4	lmo0105
RASTlmo1067	1074414	1075325	912	+	-30	lmo1047
RASTlmo1105	1119031	1121022	1992	+	-33	lmo1085
RASTlmo1108	1123017	1124078	1062	+	-33	lmo1088
RASTlmo1116	1129957	1131501	1545	+	-4	lmo1096
RASTlmo112	119060	119770	711	+	1	lmo0111
RASTlmo1125	1139895	1138930	966	-	-15	lmo1104
RASTlmo1135	1152508	1149887	2622	-	11	lmo1115
RASTlmo1156	1168393	1169541	1149	+	-1	lmo1135
RASTlmo1164	1174250	1175605	1356	+	-3	lmo1142
RASTlmo118	122795	123187	393	+	1	lmo0117
RASTlmo1192	1197214	1198047	834	+	-14	lmo1170
RASTlmo1194	1200060	1200632	573	+	-3	lmo1172
RASTlmo1205	1210465	1211031	567	+	-2	lmo1183
RASTlmo1207	1211365	1211853	489	+	-19	lmo1185
RASTlmo1227	1228263	1228997	735	+	28	lmo1204
RASTlmo1238	1235751	1236539	789	+	-27	lmo1215
RASTlmo1251	1254260	1253379	882	-	-15	lmo1228
RASTlmo1259	1263672	1263187	486	-	-3	lmo1236
RASTlmo1307	1305339	1305758	420	+	17	lmo1281
RASTlmo131	133767	131419	2349	-	-2	lmo0130
RASTlmo1315	1313702	1315435	1734	+	-16	lmo1289
RASTlmo1324	1326467	1326808	342	+	-9	lmo1298
RASTlmo1338	1338872	1337742	1131	-	-25	lmo1311
RASTlmo1342	1341104	1341865	762	+	1	lmo1315
RASTlmo1370	1369606	1369412	195	-	-30	lmo1343
RASTlmo138	139957	140853	897	+	1	lmo0137
RASTlmo1388	1384359	1385714	1356	+	1	lmo1361
RASTlmo1392	1387429	1389210	1782	+	-16	lmo1365
RASTlmo1415	1415104	1416693	1590	+	16	lmo1389
RASTlmo142	141702	143006	1305	+	-28	lmo0140
RASTlmo1432	1435632	1437866	2235	+	1	lmo1406
RASTlmo1437	1441343	1441540	198	+	-10	lmo1411
RASTlmo1479	1486436	1485708	729	-	8	lmo1453
RASTlmo1487	1495281	1495850	570	+	-20	lmo1461
RASTlmo1490	1497610	1497221	390	-	-2	lmo1464
RASTlmo150	146776	147381	606	+	-4	lmo0149
RASTlmo1510	1518095	1517613	483	-	-26	lmo1483
RASTlmo1530	1532123	1531716	408	-	-3	lmo1502
RASTlmo1534	1537618	1536143	1476	-	-10	lmo1506
RASTlmo1536	1538507	1539937	1431	+	-3	lmo1508
RASTlmo1538	1543071	1542403	669	-	10	lmo1510
RASTlmo156	151926	152645	720	+	-29	lmo0155
RASTlmo1565	1573140	1571905	1236	-	-18	lmo1537
RASTlmo1604	1619229	1617901	1329	-	5	lmo1576
RASTlmo1609	1624316	1623099	1218	-	8	lmo1581
RASTlmo1620	1635129	1633933	1197	-	-5	lmo1592
RASTlmo1621	1636330	1635146	1185	-	15	lmo1593
RASTlmo1627	1642573	1641284	1290	-	10	lmo1598
RASTlmo163	162491	163459	969	+	-8	lmo0162
RASTlmo1639	1654819	1654691	129	-	-30	lmo1610
RASTlmo1646	1660920	1659457	1464	-	-2	lmo1617
RASTlmo1654	1669429	1667831	1599	-	-5	lmo1625
RASTlmo166	164735	165508	774	+	7	lmo0165
RASTlmo1709	1739417	1737087	2331	-	11	lmo1681
RASTlmo171	168011	169270	1260	+	-2	lmo0170
RASTlmo1735	1769518	1769700	183	+	-13	lmo1707
RASTlmo1743	1777518	1776910	609	-	-20	lmo1715
RASTlmo1745	1779476	1778415	1062	-	-2	lmo1717
RASTlmo1756	1793079	1789825	3255	-	-2	lmo1728
RASTlmo1765	1807549	1806446	1104	-	-1	lmo1737
RASTlmo1787	1829959	1827941	2019	-	1	lmo1758
RASTlmo180	175763	177760	1998	+	1	lmo0177
RASTlmo1814	1859775	1859272	504	-	-4	lmo1785
RASTlmo1815	1861093	1860200	894	-	1	lmo1786
RASTlmo1819	1863600	1864217	618	+	-33	lmo1790
RASTlmo1828	1872246	1869532	2715	-	1	lmo1799
RASTlmo1831	1875440	1875129	312	-	-7	lmo1802
RASTlmo1843	1888584	1887913	672	-	3	lmo1813
RASTlmo1857	1903104	1902484	621	-	1	lmo1827
RASTlmo1876	1922418	1923809	1392	+	7	lmo1846
RASTlmo1994	2037869	2037141	729	-	-29	lmo1963
RASTlmo2047	2091710	2094808	3099	+	-4	lmo2015
RASTlmo2058	2108167	2106329	1839	-	-14	lmo2026
RASTlmo2060	2110788	2110009	780	-	1	lmo2028
RASTlmo2068	2118689	2117304	1386	-	6	lmo2036
RASTlmo2071	2123699	2121483	2217	-	-13	lmo2039
RASTlmo208	211452	212294	843	+	-9	lmo0205
RASTlmo2103	2151502	2150786	717	-	23	lmo2072
RASTlmo2108	2156721	2156242	480	-	8	lmo2076
RASTlmo2111	2159091	2157949	1143	-	-1	lmo2079
RASTlmo2113	2160050	2159697	354	-	-1	lmo2081
RASTlmo2139	2187324	2186557	768	-	-29	lmo2106
RASTlmo2149	2197215	2196382	834	-	3	lmo2116
RASTlmo2152	2200726	2199365	1362	-	1	lmo2119
RASTlmo2162	2212551	2212384	168	-	-23	lmo2129
RASTlmo2168	2220848	2219751	1098	-	1	lmo2135
RASTlmo2186	2235697	2235305	393	-	-15	lmo2153
RASTlmo2200	2250330	2249683	648	-	10	lmo2167
RASTlmo2222	2278456	2277398	1059	-	-19	lmo2189
RASTlmo2223	2279298	2278639	660	-	2	lmo2190
RASTlmo2233	2289426	2288971	456	-	1	lmo2200
RASTlmo2236	2293150	2292047	1104	-	-8	lmo2203
RASTlmo2237	2293506	2293685	180	+	-3	lmo2204
RASTlmo2246	2302449	2303021	573	+	23	lmo2213
RASTlmo2247	2304277	2303060	1218	-	-2	lmo2214
RASTlmo2253	2308741	2307755	987	-	15	lmo2220
RASTlmo2268	2325552	2327402	1851	+	-25	lmo2235
RASTlmo2274	2333301	2332888	414	-	6	lmo2241
RASTlmo228	232692	233477	786	+	-10	lmo0224
RASTlmo2285	2341862	2343013	1152	+	1	lmo2252
RASTlmo2295	2349508	2350320	813	+	-11	lmo2263
RASTlmo2300	2359816	2356325	3492	-	6	lmo2268
RASTlmo2322	2377437	2377198	240	-	-31	lmo2290
RASTlmo2331	2383943	2382228	1716	-	-15	lmo2299
RASTlmo2341	2388653	2388528	126	-	-19	lmo2307
RASTlmo2365	2398703	2399161	459	+	-6	lmo2329
RASTlmo2369	2402384	2402833	450	+	-9	lmo02333
RASTlmo2383	2415956	2415246	711	-	1	lmo2347
RASTlmo2398	2431299	2430826	474	-	1	lmo2361
RASTlmo2401	2434872	2434627	246	-	2	lmo2364
RASTlmo2414	2453189	2454349	1161	+	-17	lmo2377
RASTlmo2416	2457090	2457512	423	+	-1	lmo2379
RASTlmo2418	2457909	2459336	1428	+	-19	lmo2381
RASTlmo2421	2460123	2460683	561	+	-11	lmo2384
RASTlmo2424	2461767	2463029	1263	+	12	lmo2387
RASTlmo2439	2475574	2474801	774	-	2	lmo2401
RASTlmo2441	2477248	2475860	1389	-	-1	lmo2403
RASTlmo2459	2492649	2491552	1098	-	-15	lmo2421
RASTlmo2460	2493385	2492684	702	-	2	lmo2422
RASTlmo2474	2505085	2504300	786	-	-24	lmo2436
RASTlmo2482	2514296	2510361	3936	-	1	lmo2444
RASTlmo2493	2526113	2525946	168	-	-2	lmo2454
RASTlmo25	26646	27467	822	+	-2	lmo0024
RASTlmo2502	2538509	2536347	2163	-	-24	lmo2463
RASTlmo2503	2539199	2538588	612	-	1	lmo2464
RASTlmo2538	2573830	2572880	951	-	9	lmo2498
RASTlmo2549	2587130	2586114	1017	-	11	lmo2509
RASTlmo2558	2595545	2596090	546	+	-20	lmo2517
RASTlmo2560	2598397	2597363	1035	-	-6	lmo2519
RASTlmo2596	2631295	2630285	1011	-	-5	lmo2554
RASTlmo2614	2650758	2650231	528	-	1	lmo2572
RASTlmo2644	2688584	2687691	894	-	18	lmo2601
RASTlmo2679	2708107	2707235	873	-	-29	lmo2635
RASTlmo2690	2719682	2719056	627	-	-31	lmo2646
RASTlmo27	28251	28895	645	+	1	lmo0026
RASTlmo2725	2755574	2753523	2052	-	2	lmo2681
RASTlmo2755	2786298	2784805	1494	-	-7	lmo2712
RASTlmo2770	2801484	2802458	975	+	31	lmo2727
RASTlmo2789	2821910	2821641	270	-	6	lmo2746
RASTlmo280	299604	300578	975	+	1	lmo0277
RASTlmo2813	2849437	2848406	1032	-	-33	lmo2768
RASTlmo2833	2876703	2875945	759	-	-24	lmo2788
RASTlmo2834	2877147	2876947	201	-	-2	lmo2789
RASTlmo2837	2879711	2878989	723	-	-12	lmo2792
RASTlmo2838	2880154	2879906	249	-	-17	lmo2793
RASTlmo2851	2890594	2890274	321	-	-24	lmo2805
RASTlmo2852	2891099	2890779	321	-	-24	lmo2806
RASTlmo2853	2891580	2891269	312	-	-24	lmo2807
RASTlmo2854	2891993	2891649	345	-	-13	lmo2808
RASTlmo2855	2892398	2892057	342	-	-13	lmo2809
RASTlmo2865	2904387	2903200	1188	-	-5	lmo2819
RASTlmo2868	2910004	2909753	252	-	-24	lmo2822
RASTlmo2873	2915689	2915219	471	-	16	lmo2827
RASTlmo2886	2928625	2927390	1236	-	-2	lmo2840
RASTlmo306	327618	327905	288	+	1	lmo0302
RASTlmo312	332857	333132	276	+	-27	lmo0308
RASTlmo317	338350	339087	738	+	-3	lmo0313
RASTlmo328	348583	349065	483	+	1	lmo0324
RASTlmo334	356869	357705	837	+	7	lmo0330
RASTlmo367	389448	388807	642	-	-31	lmo0361
RASTlmo369	390433	389813	621	-	1	lmo0363
RASTlmo393	409941	411860	1920	+	1	lmo0386
RASTlmo397	414050	414760	711	+	15	lmo0390
RASTlmo4	4629	4865	237	+	5	lmo0004
RASTlmo401	416847	417479	633	+	-17	lmo0394
RASTlmo419	435823	434945	879	-	2	lmo0412
RASTlmo445	467501	468136	636	+	6	lmo0438
RASTlmo461	488755	487649	1107	-	-14	lmo0453
RASTlmo481	509472	510287	816	+	-24	lmo0472
RASTlmo484	512035	512208	174	+	-23	lmo0475
