NCBI id	RAST id	begin RAST	end RAST	length RAST	diffcenter NCBI-RAST	description RAST
LMRG_02429	fig|393133.14.peg.1	318	1673	1356	0	Chromosomal replication initiator protein DnaA
LMRG_02350	fig|393133.14.peg.100	105011	104718	294	0	"transcriptional regulator, ArsR family"
LMRG_02095	fig|393133.14.peg.1000	1007990	1006959	1032	0	membrane protein
LMRG_02096	fig|393133.14.peg.1001	1008177	1008656	480	0	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
LMRG_02097	fig|393133.14.peg.1002	1010846	1008672	2175	0	ATP-dependent Clp protease ATP-binding subunit ClpA
LMRG_02099	fig|393133.14.peg.1004	1011766	1012557	792	0	FIG00774331: hypothetical protein
LMRG_02100	fig|393133.14.peg.1005	1014024	1012558	1467	16	Phytoene dehydrogenase and related proteins
LMRG_02101	fig|393133.14.peg.1006	1014358	1014134	225	30	FIG00774146: hypothetical protein
LMRG_02102	fig|393133.14.peg.1007	1014725	1014991	267	0	"Phosphotransferase system, phosphocarrier protein HPr"
LMRG_02103	fig|393133.14.peg.1008	1014991	1016709	1719	0	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
LMRG_02104	fig|393133.14.peg.1009	1016918	1017856	939	48	FIG00774338: hypothetical protein
LMRG_02351	fig|393133.14.peg.101	105123	105413	291	0	FIG00774166: hypothetical protein
LMRG_02105	fig|393133.14.peg.1010	1017869	1018729	861	0	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
LMRG_02106	fig|393133.14.peg.1011	1019917	1018772	1146	0	"N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)"
LMRG_02107	fig|393133.14.peg.1012	1020137	1020358	222	0	FIG00775035: hypothetical protein
LMRG_02108	fig|393133.14.peg.1013	1020664	1020897	234	0	FIG00775017: hypothetical protein
LMRG_02109	fig|393133.14.peg.1014	1021098	1021550	453	0	FIG042801: CBS domain containing protein
LMRG_02110	fig|393133.14.peg.1015	1021547	1022425	879	0	Cys regulon transcriptional activator CysB
LMRG_02111	fig|393133.14.peg.1016	1022473	1023183	711	0	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)"
LMRG_02112	fig|393133.14.peg.1017	1023247	1024362	1116	0	"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)"
LMRG_02113	fig|393133.14.peg.1018	1025287	1024406	882	0	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
LMRG_02352	fig|393133.14.peg.102	105427	106059	633	0	NADH dehydrogenase (EC 1.6.99.3)
LMRG_02114	fig|393133.14.peg.1020	1025623	1026816	1194	0	"Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)"
LMRG_02115	fig|393133.14.peg.1021	1026809	1027657	849	0	"Glycine betaine ABC transport system, permease protein OpuAB"
LMRG_02116	fig|393133.14.peg.1022	1027671	1028573	903	0	"Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC"
LMRG_02117	fig|393133.14.peg.1023	1028688	1029179	492	0	"PTS system, glucose-specific IIA component (EC 2.7.1.69)"
LMRG_02118	fig|393133.14.peg.1024	1029292	1029987	696	0	Cytoplasmic copper homeostasis protein cutC
LMRG_02119	fig|393133.14.peg.1025	1030068	1030940	873	0	S1 RNA binding domain
LMRG_02120	fig|393133.14.peg.1026	1031075	1031788	714	0	hypothetical protein
LMRG_02121	fig|393133.14.peg.1027	1031785	1032843	1059	0	"histidine kinase, putative"
LMRG_02122	fig|393133.14.peg.1028	1032840	1033478	639	0	DNA-binding response regulator
LMRG_02123	fig|393133.14.peg.1029	1033497	1034156	660	0	Trk system potassium uptake protein TrkA
LMRG_02353	fig|393133.14.peg.103	106152	106523	372	0	FIG00774471: hypothetical protein
LMRG_02124	fig|393133.14.peg.1030	1034311	1035231	921	0	FIG00774894: hypothetical protein
LMRG_02125	fig|393133.14.peg.1031	1035228	1036079	852	0	FIG00774689: hypothetical protein
LMRG_02126	fig|393133.14.peg.1032	1037086	1036121	966	0	"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)"
LMRG_02127	fig|393133.14.peg.1033	1038862	1037195	1668	0	Ribonuclease J1 (endonuclease and 5' exonuclease)
LMRG_02128	fig|393133.14.peg.1034	1039078	1038869	210	0	Protein of unknown function DUF1447
LMRG_02129	fig|393133.14.peg.1035	1039563	1040333	771	0	Hydrolase (HAD superfamily) in cluster with DUF1447
LMRG_00491	fig|393133.14.peg.1036	1041410	1040382	1029	0	"Unknown pentose utilization regulator, LacI family"
LMRG_00492	fig|393133.14.peg.1037	1041674	1043077	1404	0	Unknown pentose isomerase TM0951
LMRG_00493	fig|393133.14.peg.1038	1043093	1043917	825	0	"Transketolase, N-terminal section (EC 2.2.1.1)"
LMRG_00494	fig|393133.14.peg.1039	1043910	1044866	957	0	"Transketolase, C-terminal section (EC 2.2.1.1)"
LMRG_02354	fig|393133.14.peg.104	106804	109086	2283	0	Chitinase (EC 3.2.1.14)
LMRG_00495	fig|393133.14.peg.1040	1044863	1046326	1464	0	Unknown pentose kinase TM0952
LMRG_00496	fig|393133.14.peg.1041	1046323	1048179	1857	0	"PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)"
LMRG_02973	fig|393133.14.peg.1042	1048199	1049464	1266	0	FIG00774052: hypothetical protein
LMRG_00498	fig|393133.14.peg.1043	1050328	1049525	804	0	"membrane protein, putative"
LMRG_00499	fig|393133.14.peg.1044	1050977	1050396	582	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobA
LMRG_00500	fig|393133.14.peg.1045	1051620	1050958	663	0	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)
LMRG_00501	fig|393133.14.peg.1046	1052294	1051623	672	0	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)
LMRG_00502	fig|393133.14.peg.1047	1052399	1053169	771	0	"Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)"
LMRG_00503	fig|393133.14.peg.1048	1053264	1054487	1224	0	Molybdopterin biosynthesis protein MoeA
LMRG_00504	fig|393133.14.peg.1049	1054466	1054951	486	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobB
LMRG_02355	fig|393133.14.peg.105	109189	110091	903	0	Sugar kinase and transcription regulator (EC 2.7.1.-)
LMRG_00505	fig|393133.14.peg.1050	1054948	1055370	423	0	Molybdenum cofactor biosynthesis protein MoaE
LMRG_00506	fig|393133.14.peg.1051	1055354	1055602	249	0	Molybdenum cofactor biosynthesis protein MoaD
LMRG_00507	fig|393133.14.peg.1052	1055615	1056097	483	0	Molybdenum cofactor biosynthesis protein MoaC
LMRG_00508	fig|393133.14.peg.1053	1056216	1057127	912	45	Molybdenum cofactor biosynthesis protein MoaA
LMRG_00509	fig|393133.14.peg.1054	1057650	1057162	489	0	Molybdenum cofactor biosynthesis protein MoaB
LMRG_00510	fig|393133.14.peg.1055	1058660	1057662	999	0	Molybdopterin biosynthesis protein MoeB
LMRG_00511	fig|393133.14.peg.1056	1058791	1059345	555	0	FIG00774848: hypothetical protein
LMRG_00512	fig|393133.14.peg.1057	1059945	1059394	552	0	Peptide deformylase (EC 3.5.1.88)
LMRG_00514	fig|393133.14.peg.1058	1060779	1061894	1116	0	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
LMRG_00515	fig|393133.14.peg.1059	1061897	1062874	978	0	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
LMRG_02356	fig|393133.14.peg.106	111897	110116	1782	0	Lipid A export ATP-binding/permease protein MsbA
LMRG_00516	fig|393133.14.peg.1060	1062985	1064619	1635	0	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
LMRG_00517	fig|393133.14.peg.1061	1064624	1066027	1404	0	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
LMRG_00519	fig|393133.14.peg.1063	1066655	1067608	954	0	lactate/malate dehydrogenase family protein
LMRG_00520	fig|393133.14.peg.1064	1067608	1067880	273	0	FIG006438: hypothetical protein
LMRG_00521	fig|393133.14.peg.1065	1067902	1068432	531	0	FIG00774782: hypothetical protein
LMRG_00522	fig|393133.14.peg.1066	1068574	1069236	663	0	Two-component response regulator
LMRG_00523	fig|393133.14.peg.1067	1069316	1070656	1341	44	HAMP domain protein
LMRG_00524	fig|393133.14.peg.1068	1070743	1072164	1422	0	"ABC transporters (permease protein), putattive"
LMRG_00525	fig|393133.14.peg.1069	1072177	1072845	669	0	"ABC transporter, ATP binding protein"
LMRG_02357	fig|393133.14.peg.107	113632	111890	1743	0	Lipid A export ATP-binding/permease protein MsbA
LMRG_00526	fig|393133.14.peg.1070	1073856	1072912	945	0	Magnesium and cobalt transport protein CorA
LMRG_00527	fig|393133.14.peg.1071	1074671	1074057	615	0	FIG00774309: hypothetical protein
LMRG_00528	fig|393133.14.peg.1072	1074803	1075576	774	0	Inositol-1-monophosphatase (EC 3.1.3.25)
LMRG_00529	fig|393133.14.peg.1073	1075768	1077606	1839	0	GTP-binding protein TypA/BipA
LMRG_00530	fig|393133.14.peg.1074	1077778	1078638	861	0	FIG00775152: hypothetical protein
LMRG_00531	fig|393133.14.peg.1075	1078919	1078677	243	0	FIG00774805: hypothetical protein
LMRG_02974	fig|393133.14.peg.1076	1079125	1079406	282	9	Conserved hypothetical protein YlaN
LMRG_00533	fig|393133.14.peg.1077	1079589	1080791	1203	3	Cell division protein FtsW
LMRG_00534	fig|393133.14.peg.1078	1081069	1084509	3441	0	Pyruvate carboxyl transferase (EC 6.4.1.1)
LMRG_00535	fig|393133.14.peg.1079	1084661	1085560	900	0	"Vitamin B12 ABC transporter, B12-binding component BtuF"
LMRG_02358	fig|393133.14.peg.108	113775	114608	834	0	"Transcriptional regulator, AraC family"
LMRG_00536	fig|393133.14.peg.1080	1085851	1086654	804	0	Teichoic acid translocation permease protein TagG
