Description	from in 10403S	to	 10403S Average GEIa	_sigB Average GEIb	Fold change range (10403S/_sigB)c	
FMN_riboswitch_(RFN_element)	1865665	1865923	259	72.68	204.4	0.13-1.06
glucosamine-6-phosphate_activated_ribozyme	637782	638097	316	51.78	77.18	0.18-3.48
glycine_riboswitch	1230912	1231051	140	49.98	29.38	0.61-15.67
L10_leader	159701	159845	145	81.31	99.33	0.58-1.22
L13_leader	2524976	2525028	53	26.09	44.14	0.38-0.89
L19_leader	1707678	1707737	60	87.43	70.5	0.62-2.11
L20_leader-lhrB	1705228	1705366	139	59.59	70.55	0.37-1.92
L21_leader	1435176	1435232	57	252.99	217.91	0.63-2.04
lysine_riboswitch	707866	708136	271	57.98	59.25	0.56-2.13
PreQ1-I_riboswitch	788075	788122	48	5.44	7.35	0.2-2.5
purine_riboswitch_1	490215	490347	133	650.65	629.28	0.34-2.85
purine_riboswitch_2	1804062	1804230	169	18.56	33.91	0.33-0.93
PyrR_binding_site_element	1762762	1762865	104	1.67	1.54	0.5-3
PyrR_binding_site	1763445	1763553	109	5.12	3.11	0.8-3.5
SAM_riboswitch_(S-box_leader)_1	204783	204972	190	18.14	61.65	0.14-1.17
SAM_riboswitch_(S-box_leader)_2	516988	517156	169	1.89	3.79	0.25-1
SAM_riboswitch_(S-box_leader)_3	762904	763066	163	103.57	189.42	0.33-1.12
SAM_riboswitch_(S-box_leader)_4	1574285	1574471	187	41.49	86.25	0.3-0.72
SAM_riboswitch_(S-box_leader)_5	1597226	1597439	214	183.17	264.67	0.26-3.06
SAM_riboswitch_(S-box_leader)_6	2327827	2328052	226	37.34	34.81	0.61-2.08
T-box_leader_1	1352163	1352373	211	304.66	296.84	0.95-1.1
T-box_leader_2	1412037	1412289	253	96.34	162.32	0.28-2.59
T-box_leader_3	1447016	1447277	262	63.12	69.73	0.27-3.26
T-box_leader_4	1455337	1455592	256	153.6	175.46	0.32-3.57
T-box_leader_5	1500724	1500985	262	118.16	150.49	0.53-1.24
T-box_leader_6	1534507	1534760	254	14.44	35.41	0.23-1.38
T-box_leader_7	1534782	1535053	272	1086.72	1128.9	0.21-4.09
T-box_leader_8	1569120	1569357	238	37.22	37.52	0.53-1.47
T-box_leader_9	1660200	1660479	280	223.69	318.23	0.23-2.69
T-box_leader_10	2134253	2134523	271	77.11	84.01	0.8-1.05
T-box_leader_11	2505646	2505928	283	7.38	5.73	0.61-2.21
T-box_leader_12	2662484	2662739	256	93.57	70.33	1.24-1.43
TPP_riboswitch_(THI_element)_1	240868	241057	190	14.06	10.34	0.23-3.43
TPP_riboswitch_(THI_element)_2	1319193	1319376	184	20.31	58.86	0.26-0.44
ykoK_leader_(M-box)	2605679	2605991	313	59.33	70.78	0.65-1.13
yybP-ykoY_leader	902340	902520	181	11.41	16.88	0.65-0.7
