ID	from	To	Strand	Feature coordiantes	Feature coordiantes to	comment
SAM-1	137100	137323	+	137133	137235	
PrfA	204467	204353	-	204468	204339	
rli51	205686	205819	+	207589	207709	
T-box-1	258552	258856	+	258552	258802	We don't see a TSS, not in Rfam
L10leader	266232	266431	+	266232	266375	
SAM-2	309408	309155	-	309385	309266	
TPP-1	340078	340278	+	340086	340191	
rli52	552417	552282	-	552421	552327	
Purine-1	611100	610924	-	611119	611018	
SAM-3	637940	637717	-	637926	637826	
glmS	756425	756738	+	756458	756652	
Lysine	826710	826396	-	826683	826486	
SAM-4	882759	882962	+	882770	882867	
PreQ1	907926	907979	+	907926	907973	We don't see a TSS
rli53	955824	956031	+	955829	956001	
yybP-ykoY	1021442	1021665	+	1021463	1021588	
rli54	1078574	1078977	+	1078584	1079111	
rli55-AdoCobalamin	1198108	1198637	+	1198103	1198252	
rli56	1199848	1199859	+	1199859	1199958	We don't see a TSS
rli57-Cobalamin	1216481	1216820	+	1216481	1216658	We don't see a TSS
T-box-2	1240764	1241048	+	1240774	1241002	
Glycine	1372810	1373015	+	1372840	1372931	
TPP-2	1461291	1461094	-	1461273	1461163	
T-box-3	1494284	1494036	-	1494276	1494104	
T-box-4	1535406	1535132	-	1535161	1535409	not in Rfam
T-box-5	1554209	1553909	-	1554200	1553972	
L21leader	1577162	1577055	-	1577146	1577068	
T-box-6	1589138	1588852	-	1589127	1588901	
T-box-7	1597455	1597149	-	1597448	1597218	
T-box-8	1642826	1642543	-	1642811	1642603	
T-box-9-T-Box-10	1676916	1676325	-	1676617	1676392	
rli59	1702543	1702292	-	1702553	1702373	
T-box-11	1711555	1711268	-	1711543	1711342	
SAM-5	1716665	1716435	-	1716651	1716543	
SAM-6	1739634	1739384	-	1739597	1739491	
T-box-12	1810065	1809759	-	1810057	1809817	
lhrB-L20leader	1860008	1859787	-	1860008	1859870	We don't see a TSS
L19leader	1862333	1862251	-	1862308	1862270	not in Rfam
PyrR-1	1917518	1917452	-	1917573	1917471	
PyrR-2	1918271	1918132	-	1918262	1918154	
Purine-2	1958922	1958740	-	1958922	1958822	We don't see a TSS
pan	1977238	1977140	-	1977238	1977152	We don't see a TSS
FMN	2020623	2020297	-	2020609	2020487	
T-box-13	2100218	2099941	-	2099978	2100218	not in Rfam
rli61	2275362	2275221	-	2275363	2275258	
T-box-14	2287220	2287518	+	2287226	2287453	
SAM-7	2491217	2490967	-	2491176	2491058	
L13leader	2685233	2685102	-	2685233	2685181	We don't see a TSS
L17DE	2691650	2691465	-	2691650	2691575	We don't see a TSS
ykoK	2766127	2765652	-	2766104	2765940	
T-box-15	2823486	2823195	-	2823477	2823255	
