From	To	St	Locus	Product	Major Pillar	Stop	# major	Repeat?	Sum (excluding BL)	Bl	Hypo	Stat	WT30	WT	prfA	sigB		Known?	Description	Notes		
48074	49306	+	lmo0043		48637	48074																
172072	172458	-	rli23-lmo0172		172171	172458													rli23			
245286	248216	+	lmor05	23S ribosomal RNA	245416	245286	3	Y	1479	14	23	1	12	871	495	77			Expressed in repetitive region			
356890	357705	+	rli25-lmo0331		357516	356890													rli25			
387697	388467	+	lmo0360		388640	388392													Overlaps with rli26.  May not extend very far into the ORF			
411992	412363	+	lmo0387	hypothetical protein	412094	411992	35		58	0	7	7	6	3	18	17			"Cell membrane protein, amino acid transporter similar to yhdG. Was shown to be repressed by codY (which is a part the clpQ operon), that has a highly expressed asRNA."			
441622	442872	-	lmo0421	hypothetical protein	441667	442872	5		23	0	4	2	2	4	5	6			"Operon of sigma factors and regulators. (lmo421, lstR, lmo0423 - lineage-specific thermal regulator operon)"			
444031	444888	-	lmo0424	hypothetical protein	444758	444888	10		29	0	11	3	7	2	0	6			xylosus glucose uptake protein			
470122	472158	-	lmo0441	hypothetical protein	471939	472158	10		15	0	0	5	8	2	0	0						
505351	506223	+	lmo0469		506103	506019																
506368	506997	+	lmo0470	hypothetical protein	506727	506368	4		20	0	0	6	0	0	8	6			"Highly fragmented asRNA, S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I"			
540421	541467	+	lmo0506	hypothetical protein	540769	540421	36		40	54	20	6	4	2	7	1	rli30	Y	"Known asRNA, rli30"			
607372	608199	+	lmo0570	histidinol-phosphatase	607849	607372	5		15	0	11	0	0	2	0	2						
608184	608480	-	lmo0571	hypothetical protein	608233	608480	6		12	0	11	0	0	0	0	1						
643891	645231	-	lmo0605	hypothetical protein	643800	645231	132		337	36	19	139	29	74	76	0			"sigB dependent, COG0534, Na+-driven multidrug efflux pump [Defense mechanisms]; The Multi Antimicrobial Extrusion (MATE) Family 
"			
689541	689825	-	lmo0647	hypothetical protein	689529	689825	12		31	0	0	0	13	14	4	0				
689923	690873	+	lmo0648		690350	689932														
704452	705387	+	lmo0667	hypothetical protein	705124	704452	13		14	0	0	4	2	0	4	4			"ABC-type multidrug transport system, ATPase, ABC transporter signature motif"	
707612	708220	+	lmo0671	hypothetical protein	707869	707612	21		31	0	0	2	2	13	14	0			"PSI-blast: related to lipoprotein (YP_013880.1) and oligopeptide ABC transporter AppA. Expression is higher when asRNA doesn’t exists. Putative secreted
"	
712208	712480	+	lmo0677	flagellar biosynthesis protein FliQ	712447	712208	27		35	0	3	4	3	18	7	0		Y	"asRNA to flagella, shown by Toledo-Arana"	
823593	824183	-	lmo0796		823682	823884														
826752	827513	-	lmo0799	hypothetical protein	827498	827513	9		10	0	7	2	0	0	0	1			"Sulphate Transporter and Anti-Sigma factor antagonist domain of the 'stressosome' complex proteins RsbS and RsbR, regulators of the bacterial stress activated alternative sigma factor sigma-B by phosphorylation; cd07041"	
838751	839452	+	lmo0811	hypothetical protein	838843	838751	19		28	0	2	2	3	5	7	9			"Antisense to carbonic anhydrase. may be related to maintaining pH, or sensing of CO2, was found upregulated in exposure to liquid smoke, (Guilbaud, 2008). Was down-regulated in Hypoxia (Toledo-Arama, 2009). Liquid smoke causes growth inhibition and upregulation of the protein + the asRNA is inhibited in stationary phase"	
854745	855581	+	rli35-lmo0828		855393	854745													rli35	
926229	926507	+	lmo0887	hypothetical protein	926280	926229	9		11	0	0	0	0	2	7	2			Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain	
979059	979529	+	lmo0943		979137	979023														
980177	981307	+	lmo0945		981315	981201														
981317	981544	+	lmo0946		981635	981423														
999722	1000516	+	lmo0968	inorganic polyphosphate/ATP-NAD kinase	1000409	999722	7		10	0	0	0	0	3	5	2				
1008130	1008879	-	lmo0977		1008851	1008902														
1051695	1052354	+	lmo1023	hypothetical protein	1051778	1051695	18		26	0	0	0	0	7	18	1			Overlapping lmo1022-lmo1023. Overlap domain: Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain.HTH is a motif recognized by the prfA protein (http://www.ncbi.nlm.nih.gov/pubmed/15813735). lmo1022 is Anion permease ArsB/NhaD. two-component response regulator (transcription regulators)	
1110769	1113627	+	lmo1079	hypothetical protein	1112017	1110769	18		24	0	0	3	0	4	11	6			"6-pyruvoyl-tetrahydropterin synthase, membrane protein, highly similar: glycosiltransferase (amino acid transporter), multi drug resistance"	
