Elements	begin	end	length	strand	type	details	synonim
LMRG_RS00005	318.0	1673.0	1356.0	+	Gene		
LMRG_RS00010	1867.0	3012.0	1146.0	+	Gene		
LMRG_RS00015	3122.0	4465.0	1344.0	+	Gene		
LMRG_RS00020	4645.0	4866.0	222.0	+	Gene		
LMRG_RS00025	4870.0	5982.0	1113.0	+	Gene		
LMRG_RS00030	6031.0	7971.0	1941.0	+	Gene		
LMRG_RS00035	8066.0	10594.0	2529.0	+	Gene		
LMRG_RS00040	10729.0	12243.0	1515.0	+	Gene		
LMRG_RS00045	12259.0	12777.0	519.0	+	Gene		
LMRG_RS00050	12919.0	13887.0	969.0	+	Gene		
LMRG_RS00055	13844.0	14815.0	972.0	+	Gene		
LMRG_RS00060	14796.0	15875.0	1080.0	+	Gene		
LMRG_RS00065	16220.0	17326.0	1107.0	+	Gene		
LMRG_RS00070	17345.0	19324.0	1980.0	+	Gene		
LMRG_RS00075	19312.0	19923.0	612.0	+	Gene		
LMRG_RS00080	19925.0	20257.0	333.0	+	Gene		
LMRG_RS00085	20309.0	21427.0	1119.0	-	Gene		
LMRG_RS00090	21653.0	23086.0	1434.0	+	Gene		
LMRG_RS00095	23133.0	23954.0	822.0	-	Gene		
LMRG_RS00100	24195.0	24935.0	741.0	+	Gene		
LMRG_RS00105	24951.0	25352.0	402.0	+	Gene		
LMRG_RS00110	25352.0	25840.0	489.0	+	Gene		
LMRG_RS00115	25863.0	26666.0	804.0	+	Gene		
LMRG_RS00120	26641.0	27468.0	828.0	+	Gene		
LMRG_RS00125	27496.0	28200.0	705.0	+	Gene		
LMRG_RS00130	28255.0	28896.0	642.0	+	Gene		
LMRG_RS00135	29101.0	31005.0	1905.0	+	Gene		
LMRG_RS00140	31090.0	31965.0	876.0	+	Gene		
LMRG_RS00145	32199.0	32537.0	339.0	+	Gene		
LMRG_RS00150	32573.0	33382.0	810.0	-	Gene		
LMRG_RS00155	33399.0	34454.0	1056.0	-	Gene		
LMRG_RS00160	34656.0	35621.0	966.0	+	Gene		
LMRG_RS00165	35618.0	38020.0	2403.0	+	Gene		
LMRG_RS00170	38033.0	39385.0	1353.0	+	Gene		
LMRG_RS00175	39387.0	40472.0	1086.0	+	Gene		
LMRG_RS00180	40707.0	41732.0	1026.0	+	Gene		
LMRG_RS00185	41805.0	43190.0	1386.0	+	Gene		
LMRG_RS00190	43177.0	44271.0	1095.0	+	Gene		
LMRG_RS00195	44284.0	45225.0	942.0	+	Gene		
LMRG_RS00200	45327.0	46436.0	1110.0	+	Gene		
LMRG_RS00205	46453.0	47232.0	780.0	+	Gene		
LMRG_RS00210	47337.0	47996.0	660.0	+	Gene		
LMRG_RS00215	48076.0	49308.0	1233.0	+	Gene		
LMRG_RS00220	49587.0	49880.0	294.0	+	Gene		
LMRG_RS00225	49936.0	50472.0	537.0	+	Gene		
LMRG_RS00230	50516.0	50755.0	240.0	+	Gene		
LMRG_RS00235	50909.0	51520.0	612.0	+	Gene		
LMRG_RS00240	51776.0	52390.0	615.0	+	Gene		
LMRG_RS00245	52374.0	52535.0	162.0	+	Gene		
LMRG_RS00250	52631.0	53926.0	1296.0	+	Gene		
LMRG_RS00255	53945.0	54672.0	728.0	+	Gene		
LMRG_RS00260	54839.0	56812.0	1974.0	+	Gene		
LMRG_RS00265	56815.0	57261.0	447.0	+	Gene		
LMRG_RS00270	57286.0	58638.0	1353.0	+	Gene		
LMRG_RS00275	58897.0	60189.0	1293.0	+	Gene		
LMRG_RS00285	60506.0	60799.0	294.0	+	Gene		
LMRG_RS00290	60948.0	64154.0	3207.0	+	Gene		
LMRG_RS00295	64144.0	64659.0	516.0	+	Gene		
LMRG_RS00300	64677.0	64928.0	252.0	+	Gene		
LMRG_RS00305	64950.0	66139.0	1190.0	+	Gene		
LMRG_RS00310	66153.0	70649.0	4497.0	+	Gene		
LMRG_RS00315	70655.0	70972.0	318.0	+	Gene		
LMRG_RS00320	70962.0	71396.0	435.0	+	Gene		
LMRG_RS00325	71408.0	71716.0	309.0	+	Gene		
LMRG_RS00330	71735.0	72373.0	639.0	+	Gene		
LMRG_RS00335	72385.0	72699.0	315.0	+	Gene		
LMRG_RS00340	72696.0	73659.0	964.0	+	Gene		
LMRG_RS00345	73763.0	74098.0	336.0	+	Gene		
LMRG_RS00350	74132.0	74572.0	441.0	+	Gene		
LMRG_RS00355	75136.0	75732.0	597.0	+	Gene		
LMRG_RS14555	75800.0	76091.0	292.0	+	Gene		
LMRG_RS14560	76070.0	76522.0	453.0	+	Gene		
LMRG_RS00365	76760.0	77533.0	774.0	+	Gene		
LMRG_RS00370	77530.0	78582.0	1053.0	+	Gene		
LMRG_RS00375	78605.0	79243.0	639.0	-	Gene		
LMRG_RS00380	79375.0	80331.0	957.0	+	Gene		
LMRG_RS00385	80419.0	80491.0	73.0	+	NcRNA	tRNA	
LMRG_RS14565	80673.0	80841.0	169.0	+	Gene		
LMRG_RS00390	81054.0	81842.0	789.0	+	Gene		
LMRG_RS00395	81844.0	82467.0	624.0	+	Gene		
LMRG_RS00400	82704.0	83030.0	327.0	+	Gene		
LMRG_RS00405	83125.0	83493.0	369.0	-	Gene		
LMRG_RS00410	83549.0	84532.0	984.0	-	Gene		
LMRG_RS00415	84923.0	85612.0	690.0	+	Gene		
LMRG_RS00420	85690.0	91569.0	5880.0	+	Gene		
LMRG_RS00425	91566.0	93872.0	2307.0	+	Gene		
LMRG_RS00430	93929.0	94171.0	243.0	+	Gene		
LMRG_RS00435	94183.0	95214.0	1032.0	+	Gene		
LMRG_RS00440	95211.0	96707.0	1497.0	+	Gene		
LMRG_RS00445	96704.0	97573.0	870.0	+	Gene		
LMRG_RS00450	97574.0	98944.0	1371.0	+	Gene		
LMRG_RS00455	98957.0	99280.0	324.0	+	Gene		
LMRG_RS00460	99270.0	99830.0	561.0	+	Gene		
LMRG_RS00465	100006.0	100638.0	633.0	+	Gene		
LMRG_RS00470	100936.0	101901.0	966.0	+	Gene		
LMRG_RS00475	101925.0	102731.0	807.0	+	Gene		
LMRG_RS00480	102753.0	103664.0	912.0	+	Gene		
LMRG_RS00485	103791.0	104180.0	390.0	+	Gene		
LMRG_RS00490	104302.0	104652.0	351.0	+	Gene		
LMRG_RS00495	104718.0	105011.0	294.0	-	Gene		
LMRG_RS00500	105123.0	105413.0	291.0	+	Gene		
LMRG_RS00505	105427.0	106059.0	633.0	+	Gene		
LMRG_RS00510	106152.0	106523.0	372.0	+	Gene		
LMRG_RS00515	106816.0	109086.0	2271.0	+	Gene		
LMRG_RS00520	109189.0	110091.0	903.0	+	Gene		
LMRG_RS00525	110116.0	111897.0	1782.0	-	Gene		
LMRG_RS00530	111890.0	113632.0	1743.0	-	Gene		
LMRG_RS00535	113775.0	114608.0	834.0	+	Gene		
LMRG_RS00540	114643.0	115758.0	1116.0	+	Gene		
LMRG_RS00545	115865.0	116572.0	708.0	+	Gene		
LMRG_RS00550	116542.0	117237.0	696.0	-	Gene		
LMRG_RS00555	117456.0	117908.0	453.0	-	Gene		
LMRG_RS00560	117914.0	118249.0	336.0	-	Gene		
LMRG_RS00565	118466.0	118894.0	429.0	+	Gene		
LMRG_RS00570	118906.0	119322.0	417.0	+	Gene		
LMRG_RS00575	119600.0	119989.0	390.0	+	Gene		
LMRG_RS00580	120002.0	120514.0	513.0	+	Gene		
LMRG_RS00585	120562.0	120864.0	303.0	+	Gene		
LMRG_RS00590	120906.0	121310.0	405.0	+	Gene		
LMRG_RS00595	121297.0	123165.0	1869.0	+	Gene		
LMRG_RS00600	123162.0	123980.0	819.0	+	Gene		
LMRG_RS00605	123990.0	125126.0	1137.0	+	Gene		
LMRG_RS00610	125116.0	125415.0	300.0	+	Gene		
LMRG_RS00615	125430.0	126005.0	576.0	+	Gene		
LMRG_RS00620	126020.0	126499.0	480.0	+	Gene		
LMRG_RS00625	126496.0	127032.0	537.0	+	Gene		
LMRG_RS00630	127051.0	127473.0	423.0	+	Gene		
LMRG_RS00635	127454.0	128182.0	729.0	+	Gene		
LMRG_RS00640	128221.0	130575.0	2355.0	-	Gene		
LMRG_RS00645	130763.0	131512.0	750.0	+	Gene		
LMRG_RS00650	131582.0	133090.0	1509.0	-	Gene		
LMRG_RS00655	133269.0	133502.0	234.0	+	Gene		
LMRG_RS00660	133514.0	133792.0	279.0	+	Gene		
LMRG_RS00665	134122.0	135696.0	1575.0	+	Gene		
LMRG_RS00670	135798.0	136748.0	951.0	+	Gene		
LMRG_RS00675	136759.0	137652.0	894.0	+	Gene		
LMRG_RS00680	137853.0	138137.0	285.0	+	Gene		
LMRG_RS00685	138138.0	138506.0	369.0	+	Gene		
LMRG_RS00690	138419.0	139810.0	1392.0	+	Gene		
LMRG_RS00695	139822.0	140259.0	438.0	+	Gene		
