Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	FC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	STAT_prfA_Star vs EGDe_280212_FDRBH.ge	STAT_prfA_Star vs EGDe_280212_FDRBY.ge	STAT_prfA_Star vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0001	0.5677309290427086	1.4821905469254046	0.4805531639910985	1.0	1.0	1.0	+	318	1673	1356	dnaA		chromosome replication initiator DnaA				GTG	 
lmo0002	-0.17233205281169006	-1.1268785626785116	0.8301516458573799	1.0	1.0	1.0	+	1867	3012	1146	dnaN		DNA polymerase III subunit beta				ATG	 
lmo0003	-0.24753367361549028	-1.1871758698463477	0.7857094916961176	1.0	1.0	1.0	+	3121	4464	1344			hypothetical protein				ATG	 
lmo0004	0.6126162412903788	1.529029499998269	0.44630878945541275	1.0	1.0	1.0	+	4644	4865	222			hypothetical protein				TTG	 
lmo0005	0.32184911749859957	1.249931573180024	0.6947298643450202	1.0	1.0	1.0	+	4869	5981	1113	recF		recombination protein F				ATG	 
lmo0006	-0.17326566155619005	-1.1276080336573358	0.8291339439935844	1.0	1.0	1.0	+	6030	7970	1941	gyrB		DNA gyrase subunit B				ATG	 
lmo0007	-0.09510072454765961	-1.0681399797054798	0.9061659254834576	1.0	1.0	1.0	+	8065	10593	2529	gyrA		DNA gyrase subunit A				ATG	 
lmo0008	0.11599068189259043	1.0837189672765664	0.8872160393364983	1.0	1.0	1.0	+	10728	12242	1515			cardiolipin synthase				ATG	 
lmo0009	0.2282517081839206	1.1714145410440815	0.781620990836541	1.0	1.0	1.0	+	12258	12776	519			spermidine acetyltransferase				ATG	 
lmo0010	0.6614900577555787	1.5817154224638286	0.425502605939839	1.0	1.0	1.0	+	12918	13886	969			mevalonate kinase				TTG	 
lmo0011	0.11565154873341044	1.0834642482728283	0.8840790638195519	1.0	1.0	1.0	+	13843	14814	972			mevalonate diphosphate decarboxylase				ATG	 
lmo0012	0.026188559286589808	1.0183182845929173	0.9739218291940996	1.0	1.0	1.0	+	14795	15874	1080			mevalonate kinase				TTG	 
lmo0013	0.4092181572608702	1.3279659516918543	0.6089595778701435	1.0	1.0	1.0	+	16219	17325	1107	qoxA		AA3-600 quinol oxidase subunit II				GTG	 
lmo0014	0.2885248541660097	1.221390775264452	0.717704359542553	1.0	1.0	1.0	+	17344	19323	1980	qoxB		AA3-600 quinol oxidase subunit I				ATG	 
lmo0015	0.2817711969683092	1.215686467099834	0.7240410790424625	1.0	1.0	1.0	+	19311	19922	612	qoxC		AA3-600 quinol oxidase subunit III				ATG	 
lmo0016	0.24027627721532951	1.1812188440933207	0.763363536141898	1.0	1.0	1.0	+	19924	20256	333	qoxD		quinol oxidase aa3-600 subunit IV				ATG	 
lmo0017	0.4382775686023397	1.3549856460836829	0.6232155133066668	1.0	1.0	1.0	-	20308	21426	1119			capsule biosynthesis protein CapA				ATG	 
lmo0018	-0.6186563433544308	-1.5354444761460306	0.47693937471928194	1.0	1.0	1.0	+	21652	23085	1434			beta-glucosidase				ATG	 
lmo0019	-2.2079742000771514	-4.620260512692481	0.03116588509304874	1.0	1.0	1.0	-	23132	23953	822			hypothetical protein				ATG	 
lmo0020	-0.10687795093685981	-1.0768952691921483	0.9175400164908466	1.0	1.0	1.0	+	24194	24934	741			GntR family transcriptional regulator				ATG	 
lmo0021	-0.9575894649039007	-1.9420622767883122	0.3469762471962351	1.0	1.0	1.0	+	24950	25351	402			PTS fructose transporter subunit IIA				TTG	 
lmo0022	0.19398873129405025	1.1439220381405717	0.8355796156159181	1.0	1.0	1.0	+	25351	25839	489			PTS fructose transporter subunit IIB				ATG	 
lmo0023	-0.08794267326956007	-1.0628534401222804	0.8855112431567705	1.0	1.0	1.0	+	25862	26665	804			PTS fructose transporter subunit IIC				ATG	 
lmo0024	0.17938793968799072	1.1324033636469792	0.7242617790203001	1.0	1.0	1.0	+	26640	27467	828			PTS mannose transporter subunit IID				ATG	 
lmo0025	-1.1826780799400396	-2.2699776295489205	0.23370586518230485	1.0	1.0	1.0	+	27495	28199	705			phosphoheptose isomerase				ATG	 
lmo0026	-0.23835486887693058	-1.1796467217857463	0.80040916618442	1.0	1.0	1.0	+	28254	28895	642			copper homeostasis protein CutC				ATG	 
lmo0027	-0.8567935866343603	-1.8110088376946347	0.35151610795394417	1.0	1.0	1.0	+	29100	31004	1905			PTS beta-glucoside transporter subunit IIABC				ATG	 
lmo0028	0.68682525670184	1.609737287506878	0.45662231202628334	1.0	1.0	1.0	+	31088	31963	876			microcin C7 self-immunity protein MccF				ATG	 
lmo0029	-0.14411993575549076	-1.1050563477752946	0.8558489247056427	1.0	1.0	1.0	+	32197	32535	339			hypothetical protein				ATG	 
lmo0030	0.2570154652437502	1.1950040148608327	0.7683018094532346	1.0	1.0	1.0	-	32571	33380	810			hypothetical protein				TTG	 
lmo0031	-0.09172260842429925	-1.0656418220178014	0.9168233236159326	1.0	1.0	1.0	-	33397	34452	1056			LacI family transcription regulator				ATG	 
lmo0032	0.5531999808719803	1.4673367266792183	0.5567100092234023	1.0	1.0	1.0	+	34654	35619	966			xylose repressor				TTG	 
lmo0033	0.013201945784009794	1.0091928889125419	0.9880797764362432	1.0	1.0	1.0	+	35616	38018	2403			endoglucanase				ATG	 
lmo0034	0.5455589886615	1.4595857678596509	0.48723435960201167	1.0	1.0	1.0	+	38031	39383	1353			PTS cellbiose transporter subunit IIC				ATG	 
lmo0035	0.08021232390970034	1.05717361517163	0.9304967938301583	1.0	1.0	1.0	+	39385	40470	1086			glucosamine--fructose-6-phosphate aminotransferase				ATG	 
lmo0036	-0.39696586530784916	-1.316735767240995	0.66634631045899	1.0	1.0	1.0	+	40705	41730	1026			putrescine carbamoyltransferase				ATG	 
lmo0037	-0.9107600475463995	-1.8800356870280626	0.347430511757986	1.0	1.0	1.0	+	41803	43188	1386			amino acid transporter				TTG	 
lmo0038	-0.5623445264781894	-1.4766670028191509	0.582293401461442	1.0	1.0	1.0	+	43175	44266	1092			agmatine deiminase				ATG	 
lmo0039	-0.6556608791216894	-1.5753374286855386	0.5256530288319621	1.0	1.0	1.0	+	44282	45223	942			carbamate kinase				ATG	 
lmo0040	-0.0490801604319806	-1.0346050656598011	0.9609831243257507	1.0	1.0	1.0	+	45325	46434	1110			agmatine deiminase				ATG	 
lmo0041	0.38137569604714106	1.3025833545964807	0.7043160378417603	1.0	1.0	1.0	+	46451	47230	780			hypothetical protein				ATG	 
lmo0042	1.8061943411498502	3.497185545356487	0.03247889745293664	1.0	1.0	1.0	+	47335	47994	660			DedA protein				GTG	 
lmo0043	-2.26914890941422	-4.820386776022203	0.015281132714609513	0.7757903626363366	1.0	1.0	+	48074	49306	1233			arginine deiminase				ATG	 
lmo0044	0.2390246681044701	1.1801945228696888	0.6467866133175248	1.0	1.0	1.0	+	49585	49878	294	rpsF		30S ribosomal protein S6				ATG	 
lmo0045	0.23552107884126983	1.1773318942651498	0.6520484183525654	1.0	1.0	1.0	+	49934	50470	537	ssb		single-strand binding protein				ATG	 
lmo0046	0.684837147181641	1.6075205127664958	0.4018849295785185	1.0	1.0	1.0	+	50514	50753	240	rpsR		30S ribosomal protein S18				ATG	 
lmo0047	0.7105845048025108	1.6364669939187486	0.4879721010665974	1.0	1.0	1.0	+	50907	51518	612			hypothetical protein				ATG	 
lmo0048	0.40588198647317064	1.324898634919146	0.5564923429792135	1.0	1.0	1.0	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	0.09276455166251019	1.0664117278607819	0.8994957606408365	1.0	1.0	1.0	+	52373	52534	162			hypothetical protein				ATG	 
lmo0050	0.32404162486725063	1.251832576205958	0.6855722089610097	1.0	1.0	1.0	+	52630	53925	1296			histidine kinase				ATG	 
lmo0051	0.06146808298126949	1.0435271113981437	0.9384762371657962	1.0	1.0	1.0	+	53944	54672	729			response regulator				ATG	 
lmo0052	-0.04689529387520963	-1.0330394103149787	0.9529715443543141	1.0	1.0	1.0	+	54839	56812	1974			hypothetical protein				ATG	 
lmo0053	-0.19178237137253973	-1.1421739384336362	0.8115040269010038	1.0	1.0	1.0	+	56815	57261	447	rplI		50S ribosomal protein L9				ATG	 
lmo0054	-0.0397345607347912	-1.027924682958256	0.9605744907828417	1.0	1.0	1.0	+	57286	58638	1353	dnaC		replicative DNA helicase				GTG	 
lmo0055	0.404384240475661	1.323523893974706	0.6153248587854971	1.0	1.0	1.0	+	58897	60189	1293	purA		adenylosuccinate synthetase				ATG	 
lmo0056	-0.36197428101936957	-1.2851834262502067	0.6828580720957274	1.0	1.0	1.0	+	60506	60799	294			heat shock protein				ATG	 
lmo0057	0.23827592800302	1.1795821760620742	0.7127226749929445	1.0	1.0	1.0	+	60948	64154	3207			hypothetical protein				ATG	 
lmo0058	0.5121116688240495	1.4261361002056219	0.33686647534204184	1.0	1.0	1.0	+	64144	64659	516			hypothetical protein				ATG	 
lmo0059	0.3814953723338803	1.3026914126409954	2.126527010126722E-4	0.027480528589955772	0.23440909125513973	0.604571628979027	+	64677	64928	252			hypothetical protein				TTG	 
lmo0060	0.34269282478133967	1.2681213651751826	0.21547062385736893	1.0	1.0	1.0	+	64950	66146	1197			hypothetical protein				ATG	 
lmo0061	0.32635301154236007	1.253839783655141	0.6813405326016007	1.0	1.0	1.0	+	66160	70656	4497			hypothetical protein				ATG	 
lmo0062	0.5141505972071503	1.4281530511310185	0.46911594556509884	1.0	1.0	1.0	+	70676	71071	396			hypothetical protein				ATG	 
lmo0063	0.5313603764748196	1.4452913778604033	0.1386198574664208	1.0	1.0	1.0	+	71064	71363	300			hypothetical protein				ATG	 
lmo0064	0.15787475252671967	1.1156424636949258	0.6657347735646235	1.0	1.0	1.0	+	71360	72061	702			hypothetical protein				ATG	 
lmo0065	0.4702372573924203	1.3853372740400267	0.241399316473645	1.0	1.0	1.0	+	72062	72394	333			hypothetical protein				ATG	 
lmo0066	0.36290045775793	1.2860087490779273	0.5860366699223318	1.0	1.0	1.0	+	72408	74222	1815			toxin				ATG	 
lmo0067	-0.0629512643023391	-1.0446004746076298	0.9512601511378023	1.0	1.0	1.0	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0068	-0.539015937996929	-1.4529811011136267	0.45633094367646365	1.0	1.0	1.0	+	75342	75665	324			hypothetical protein				ATG	 
lmo0069	0.23845051107171056	1.1797249280165887	0.7980123698659232	1.0	1.0	1.0	+	75832	76125	294			hypothetical protein				ATG	 
lmo0070	0.08813885099731067	1.0629979768012199	0.9265942916177536	1.0	1.0	1.0	+	76262	76984	723			hypothetical protein				GTG	 
lmo0071	0.7709212532642207	1.7063590553529842	0.44700712118919084	1.0	1.0	1.0	+	77149	77406	258			hypothetical protein				TTG	 
lmo0072	0.5726540929684099	1.4872571282446507	0.562064461938627	1.0	1.0	1.0	+	77863	78066	204			hypothetical protein				GTG	 
lmo0073	0.11105905366174085	1.0800207672876403	0.9135185715720098	1.0	1.0	1.0	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	0.2645967850237003	1.2013002544103937	0.7928373216831768	1.0	1.0	1.0	+	78362	78811	450			hypothetical protein				ATG	 
lmo0075	-0.2201499326875611	-1.1648546381852842	0.8037022580355578	1.0	1.0	1.0	+	79047	79820	774			carboxyphosphonoenolpyruvate phosphonomutase				ATG	 
lmo0076	-0.09450062469469067	-1.067695771239622	0.912207804515726	1.0	1.0	1.0	+	79817	80869	1053			O6-methylguanine-DNA methyltransferase				GTG	 
lmo0077	-0.037691809893139805	-1.026470246590435	0.9648944015677724	1.0	1.0	1.0	-	80892	81530	639			hypothetical protein				ATG	 
lmo0078	-0.2917036484148614	-1.224084920843794	0.7127038405463878	1.0	1.0	1.0	+	81661	82617	957			phosphoglycerate dehydrogenase				ATG	 
lmo0079	0.7668881688976592	1.701595554018196	0.4316925093984305	1.0	1.0	1.0	+	82959	84437	1479			hypothetical protein				GTG	 
lmo0080	0.020785542257190315	1.014511727412091	0.9819726672673348	1.0	1.0	1.0	+	84451	84849	399			hypothetical protein				ATG	 
lmo0081	0.05981971297297051	1.0423354967833882	0.9376048188954031	1.0	1.0	1.0	+	85025	85627	603			hypothetical protein				ATG	 
lmo0082	0.5194288778633807	1.4333876980617537	0.6103028735900193	1.0	1.0	1.0	+	85902	86228	327			hypothetical protein				ATG	 
lmo0083	-0.5896850503094804	-1.50491817814276	0.5157188325645901	1.0	1.0	1.0	-	86323	86691	369			MerR family transcriptional regulator				ATG	 
lmo0084	-0.50898279035765	-1.4230464858749765	0.563690793855053	1.0	1.0	1.0	-	86747	87730	984			oxidoreductase				ATG	 
lmo0085	0.25862256489949065	1.1963359391797512	0.4629281277393056	1.0	1.0	1.0	+	88121	88810	690			hypothetical protein				ATG	 
lmo0086	0.4084554317620013	1.327264066838879	0.5513405215113072	1.0	1.0	1.0	+	88888	94767	5880			hypothetical protein				TTG	 
lmo0087	0.2745857290715694	1.2096466884186647	0.5555179586813541	1.0	1.0	1.0	+	94764	97070	2307			hypothetical protein				ATG	 
lmo0088	0.08466188485971049	1.0604391839446745	0.8996149415111576	1.0	1.0	1.0	+	97127	97369	243			ATP synthase subunit C				ATG	 
lmo0089	0.2527387140718904	1.1914667689572325	0.6840356545921547	1.0	1.0	1.0	+	97381	98412	1032			ATP synthase subunit delta				ATG	 
lmo0090	0.2689555286983394	1.2049351721060304	0.6946458703804437	1.0	1.0	1.0	+	98409	99905	1497			ATP synthase F0F1 subunit alpha				TTG	 
lmo0091	-0.2782781512631809	-1.2127466137839684	0.6852084696766114	1.0	1.0	1.0	+	99902	100771	870			ATP synthase subunit gamma				TTG	 
lmo0092	-0.16701331324534952	-1.122731782637895	0.8319649182132146	1.0	1.0	1.0	+	100772	102142	1371			ATP synthase F0F1 subunit beta				ATG	 
lmo0093	0.7103578424880199	1.6362099082219552	0.47768022693937895	1.0	1.0	1.0	+	102155	102478	324			ATP synthase subunit epsilon				ATG	 
lmo0094	0.5372640454123294	1.451217788795349	0.5988573958905015	1.0	1.0	1.0	+	102468	103028	561			hypothetical protein				ATG	 
lmo0095	0.1871394368402104	1.1385040604626073	0.8513266415805503	1.0	1.0	1.0	+	103204	103836	633			hypothetical protein				ATG	 
lmo0096	-0.09414689649788954	-1.0674340195923029	0.8696783834370263	1.0	1.0	1.0	+	104134	105099	966			PTS mannose transporter subunit IIAB				ATG	 
lmo0097	-0.10662933257319018	-1.0767097047699674	0.8318666737899806	1.0	1.0	1.0	+	105123	105929	807			PTS mannose transporter subunit IIC				ATG	 
lmo0098	0.16394594549966968	1.1203472365461737	0.7498906487188992	1.0	1.0	1.0	+	105951	106862	912			PTS mannose transporter subunit IID				ATG	 
lmo0099	0.13425406450270927	1.0975251992422206	0.867841373133085	1.0	1.0	1.0	+	106988	107377	390			hypothetical protein				TTG	 
lmo0100	0.8676941180050282	1.8247440515692652	0.2949101423412013	1.0	1.0	1.0	+	107499	107849	351			hypothetical protein				ATG	 
lmo0101	0.08862173210142998	1.0633538299335505	0.9179375466048945	1.0	1.0	1.0	-	107915	108208	294			transcriptional regulator				ATG	 
lmo0102	-0.03216034227560982	-1.0225421704458306	0.9733771195983065	1.0	1.0	1.0	+	108320	108610	291			hypothetical protein				ATG	 
lmo0103	0.1045883607856597	1.0751875671162652	0.9158473334515027	1.0	1.0	1.0	+	108624	109256	633			NADH oxidase				ATG	 
lmo0104	0.8259405639218684	1.7726903656763302	0.32733849498460654	1.0	1.0	1.0	+	109349	109720	372			hypothetical protein				GTG	 
lmo0105	0.3709472929728195	1.2932016855467443	0.7174646521025576	1.0	1.0	1.0	+	110013	112283	2271			chitinase B				ATG	 
lmo0106	0.15712565169751969	1.115063331073111	0.8547266386814709	1.0	1.0	1.0	+	112386	113288	903			transcriptional regulator				ATG	 
lmo0107	-0.24767877945826022	-1.1872952816511695	0.8112672150479509	1.0	1.0	1.0	-	113313	115094	1782			ABC transporter ATP-binding protein				ATG	 
lmo0108	0.21849423835324	1.1635185713801441	0.8323271872812765	1.0	1.0	1.0	-	115087	116829	1743			ABC transporter ATP-binding protein				ATG	 
lmo0109	-0.711745523789201	-1.637784482306173	0.41100934904056774	1.0	1.0	1.0	+	116972	117805	834			AraC family transcriptional regulator				ATG	 
lmo0110	-0.43122651492148023	-1.3483794217159384	0.610939554363799	1.0	1.0	1.0	+	117841	118956	1116			lipase				ATG	 
lmo0111	0.5041655066413995	1.4183027346915944	0.5491795091001503	1.0	1.0	1.0	+	119063	119770	708			hypothetical protein				ATG	 
lmo0112	-0.11132736141179933	-1.0802216447298756	0.9106066400036217	1.0	1.0	1.0	-	119740	120435	696			Fnr/Crp family transcriptional regulator				ATG	 
