Elements	begin	end	length	strand	type	details	synonim
lmo0001	318.0	1673.0	1356.0	+	Gene		dnaA
Operon_001	318.0	3012.0	2695.0	+	Operon	2 genes	
Term_dnaA	1709.0	1737.0	29.0	+	terminator		dnaA
lmo0002	1867.0	3012.0	1146.0	+	Gene		dnaN
Term_dnaN	3030.0	3051.0	22.0	+	terminator		dnaN
lmo0003	3121.0	4464.0	1344.0	+	Gene		
Term_lmo0003	4559.0	4576.0	18.0	+	terminator		lmo0003
lmo0004	4644.0	4865.0	222.0	+	Gene		
Operon_002	4644.0	10593.0	5950.0	+	Operon	4 genes	
lmo0005	4869.0	5981.0	1113.0	+	Gene		recF
lmo0006	6030.0	7970.0	1941.0	+	Gene		gyrB
Term_gyrB	8034.0	8053.0	20.0	+	terminator		gyrB
lmo0007	8065.0	10593.0	2529.0	+	Gene		gyrA
Term_gyrA	10600.0	10642.0	43.0	+	terminator		gyrA
lmo0008	10728.0	12242.0	1515.0	+	Gene		
Operon_003	10728.0	12776.0	2049.0	+	Operon	2 genes	
lmo0009	12258.0	12776.0	519.0	+	Gene		
Term_lmo0009	12781.0	12810.0	30.0	+	terminator		lmo0009
lmo0010	12918.0	13886.0	969.0	+	Gene		
Operon_004	12918.0	15874.0	2957.0	+	Operon	3 genes	
lmo0011	13843.0	14814.0	972.0	+	Gene		
lmo0012	14795.0	15874.0	1080.0	+	Gene		
Term_lmo0012	15882.0	15910.0	29.0	+	terminator		lmo0012
lmo0013	16219.0	17325.0	1107.0	+	Gene		qoxA
Operon_005	16219.0	20256.0	4038.0	+	Operon	4 genes	
lmo0014	17344.0	19323.0	1980.0	+	Gene		qoxB
lmo0015	19311.0	19922.0	612.0	+	Gene		qoxC
lmo0016	19924.0	20256.0	333.0	+	Gene		qoxD
Term_lmo0017	20261.0	20305.0	45.0	-	terminator		lmo0017
lmo0017	20308.0	21426.0	1119.0	-	Gene		
lmo0018	21652.0	23085.0	1434.0	+	Gene		
Term_lmo0018	23092.0	23129.0	38.0	+	terminator		lmo0018
Term_lmo0019	23097.0	23124.0	28.0	-	terminator		lmo0019
lmo0019	23132.0	23953.0	822.0	-	Gene		
lmo0020	24194.0	24934.0	741.0	+	Gene		
Operon_006	24194.0	28895.0	4702.0	+	Operon	7 genes	
lmo0021	24950.0	25351.0	402.0	+	Gene		
lmo0022	25351.0	25839.0	489.0	+	Gene		
lmo0023	25862.0	26665.0	804.0	+	Gene		
lmo0024	26640.0	27467.0	828.0	+	Gene		
lmo0025	27495.0	28199.0	705.0	+	Gene		
Term_lmo0025	28209.0	28235.0	27.0	+	terminator		lmo0025
