No	ID	Start	End	Strand	Intracellular nb read	Extracellular nb read	Intracellulaire	Extracellulaire	Name	IC	EC	Rfam	Newly described	Description
63	LhrA	2346167	2346434	-	246	320				x	x	LhrA		
51	LhrB	1859877	1860018	-	0	59		x	sigA		x	L20_leader		
6	LhrC-1	231866	232004	+	91	0						LhrC		
7	LhrC-2	232053	232207	+	92	0						LhrC		
8	LhrC-3	232288	232401	+	88	0						LhrC		
9	LhrC-4	232459	232604	+	72	0				x		LhrC		
30	LhrC-5	981620	981732	+	79	0				x		LhrC		
69	rli100	2424801	2424875	-	413	349				x	x			Small ORF
70	rli101	2452913	2452994	-	19	17	x	x	sigA				New	
71	rli102	2454489	2454586	+	4	29	x	x	sigA	x	x		New	
72	rli103	2498270	2498344	-	1	31				x	x			
73	rli104	2505181	2505340	-	16	23				x	x		New	
75	rli105	2533473	2533615	-	68	5							New	NB verification
76	rli106	2594654	2594785	-	6	22							New	
78	rli107	2632700	2632770	-	15	0				x			New	
79	rli108	2639710	2639789	-	5	137				x	x			
80	rli109	2694473	2694623	-	42	7							New	
81	rli110	2730489	2730555	+	9	19				x	x		New	
82	rli111	2736465	2736564	+	28	34	x	x	sigA				New	
83	rli112	2782958	2783091	+	459	1592	x	x	sigA	x	x			Homolog of rli78, NB verification
86	rli113	2839445	2839574	-	38	52							New	
88	rli114	2857244	2857320	-	14	62				x	x		New	Small ORF
10	rli24	271014	271201	+	43	14				x	x	rli24		
13	rli27	434817	434947	+	106	162	x	x	sigA	x	x	rli27		
16	rli28	507068	507402	-	1603	787				x	x	rli28		Homolog of rli50
17	rli29	507418	507632	-	176	157				x	x			"NB verification; Small ORF"
20	rli31	597806	597949	+	623	16	x	x	sigA	x	x	rli31		NB verification
21	rli32	600602	600751	-	61	21				x	x	rli32		
23	rli33-1	708309	708494	+	1093	19	x	x	sigB					NB verification
24	rli33-2	708618	708891	+	21	23				x	x			Small ORF
32	rli38	1152805	1152917	+	9	20				x	x	rli38		
38	rli41	1276706	1276847	-	120	438								Small ORF
42	rli42	1399445	1399616	-	69	239				x	x	rli42		
53	rli44	2039087	2039362	+	47	33	x	x	sigA	x	x	rli28		Small ORF
57	rli45	2154757	2154883	+	48	41								
58	rli46	2154764	2154971	-	18	16				x	x			Small ORF
59	rli47	2226036	2226349	+	99	0	x		sigB					
65	rli48	2361297	2361404	-	65	33						rli48		
84	rli50	2782959	2783264	-	1259	1620				x	x	rli28		Homolog of rli28, NB verification
4	rli51	207589	207714	+	1270	30	x	x	prfA			rli51		
19	rli52	552313	552418	-	17	91				x	x	rli52		
29	rli53	955824	956029	+	512	127	x	x	sigA	x	x	rli53		
35	rli55	1198094	1198610	+	16	83	x	x	sigA	x	x	rli55		
36	rli56	1199848	1199937	+	8	36	x	x	sigA	x	x	rli56		
48	rli58	1639909	1640182	-	10	83				x	x			
50	rli59	1702295	1702543	-	0	54								
55	rli60	2054110	2054356	+	19	10								Small ORF
61	rli61	2275258	2275362	-	5	68				x	x	rli61		
66	rli62	2364285	2364497	-	31	250				x	x	rli62		
77	rli63	2613039	2613300	-	10	15				x	x			
18	rli65	531146	531281	+	40	34	x	x	sigA					
1	rli71	28964	29061	+	40	67	x	x	sigA	x	x			
2	rli72	200410	200519	+	28	36							New	
3	rli73	200939	201035	+	2	22							New	
5	rli74	209321	209453	+	27	0	x		prfA				New	
11	rli75	321290	321363	+	0	10					x			
12	rli76	344675	344772	-	29	42				x	x			
14	rli77	454095	454227	+	335	2							New	Small ORF
15	rli78	507066	507199	+	591	759	x	x	sigA	x	x			Homolog of rli112, NB verification
22	rli79	696818	696880	+	14	3							New	
25	rli80	787038	787317	+	29	14				x	x		New	NB verification
26	rli81	905683	905860	+	32	26	x	x	sigA				New	Small ORF
27	rli82	910875	910944	-	12	2	x	x	sigA				New	
28	rli83	926922	927039	+	3	14							New	
31	rli84	1093855	1093954	+	28	30								
34	rli85	1154617	1154762	-	10	3							New	
37	rli86	1272592	1272662	+	14	14				x	x		New	
39	rli87	1301269	1301389	+	6	53	x	x	sigA				New	Small ORF
40	rli88	1320429	1320509	+	40	61	x	x	sigA	x	x			
43	rli89	1399490	1399656	+	50	0						rli42	New	
44	rli90	1527932	1528048	-	38	131								
46	rli91	1575830	1575917	-	259	264				x	x		New	"NB verification; Small ORF"
47	rli92	1638942	1639083	+	24	47	x	x	sigA				New	
49	rli93	1641179	1641239	+	35	49				x	x			
54	rli94	2039254	2039395	-	72	234							New	
56	rli95	2106222	2106324	+	26	2	x	x	sigB	x	x		New	
60	rli96	2239222	2239295	-	3	14				x	x		New	
62	rli97	2280060	2280111	-	14	0							New	
64	rli98	2361255	2361407	+	124	10	x	x	sigA	x	x	rli48	New	Small ORF
68	rli99	2394985	2395110	+	57	94	x	x	sigA					
33	rliC	1154414	1154674	+	10	3	x	x	sigA	x	x			
67	rliG	2386714	2386829	-	69	9				x	x			Small ORF
87	rliI	2841963	2842200	-	32	64				x	x	rliI		
52	rnpB	1961656	1961974	-	68	558								
41	sbrA	1399365	1399464	+	52	0	x		sigB	x		sbrA		
85	SRP	2784206	2784540	-	169	291				x	x	SRP		
74	ssrA	2509737	2510236	-	133	296						tmRNA		
45	ssrS	1546330	1546537	-	211	336				x	x	6S		
