Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	FC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	STAT_EGD_WT vs EGDe_280212_FDRBH.ge	STAT_EGD_WT vs EGDe_280212_FDRBY.ge	STAT_EGD_WT vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0001	0.5248935627335083	1.4388274241684276	0.5235745642712137	0.9608555333461947	1.0	1.0	+	318	1673	1356	dnaA		chromosome replication initiator DnaA				GTG	 
lmo0002	-0.15900084173899032	-1.1165136134111426	0.8431349841883908	1.0	1.0	1.0	+	1867	3012	1146	dnaN		DNA polymerase III subunit beta				ATG	 
lmo0003	-0.13262499130991046	-1.096286586961068	0.8952417605425007	0.9993831337587209	1.0	1.0	+	3121	4464	1344			hypothetical protein				ATG	 
lmo0004	0.1691653097385899	1.124407755512346	0.8470598526973125	1.0	1.0	1.0	+	4644	4865	222			hypothetical protein				TTG	 
lmo0005	-0.0434423744246093	-1.0305699094311285	0.9620691177886275	1.0	1.0	1.0	+	4869	5981	1113	recF		recombination protein F				ATG	 
lmo0006	-0.23350222020778943	-1.1756855280450111	0.7711666687192544	0.9941536638837001	1.0	1.0	+	6030	7970	1941	gyrB		DNA gyrase subunit B				ATG	 
lmo0007	-0.2996375277224601	-1.2308351313058092	0.7088253799337938	0.9888079269635798	1.0	1.0	+	8065	10593	2529	gyrA		DNA gyrase subunit A				ATG	 
lmo0008	-0.6937701251496886	-1.6175049476348582	0.4685184393362769	0.9400126485765951	1.0	1.0	+	10728	12242	1515			cardiolipin synthase				ATG	 
lmo0009	-0.2448947976570679	-1.1850063562891473	0.7932926431827824	0.9954547746961762	1.0	1.0	+	12258	12776	519			spermidine acetyltransferase				ATG	 
lmo0010	0.4818439346522183	1.3965274531849448	0.596905010056936	0.9855625739362078	1.0	1.0	+	12918	13886	969			mevalonate kinase				TTG	 
lmo0011	-0.18504529216899002	-1.1368526631865834	0.8229805970991768	1.0	1.0	1.0	+	13843	14814	972			mevalonate diphosphate decarboxylase				ATG	 
lmo0012	0.024435362259941584	1.017081551811235	0.9770917443130003	1.0	1.0	1.0	+	14795	15874	1080			mevalonate kinase				TTG	 
lmo0013	0.08872759335331004	1.0634318589656833	0.9157468590550557	1.0	1.0	1.0	+	16219	17325	1107	qoxA		AA3-600 quinol oxidase subunit II				GTG	 
lmo0014	0.34362312766910996	1.2689393602367236	0.6770463829577373	0.9845743563932722	1.0	1.0	+	17344	19323	1980	qoxB		AA3-600 quinol oxidase subunit I				ATG	 
lmo0015	0.4635395950867096	1.3789207988593948	0.5696733937435454	0.9741122619859233	1.0	1.0	+	19311	19922	612	qoxC		AA3-600 quinol oxidase subunit III				ATG	 
lmo0016	0.5228593367250092	1.4368000812001582	0.5262605557704498	0.9621599743121472	1.0	1.0	+	19924	20256	333	qoxD		quinol oxidase aa3-600 subunit IV				ATG	 
lmo0017	0.3392832195761999	1.265127878837741	0.6429871431102041	0.9790612839790436	1.0	1.0	-	20308	21426	1119			capsule biosynthesis protein CapA				ATG	 
lmo0018	-0.2807869369094007	-1.214857363563274	0.7744097485441197	0.9946796229974069	1.0	1.0	+	21652	23085	1434			beta-glucosidase				ATG	 
